start,end,type,night
1651024960.0,1651028030.0,wake,2022-04-27
1651028440.0,1651029490.0,wake,2022-04-27
1651030090.0,1651030120.0,wake,2022-04-27
1651030520.0,1651031860.0,wake,2022-04-27
1651032220.0,1651032750.0,wake,2022-04-27
1651034150.0,1651034220.0,wake,2022-04-27
1651034690.0,1651034810.0,wake,2022-04-27
1651035310.0,1651035570.0,wake,2022-04-27
1651036040.0,1651036230.0,wake,2022-04-27
1651036710.0,1651037550.0,wake,2022-04-27
1651038200.0,1651038340.0,wake,2022-04-27
1651040650.0,1651041120.0,wake,2022-04-27
1651041620.0,1651041940.0,wake,2022-04-27
1651049230.0,1651049320.0,wake,2022-04-27
1651060260.0,1651060320.0,wake,2022-04-27
1651024820.0,1651029710.0,motion,2022-04-27
1651030030.0,1651033070.0,motion,2022-04-27
1651033400.0,1651033500.0,motion,2022-04-27
1651034100.0,1651037630.0,motion,2022-04-27
1651038150.0,1651038710.0,motion,2022-04-27
1651040620.0,1651041110.0,motion,2022-04-27
1651041590.0,1651041900.0,motion,2022-04-27
1651044630.0,1651044650.0,motion,2022-04-27
1651047650.0,1651047670.0,motion,2022-04-27
1651047990.0,1651048010.0,motion,2022-04-27
1651048830.0,1651049290.0,motion,2022-04-27
1651049900.0,1651050090.0,motion,2022-04-27
1651050560.0,1651051010.0,motion,2022-04-27
1651052090.0,1651052310.0,motion,2022-04-27
1651052750.0,1651052950.0,motion,2022-04-27
1651054050.0,1651054060.0,motion,2022-04-27
1651054430.0,1651054460.0,motion,2022-04-27
1651056720.0,1651056740.0,motion,2022-04-27
1651057450.0,1651057470.0,motion,2022-04-27
1651060210.0,1651060300.0,motion,2022-04-27
1651063520.0,1651063540.0,motion,2022-04-27
1651064130.0,1651064150.0,motion,2022-04-27
1651064960.0,1651065010.0,motion,2022-04-27
1651066710.0,1651066730.0,motion,2022-04-27
1651067580.0,1651067600.0,motion,2022-04-27
1651068080.0,1651068100.0,motion,2022-04-27
1651198360.0,1651198460.0,wake,2022-04-29
1651199450.0,1651200030.0,wake,2022-04-29
1651201050.0,1651201100.0,wake,2022-04-29
1651201520.0,1651202240.0,wake,2022-04-29
1651203720.0,1651203980.0,wake,2022-04-29
1651206120.0,1651206190.0,wake,2022-04-29
1651236860.0,1651238290.0,wake,2022-04-29
1651239260.0,1651239300.0,wake,2022-04-29
1651241820.0,1651241900.0,wake,2022-04-29
1651197800.0,1651199990.0,motion,2022-04-29
1651200390.0,1651200400.0,motion,2022-04-29
1651201000.0,1651201150.0,motion,2022-04-29
1651201490.0,1651202220.0,motion,2022-04-29
1651202850.0,1651202860.0,motion,2022-04-29
1651203680.0,1651204490.0,motion,2022-04-29
1651205090.0,1651205270.0,motion,2022-04-29
1651206000.0,1651206180.0,motion,2022-04-29
1651206750.0,1651206770.0,motion,2022-04-29
1651207090.0,1651207420.0,motion,2022-04-29
1651207870.0,1651208180.0,motion,2022-04-29
1651208840.0,1651208880.0,motion,2022-04-29
1651215140.0,1651215160.0,motion,2022-04-29
1651216290.0,1651216310.0,motion,2022-04-29
1651217600.0,1651217620.0,motion,2022-04-29
1651218720.0,1651218740.0,motion,2022-04-29
1651222830.0,1651222840.0,motion,2022-04-29
1651224950.0,1651224970.0,motion,2022-04-29
1651225320.0,1651225340.0,motion,2022-04-29
1651228470.0,1651228740.0,motion,2022-04-29
1651230010.0,1651230060.0,motion,2022-04-29
1651232570.0,1651232750.0,motion,2022-04-29
