label,number_of_samples
CP_VideoUnavailable,4695
Indecipherable,5738
Located_Indoors,19910
Texting,6872
Browsing_Phone,6872
Holding_Other_Object_Light,2944
Typing_Computer,380
Browsing_Computer,5380
In_Conversation,1364
Carrying_Bag_On_Shoulder,1007
Back_Light,1007
Located_Outdoors,3232
Holding_Bag,139
BriefCase_Hand_Light,139
BP_VideoUnavailable,1043
Holding_Solid_Food,49
Holding_Drink,5
On_Video_Call,459
FaceTime,459
On_Phone_Call,6
Legs_Crossed,169
total_samples,61968
total_number_of_labels,61869
