label,number_of_samples
Located_Indoors,26893
Located_Outdoors,3614
Texting,2866
Browsing_Phone,2866
BP_VideoUnavailable,386
Indecipherable,631
Browsing_Computer,11818
Holding_Other_Object_Light,709
Holding_Drink,1382
Typing_Computer,3485
Holding_Solid_Food,915
On_Video_Call,1092
FaceTime,1092
In_Conversation,3897
On_Phone_Call,888
Carrying_Bag_On_Shoulder,635
Back_Light,584
Holding_Book,64
Reader,64
CP_VideoUnavailable,245
CP_Other,40
Holding_Other_Object_Heavy,2
Legs_Crossed,1400
CP_Too_Complex,328
Legs_Uncrossed,383
Handwriting,295
Carrying_Grocery_Bags_Light,41
Significantly_Higher_Effort_Than_Normal,1
Back_Heavy,51
Holding_Bag,6
BriefCase_Hand_Light,6
total_samples,60192
total_number_of_labels,66679
