label,number_of_samples
HLB_Unlabeled,2768
WatchingTV,2929
Movies,2929
In_Transit_Active,1879
Riding_Elevator_Down,9
Riding_Escalator_Up,9
Riding_Elevator_Up,47
Using_Computer,9226
Screen,9226
Meeting_Virtual,1657
Dressing,253
Undressing,253
Packing,111
Unpacking_Something,111
Grooming,275
Self_Care,275
Working_Other,1566
Meeting_Formal_Gathering_In_Person,8
HLB_Other,3522
Cooking,1393
Prepping_Food,1393
Eating,1154
Dining,1154
HLB_Indecipherable,918
Video_Insufficient,918
Shopping_Grocery,233
Loading,7
Unloading_Vehicle,7
In_Transit_Passive_Car,137
Doing_Common_Housework,173
Meeting _Social_Gathering_In_Person,2440
Relaxing_Passive,645
Doing_Dishes,168
Cleaning,63
Shopping_Non-Grocery,70
Doing_Common_Housework_Light,44
In_Transit_Driving_Car,359
Doing_Resistance_Training,3
total_samples,66964
total_number_of_labels,48332
