label,number_of_samples
Dressing,137
Undressing,137
HLB_Other,2146
In_Transit_Active,1002
Riding_Elevator_Down,7
In_Transit_Driving_Car,1008
Loading,97
Unloading_Vehicle,97
Eating,963
Dining,963
Cooking,187
Prepping_Food,187
Meeting _Social_Gathering_In_Person,4892
WatchingTV,2297
Movies,2297
Using_Computer,6669
Screen,6669
Meeting_Virtual,1828
HLB_Indecipherable,4634
Video_Insufficient,4634
Grooming,192
Self_Care,192
Playing_Musical_Instrument,1713
Relaxing_Passive,844
Administering_Child,2
Elder,2
Other_Adult,2
Playing_Videogame,1004
HLB_Unlabeled,946
Riding_Elevator_Up,5
Working_Other,171
Exercising_Gym_Other,742
Doing_Resistance_Training,486
Shopping_Grocery,88
Meeting_Formal_Gathering_In_Person,806
Doing_Alternative_Exercise,6
Therapy,6
Stretching,6
Cleaning,111
Doing_Common_Housework,90
Doing_Dishes,7
Packing,251
Unpacking_Something,251
Doing_Laundry,2
Doing_Home_Repair,12
In_Transit_Passive_Car,129
Shopping_Non-Grocery,46
total_samples,68300
total_number_of_labels,48963
