label,number_of_samples
Standing_With_Movement,3003
PA_Type_Other,350
Sitting_With_Movement,14778
Walking,3287
Puttering_Around,1425
Washing_Hands,59
PA_Type_VideoUnavailable,5389
Indecipherable,5389
Walking_Down_Stairs,56
Kneeling_With_Movement,70
Brushing_Teeth,30
Brushing,157
Combing,157
Tying_Hair,157
Applying_Makeup,153
Lying_With_Movement,7138
Walking_Up_Stairs,35
Washing_Face,77
Sitting_Still,273
Folding_Clothes,34
Putting_Clothes_Away,3
Walking_Slow,5
Standing_Still,1
Synchronizing_Sensors,12
Lying_Still,588
Blowdrying_Hair,15
total_samples,59988
total_number_of_labels,42641
