START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2021-11-02 06:35:57.975,2021-11-02 06:36:00.975,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 06:36:00.975,2021-11-02 06:36:13.975,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 06:36:13.975,2021-11-02 06:36:23.975,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 06:36:23.975,2021-11-02 06:36:26.975,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 06:36:26.975,2021-11-02 06:36:26.975,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2021-11-02 06:36:26.975,2021-11-02 06:36:34.975,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2021-11-02 06:36:34.975,2021-11-02 06:36:37.975,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2021-11-02 06:36:37.975,2021-11-02 06:36:42.975,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2021-11-02 06:36:42.975,2021-11-02 06:36:44.975,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 06:36:44.975,2021-11-02 06:36:44.975,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 06:36:44.975,2021-11-02 06:36:53.975,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 06:36:53.975,2021-11-02 06:37:24.975,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 06:37:24.975,2021-11-02 06:37:30.975,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 06:37:30.975,2021-11-02 06:37:37.975,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2021-11-02 06:37:37.975,2021-11-02 06:37:39.975,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 06:37:39.975,2021-11-02 06:37:44.975,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 06:37:44.975,2021-11-02 06:37:48.975,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2021-11-02 06:37:48.975,2021-11-02 06:37:50.975,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2021-11-02 06:37:50.975,2021-11-02 06:37:54.975,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2021-11-02 06:37:54.975,2021-11-02 06:37:57.975,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2021-11-02 06:37:57.975,2021-11-02 06:37:58.975,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 06:37:58.975,2021-11-02 06:38:01.975,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 06:38:02.975,2021-11-02 06:38:26.975,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2021-11-02 06:38:02.975,2021-11-02 06:38:02.975,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2021-11-02 06:38:26.975,2021-11-02 06:39:27.975,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2021-11-02 06:39:27.975,2021-11-02 06:39:31.975,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 06:39:27.975,2021-11-02 06:39:27.975,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 06:39:31.975,2021-11-02 06:39:36.975,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2021-11-02 06:39:36.975,2021-11-02 06:39:39.975,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 06:39:39.975,2021-11-02 06:39:47.975,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2021-11-02 06:39:47.975,2021-11-02 06:39:58.975,Located_Indoors/Holding_Other_Object_Light/Holding_Drink,annotator,Behavioral Parameters
2021-11-02 06:39:59.975,2021-11-02 06:40:04.975,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 06:40:04.975,2021-11-02 06:40:14.962,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2021-11-02 06:40:14.962,2021-11-02 06:40:19.962,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 06:40:19.962,2021-11-02 06:40:24.962,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 06:40:24.962,2021-11-02 06:40:39.962,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2021-11-02 06:40:39.962,2021-11-02 06:40:45.962,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2021-11-02 06:40:45.962,2021-11-02 06:41:00.962,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2021-11-02 06:41:00.962,2021-11-02 06:41:06.962,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 06:41:06.962,2021-11-02 06:41:11.962,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 06:41:11.962,2021-11-02 06:41:15.962,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 06:41:15.962,2021-11-02 06:41:16.962,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 06:41:16.962,2021-11-02 06:41:23.962,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 06:41:23.962,2021-11-02 06:41:30.962,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2021-11-02 06:41:30.962,2021-11-02 06:41:35.962,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2021-11-02 06:41:35.962,2021-11-02 06:41:37.962,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 06:41:37.962,2021-11-02 06:41:41.962,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2021-11-02 06:41:41.962,2021-11-02 06:41:47.962,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 06:41:47.962,2021-11-02 06:41:51.962,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 06:41:51.962,2021-11-02 06:41:54.962,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2021-11-02 06:41:54.962,2021-11-02 06:42:00.962,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2021-11-02 06:42:00.962,2021-11-02 06:42:10.962,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2021-11-02 06:42:10.962,2021-11-02 06:42:16.962,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2021-11-02 06:42:16.962,2021-11-02 06:42:26.962,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2021-11-02 06:42:26.962,2021-11-02 06:42:28.962,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 06:42:32.962,2021-11-02 06:42:42.962,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 06:42:43.962,2021-11-02 06:42:56.962,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2021-11-02 06:42:56.962,2021-11-02 06:43:06.962,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2021-11-02 06:43:07.962,2021-11-02 06:43:11.962,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 06:43:12.962,2021-11-02 06:43:25.962,Located_Indoors/Holding_Solid_Food,annotator,Behavioral Parameters
2021-11-02 06:43:26.962,2021-11-02 06:43:35.962,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 06:43:38.962,2021-11-02 06:43:57.962,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 06:43:58.962,2021-11-02 06:44:12.962,Located_Indoors/Holding_Drink,annotator,Behavioral Parameters
2021-11-02 06:44:20.962,2021-11-02 06:44:34.962,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 06:44:37.962,2021-11-02 06:44:58.962,Located_Indoors/Holding_Drink,annotator,Behavioral Parameters
2021-11-02 06:44:59.962,2021-11-02 06:45:10.962,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 06:45:10.962,2021-11-02 06:46:21.962,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 06:46:22.962,2021-11-02 06:46:39.962,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 06:46:40.962,2021-11-02 06:46:52.962,Located_Indoors/Holding_Solid_Food,annotator,Behavioral Parameters
2021-11-02 06:46:53.962,2021-11-02 06:47:20.962,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 06:47:21.962,2021-11-02 06:47:34.962,Located_Indoors/Holding_Solid_Food,annotator,Behavioral Parameters
2021-11-02 06:47:41.962,2021-11-02 06:47:49.962,Located_Indoors/Holding_Solid_Food,annotator,Behavioral Parameters
2021-11-02 06:47:50.962,2021-11-02 06:48:47.950,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 06:48:49.950,2021-11-02 06:49:08.950,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 06:49:09.950,2021-11-02 06:49:15.950,Located_Indoors/Holding_Drink,annotator,Behavioral Parameters
2021-11-02 06:49:34.950,2021-11-02 06:50:01.950,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 06:50:02.950,2021-11-02 06:50:39.950,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 06:50:42.950,2021-11-02 06:50:47.950,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 06:50:51.950,2021-11-02 06:51:09.950,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 06:51:22.950,2021-11-02 06:51:59.950,Located_Indoors/Holding_Solid_Food,annotator,Behavioral Parameters
2021-11-02 06:52:02.950,2021-11-02 06:52:14.950,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 06:52:15.950,2021-11-02 06:53:06.950,Located_Indoors/Holding_Solid_Food,annotator,Behavioral Parameters
2021-11-02 06:53:07.950,2021-11-02 06:53:49.950,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 06:53:53.950,2021-11-02 06:54:03.950,Located_Indoors/Holding_Drink,annotator,Behavioral Parameters
2021-11-02 06:54:04.950,2021-11-02 06:54:54.950,Located_Indoors/Holding_Drink,annotator,Behavioral Parameters
2021-11-02 06:54:55.950,2021-11-02 06:55:02.950,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 06:55:02.950,2021-11-02 06:55:10.950,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2021-11-02 06:55:11.950,2021-11-02 06:58:32.937,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2021-11-02 06:58:44.937,2021-11-02 06:59:03.937,Located_Indoors/Holding_Drink,annotator,Behavioral Parameters
2021-11-02 06:59:05.937,2021-11-02 06:59:12.937,Located_Indoors/Holding_Drink,annotator,Behavioral Parameters
2021-11-02 06:59:12.937,2021-11-02 06:59:18.937,Located_Indoors/Holding_Drink,annotator,Behavioral Parameters
2021-11-02 06:59:21.937,2021-11-02 06:59:36.937,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 06:59:37.937,2021-11-02 06:59:48.937,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 06:59:48.937,2021-11-02 07:00:08.937,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 07:00:10.937,2021-11-02 07:00:48.937,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 07:00:48.937,2021-11-02 07:01:00.937,Located_Indoors/Holding_Book/Reader,annotator,Behavioral Parameters
2021-11-02 07:01:01.937,2021-11-02 07:03:10.937,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2021-11-02 07:03:11.937,2021-11-02 07:03:33.937,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2021-11-02 07:03:34.937,2021-11-02 07:04:05.937,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 07:04:07.937,2021-11-02 07:04:21.937,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2021-11-02 07:04:21.937,2021-11-02 07:04:31.937,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2021-11-02 07:04:31.937,2021-11-02 07:04:38.937,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 07:04:38.937,2021-11-02 07:04:41.937,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 07:04:41.937,2021-11-02 07:04:49.937,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 07:04:49.937,2021-11-02 07:05:33.937,Located_Indoors/Holding_Book/Reader/Holding_Other_Object_Light,annotator,Behavioral Parameters
2021-11-02 07:05:33.937,2021-11-02 07:06:02.925,Located_Indoors,annotator,Behavioral Parameters
2021-11-02 07:06:02.925,2021-11-02 07:06:21.925,Located_Indoors/Holding_Other_Object_Light/Holding_Book/Reader/Handwriting,annotator,Behavioral Parameters
2021-11-02 07:06:21.925,2021-11-02 07:06:43.925,Located_Indoors,annotator,Behavioral Parameters
