START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2021-11-02 06:35:57.975,2021-11-02 06:36:00.975,Free_Living,annotator,Experimental situation
2021-11-02 06:36:00.975,2021-11-02 06:36:13.975,Free_Living,annotator,Experimental situation
2021-11-02 06:36:13.975,2021-11-02 06:36:23.975,Free_Living,annotator,Experimental situation
2021-11-02 06:36:23.975,2021-11-02 06:36:26.975,Free_Living,annotator,Experimental situation
2021-11-02 06:36:26.975,2021-11-02 06:36:26.975,Free_Living,annotator,Experimental situation
2021-11-02 06:36:26.975,2021-11-02 06:36:34.975,Free_Living,annotator,Experimental situation
2021-11-02 06:36:34.975,2021-11-02 06:36:37.975,Free_Living,annotator,Experimental situation
2021-11-02 06:36:37.975,2021-11-02 06:36:42.975,Free_Living,annotator,Experimental situation
2021-11-02 06:36:42.975,2021-11-02 06:36:44.975,Free_Living,annotator,Experimental situation
2021-11-02 06:36:44.975,2021-11-02 06:36:44.975,Free_Living,annotator,Experimental situation
2021-11-02 06:36:44.975,2021-11-02 06:36:53.975,Free_Living,annotator,Experimental situation
2021-11-02 06:36:53.975,2021-11-02 06:37:24.975,Free_Living,annotator,Experimental situation
2021-11-02 06:37:24.975,2021-11-02 06:37:30.975,Free_Living,annotator,Experimental situation
2021-11-02 06:37:30.975,2021-11-02 06:37:37.975,Free_Living,annotator,Experimental situation
2021-11-02 06:37:37.975,2021-11-02 06:37:39.975,Free_Living,annotator,Experimental situation
2021-11-02 06:37:39.975,2021-11-02 06:37:44.975,Free_Living,annotator,Experimental situation
2021-11-02 06:37:44.975,2021-11-02 06:37:48.975,Free_Living,annotator,Experimental situation
2021-11-02 06:37:48.975,2021-11-02 06:37:50.975,Free_Living,annotator,Experimental situation
2021-11-02 06:37:50.975,2021-11-02 06:37:54.975,Free_Living,annotator,Experimental situation
2021-11-02 06:37:54.975,2021-11-02 06:37:57.975,Free_Living,annotator,Experimental situation
2021-11-02 06:37:57.975,2021-11-02 06:37:58.975,Free_Living,annotator,Experimental situation
2021-11-02 06:37:58.975,2021-11-02 06:38:01.975,Free_Living,annotator,Experimental situation
2021-11-02 06:38:02.975,2021-11-02 06:38:26.975,Free_Living,annotator,Experimental situation
2021-11-02 06:38:02.975,2021-11-02 06:38:02.975,Free_Living,annotator,Experimental situation
2021-11-02 06:38:26.975,2021-11-02 06:39:27.975,Free_Living,annotator,Experimental situation
2021-11-02 06:39:27.975,2021-11-02 06:39:31.975,Free_Living,annotator,Experimental situation
2021-11-02 06:39:27.975,2021-11-02 06:39:27.975,Free_Living,annotator,Experimental situation
2021-11-02 06:39:31.975,2021-11-02 06:39:36.975,Free_Living,annotator,Experimental situation
2021-11-02 06:39:36.975,2021-11-02 06:39:39.975,Free_Living,annotator,Experimental situation
2021-11-02 06:39:39.975,2021-11-02 06:39:47.975,Free_Living,annotator,Experimental situation
2021-11-02 06:39:47.975,2021-11-02 06:39:58.975,Free_Living,annotator,Experimental situation
2021-11-02 06:39:59.975,2021-11-02 06:40:04.975,Free_Living,annotator,Experimental situation
2021-11-02 06:40:04.975,2021-11-02 06:40:14.962,Free_Living,annotator,Experimental situation
2021-11-02 06:40:14.962,2021-11-02 06:40:19.962,Free_Living,annotator,Experimental situation
2021-11-02 06:40:19.962,2021-11-02 06:40:24.962,Free_Living,annotator,Experimental situation
2021-11-02 06:40:24.962,2021-11-02 06:40:39.962,Free_Living,annotator,Experimental situation
2021-11-02 06:40:39.962,2021-11-02 06:40:45.962,Free_Living,annotator,Experimental situation
2021-11-02 06:40:45.962,2021-11-02 06:41:00.962,Free_Living,annotator,Experimental situation
2021-11-02 06:41:00.962,2021-11-02 06:41:06.962,Free_Living,annotator,Experimental situation
2021-11-02 06:41:06.962,2021-11-02 06:41:11.962,Free_Living,annotator,Experimental situation
2021-11-02 06:41:11.962,2021-11-02 06:41:15.962,Free_Living,annotator,Experimental situation
2021-11-02 06:41:15.962,2021-11-02 06:41:16.962,Free_Living,annotator,Experimental situation
