START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2021-11-06 08:21:31.450,2021-11-06 08:21:49.450,HLB_Other,Expert,HIGH LEVEL BEHAVIOR
2021-11-06 08:21:49.450,2021-11-06 08:22:41.450,HLB_Other,Expert,HIGH LEVEL BEHAVIOR
2021-11-06 08:22:41.450,2021-11-06 08:22:54.450,Walking_Pet,Expert,HIGH LEVEL BEHAVIOR
2021-11-06 08:22:56.450,2021-11-06 08:23:05.450,Walking_Pet,Expert,HIGH LEVEL BEHAVIOR
2021-11-06 08:23:07.450,2021-11-06 08:23:39.450,Walking_Pet,Expert,HIGH LEVEL BEHAVIOR
2021-11-06 08:23:41.450,2021-11-06 08:27:41.450,Walking_Pet,Expert,HIGH LEVEL BEHAVIOR
2021-11-06 08:27:43.450,2021-11-06 08:28:10.450,Walking_Pet,Expert,HIGH LEVEL BEHAVIOR
2021-11-06 08:28:12.450,2021-11-06 08:29:28.450,Walking_Pet,Expert,HIGH LEVEL BEHAVIOR
2021-11-06 08:29:29.450,2021-11-06 08:30:11.437,Walking_Pet,Expert,HIGH LEVEL BEHAVIOR
2021-11-06 08:30:11.437,2021-11-06 08:30:41.437,HLB_Other,Expert,HIGH LEVEL BEHAVIOR
2021-11-06 08:30:41.437,2021-11-06 08:30:56.437,HLB_Other,Expert,HIGH LEVEL BEHAVIOR
2021-11-06 08:30:57.437,2021-11-06 08:31:29.437,HLB_Other,Expert,HIGH LEVEL BEHAVIOR
2021-11-06 08:31:45.437,2021-11-06 08:31:54.437,Dressing/Undressing,Expert,HIGH LEVEL BEHAVIOR
2021-11-06 08:32:29.437,2021-11-06 08:33:21.437,Cooking/Prepping_Food,Expert,HIGH LEVEL BEHAVIOR
2021-11-06 08:33:35.437,2021-11-06 08:38:23.437,HLB_Other/Cooking/Prepping_Food,Expert,HIGH LEVEL BEHAVIOR
2021-11-06 08:38:26.437,2021-11-06 08:40:14.425,Doing_Dishes,Expert,HIGH LEVEL BEHAVIOR
2021-11-06 08:40:21.425,2021-11-06 08:40:26.425,HLB_Other,Expert,HIGH LEVEL BEHAVIOR
2021-11-06 08:41:29.425,2021-11-06 08:43:17.425,Eating/Dining,Expert,HIGH LEVEL BEHAVIOR
2021-11-06 08:45:23.425,2021-11-06 08:45:33.425,HLB_Other,Expert,HIGH LEVEL BEHAVIOR
2021-11-06 08:45:43.425,2021-11-06 08:46:47.425,HLB_Other,Expert,HIGH LEVEL BEHAVIOR
2021-11-06 08:46:58.425,2021-11-06 08:48:28.425,Using_Computer/Screen,Expert,HIGH LEVEL BEHAVIOR
2021-11-06 08:48:28.425,2021-11-06 08:53:36.412,Using_Computer/Screen,Expert,HIGH LEVEL BEHAVIOR
2021-11-06 08:53:55.412,2021-11-06 08:55:19.412,Using_Computer/Screen,Expert,HIGH LEVEL BEHAVIOR
2021-11-06 08:55:20.412,2021-11-06 08:57:46.412,Using_Computer/Screen,Expert,HIGH LEVEL BEHAVIOR
2021-11-06 08:57:47.412,2021-11-06 09:00:27.400,Using_Computer/Screen,Expert,HIGH LEVEL BEHAVIOR
2021-11-06 09:00:49.400,2021-11-06 09:20:47.375,Using_Computer/Screen,Expert,HIGH LEVEL BEHAVIOR
2021-11-06 09:21:23.375,2021-11-06 09:22:00.375,Cooking/Prepping_Food,Expert,HIGH LEVEL BEHAVIOR
2021-11-06 09:22:18.375,2021-11-06 09:24:02.375,Cooking/Prepping_Food,Expert,HIGH LEVEL BEHAVIOR
2021-11-06 09:24:51.375,2021-11-06 09:25:46.375,HLB_Other,Expert,HIGH LEVEL BEHAVIOR
2021-11-06 09:26:01.375,2021-11-06 09:31:35.362,Doing_Laundry,Expert,HIGH LEVEL BEHAVIOR
2021-11-06 09:32:48.362,2021-11-06 09:33:05.362,Doing_Laundry/HLB_Other,Expert,HIGH LEVEL BEHAVIOR
2021-11-06 09:33:07.362,2021-11-06 09:34:13.362,Doing_Laundry,Expert,HIGH LEVEL BEHAVIOR
2021-11-06 09:34:13.362,2021-11-06 09:34:25.362,HLB_Other,Expert,HIGH LEVEL BEHAVIOR
2021-11-06 09:34:35.362,2021-11-06 09:41:10.350,Doing_Common_Housework_Light,Expert,HIGH LEVEL BEHAVIOR
2021-11-06 09:41:12.350,2021-11-06 09:41:38.350,Doing_Laundry,Expert,HIGH LEVEL BEHAVIOR
2021-11-06 09:41:38.350,2021-11-06 09:42:46.350,Doing_Laundry,Expert,HIGH LEVEL BEHAVIOR
