START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2021-11-08 07:39:55.350,2021-11-08 07:40:12.350,Puttering_Around,annotator,PA TYPE
2021-11-08 07:40:17.350,2021-11-08 07:40:35.350,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE
2021-11-08 07:40:37.350,2021-11-08 07:40:44.350,Puttering_Around,annotator,PA TYPE
2021-11-08 07:40:45.350,2021-11-08 07:41:43.337,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE
2021-11-08 07:41:51.337,2021-11-08 07:42:06.337,Standing_With_Movement,annotator,PA TYPE
2021-11-08 07:42:13.337,2021-11-08 07:42:20.337,Standing_With_Movement,annotator,PA TYPE
2021-11-08 07:42:21.337,2021-11-08 07:42:32.337,Standing_With_Movement,annotator,PA TYPE
2021-11-08 07:43:18.337,2021-11-08 07:43:21.337,Puttering_Around,annotator,PA TYPE
2021-11-08 07:43:21.337,2021-11-08 07:43:23.337,Walking_Down_Stairs,annotator,PA TYPE
2021-11-08 07:43:28.337,2021-11-08 07:43:32.337,Walking_Down_Stairs,annotator,PA TYPE
2021-11-08 07:43:36.337,2021-11-08 07:44:07.325,Walking,annotator,PA TYPE
2021-11-08 07:44:09.325,2021-11-08 07:44:21.325,Standing_With_Movement,annotator,PA TYPE
2021-11-08 07:44:22.325,2021-11-08 07:45:51.325,Walking,annotator,PA TYPE
2021-11-08 07:45:51.325,2021-11-08 07:46:13.325,Standing_With_Movement,annotator,PA TYPE
2021-11-08 07:46:20.325,2021-11-08 07:48:06.312,Walking,annotator,PA TYPE
2021-11-08 07:48:07.312,2021-11-08 07:48:11.312,Walking_Up_Stairs,annotator,PA TYPE
2021-11-08 07:48:15.312,2021-11-08 07:48:17.312,Walking_Up_Stairs,annotator,PA TYPE
2021-11-08 07:48:20.312,2021-11-08 07:48:27.312,Standing_With_Movement,annotator,PA TYPE
2021-11-08 07:48:29.312,2021-11-08 07:49:12.312,Puttering_Around,annotator,PA TYPE
2021-11-08 07:49:24.300,2021-11-08 07:49:28.300,Walking_Down_Stairs,annotator,PA TYPE
2021-11-08 07:49:35.300,2021-11-08 07:49:37.300,Walking_Up_Stairs,annotator,PA TYPE
2021-11-08 07:49:39.300,2021-11-08 07:49:40.300,Walking_Up_Stairs,annotator,PA TYPE
2021-11-08 07:49:45.300,2021-11-08 07:50:19.300,Washing_Hands,annotator,PA TYPE
2021-11-08 07:50:24.300,2021-11-08 07:50:52.300,Puttering_Around,annotator,PA TYPE
2021-11-08 07:50:54.300,2021-11-08 07:51:20.300,Puttering_Around,annotator,PA TYPE
2021-11-08 07:51:20.300,2021-11-08 07:51:25.300,Puttering_Around,annotator,PA TYPE
2021-11-08 07:51:27.300,2021-11-08 07:52:22.287,Puttering_Around,annotator,PA TYPE
2021-11-08 07:52:22.287,2021-11-08 07:52:33.287,Standing_With_Movement,annotator,PA TYPE
2021-11-08 07:52:34.287,2021-11-08 07:52:57.287,Puttering_Around,annotator,PA TYPE
2021-11-08 07:53:03.287,2021-11-08 07:53:22.287,Standing_With_Movement,annotator,PA TYPE
2021-11-08 07:53:23.287,2021-11-08 07:54:09.287,Puttering_Around,annotator,PA TYPE
2021-11-08 07:54:10.287,2021-11-08 07:54:13.287,Standing_Still,annotator,PA TYPE
2021-11-08 07:54:26.287,2021-11-08 07:55:19.275,Puttering_Around,annotator,PA TYPE
2021-11-08 07:55:20.275,2021-11-08 07:55:28.275,Standing_With_Movement,annotator,PA TYPE
2021-11-08 07:55:32.275,2021-11-08 07:55:54.275,null,annotator,PA TYPE
2021-11-08 07:55:58.275,2021-11-08 07:56:01.275,Puttering_Around,annotator,PA TYPE
2021-11-08 07:56:03.275,2021-11-08 07:57:01.275,Standing_With_Movement,annotator,PA TYPE
2021-11-08 07:57:02.275,2021-11-08 07:57:07.275,Puttering_Around,annotator,PA TYPE
2021-11-08 07:57:12.275,2021-11-08 07:57:20.275,Puttering_Around,annotator,PA TYPE
2021-11-08 07:57:24.275,2021-11-08 08:04:40.237,Sitting_With_Movement,annotator,PA TYPE
2021-11-08 08:04:42.237,2021-11-08 08:05:00.237,Puttering_Around,annotator,PA TYPE
2021-11-08 08:05:05.237,2021-11-08 08:10:33.212,Sitting_With_Movement,annotator,PA TYPE
2021-11-08 08:10:36.212,2021-11-08 08:11:18.212,Puttering_Around,annotator,PA TYPE
2021-11-08 08:11:20.212,2021-11-08 08:11:37.200,Standing_With_Movement,annotator,PA TYPE
2021-11-08 08:11:38.200,2021-11-08 08:12:08.200,Standing_With_Movement,annotator,PA TYPE
2021-11-08 08:12:09.200,2021-11-08 08:12:23.200,Puttering_Around,annotator,PA TYPE
2021-11-08 08:12:25.200,2021-11-08 08:13:03.200,Standing_With_Movement,annotator,PA TYPE
2021-11-08 08:13:04.200,2021-11-08 08:13:44.200,Puttering_Around,annotator,PA TYPE
2021-11-08 08:13:45.200,2021-11-08 08:14:17.187,Puttering_Around,annotator,PA TYPE
2021-11-08 08:14:18.187,2021-11-08 08:14:56.187,Standing_With_Movement,annotator,PA TYPE
2021-11-08 08:15:02.187,2021-11-08 08:16:29.187,Standing_With_Movement,annotator,PA TYPE
2021-11-08 08:16:33.187,2021-11-08 08:17:25.175,Puttering_Around,annotator,PA TYPE
2021-11-08 08:17:27.175,2021-11-08 08:18:56.175,Standing_With_Movement,annotator,PA TYPE
2021-11-08 08:18:58.175,2021-11-08 08:19:39.162,Puttering_Around,annotator,PA TYPE
2021-11-08 08:19:41.162,2021-11-08 08:21:33.162,Standing_With_Movement,annotator,PA TYPE
2021-11-08 08:21:40.162,2021-11-08 08:22:30.150,Puttering_Around,annotator,PA TYPE
2021-11-08 08:22:44.150,2021-11-08 08:23:13.150,Standing_With_Movement,annotator,PA TYPE
2021-11-08 08:23:14.150,2021-11-08 08:23:40.150,Puttering_Around,annotator,PA TYPE
2021-11-08 08:23:41.150,2021-11-08 08:24:42.150,Standing_With_Movement,annotator,PA TYPE
2021-11-08 08:24:55.150,2021-11-08 08:27:55.125,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE
2021-11-08 08:27:56.125,2021-11-08 08:28:33.125,Puttering_Around,annotator,PA TYPE
2021-11-08 08:28:44.125,2021-11-08 08:29:03.125,Standing_With_Movement,annotator,PA TYPE
2021-11-08 08:29:05.125,2021-11-08 08:29:44.125,Puttering_Around,annotator,PA TYPE
2021-11-08 08:29:45.125,2021-11-08 08:30:00.125,Standing_With_Movement,annotator,PA TYPE
2021-11-08 08:30:23.125,2021-11-08 08:30:59.112,Puttering_Around,annotator,PA TYPE
2021-11-08 08:31:01.112,2021-11-08 09:00:28.987,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE
2021-11-08 09:00:36.987,2021-11-08 09:01:05.975,Puttering_Around,annotator,PA TYPE
2021-11-08 09:01:08.975,2021-11-08 09:03:03.975,Sitting_With_Movement,annotator,PA TYPE
2021-11-08 09:03:05.975,2021-11-08 09:08:22.950,Sitting_With_Movement,annotator,PA TYPE
2021-11-08 09:08:44.950,2021-11-08 09:10:09.937,Sitting_With_Movement,annotator,PA TYPE
2021-11-08 09:10:11.937,2021-11-08 09:10:14.937,Puttering_Around,annotator,PA TYPE
2021-11-08 09:10:16.937,2021-11-08 09:10:52.937,Puttering_Around,annotator,PA TYPE
2021-11-08 09:10:53.937,2021-11-08 09:11:11.937,Standing_With_Movement,annotator,PA TYPE
2021-11-08 09:11:20.937,2021-11-08 09:11:46.937,Standing_With_Movement,annotator,PA TYPE
2021-11-08 09:11:49.925,2021-11-08 09:12:51.925,Puttering_Around,annotator,PA TYPE
2021-11-08 09:13:23.925,2021-11-08 09:15:26.912,Standing_With_Movement,annotator,PA TYPE
2021-11-08 09:15:35.912,2021-11-08 09:16:19.912,Puttering_Around,annotator,PA TYPE
2021-11-08 09:16:21.912,2021-11-08 09:16:50.912,Puttering_Around,annotator,PA TYPE
2021-11-08 09:16:54.912,2021-11-08 09:17:24.900,Puttering_Around,annotator,PA TYPE
2021-11-08 09:17:26.900,2021-11-08 09:18:46.900,Puttering_Around,annotator,PA TYPE
2021-11-08 09:19:38.900,2021-11-08 09:20:13.887,Puttering_Around,annotator,PA TYPE
2021-11-08 09:20:15.887,2021-11-08 09:21:08.887,Standing_With_Movement,annotator,PA TYPE
2021-11-08 09:21:13.887,2021-11-08 09:21:42.887,Standing_With_Movement,annotator,PA TYPE
2021-11-08 09:21:46.887,2021-11-08 09:22:36.887,Puttering_Around,annotator,PA TYPE
2021-11-08 09:22:38.887,2021-11-08 09:23:11.875,Puttering_Around,annotator,PA TYPE
2021-11-08 09:23:32.875,2021-11-08 09:25:00.875,Sitting_With_Movement,annotator,PA TYPE
2021-11-08 09:25:02.875,2021-11-08 09:29:14.850,Sitting_With_Movement,annotator,PA TYPE
2021-11-08 09:29:15.850,2021-11-08 09:30:48.850,Sitting_With_Movement,annotator,PA TYPE
2021-11-08 09:31:01.850,2021-11-08 09:32:19.837,Sitting_With_Movement,annotator,PA TYPE
2021-11-08 09:33:07.837,2021-11-08 09:33:32.837,Puttering_Around,annotator,PA TYPE
2021-11-08 09:33:36.837,2021-11-08 09:37:01.812,Sitting_With_Movement,annotator,PA TYPE
2021-11-08 09:37:05.812,2021-11-08 09:37:11.812,Puttering_Around,annotator,PA TYPE
2021-11-08 09:37:12.812,2021-11-08 09:38:44.812,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE
2021-11-08 09:39:03.812,2021-11-08 09:39:53.800,Sitting_With_Movement,annotator,PA TYPE
2021-11-08 09:40:00.800,2021-11-08 09:41:23.800,Sitting_With_Movement,annotator,PA TYPE
2021-11-08 09:41:24.800,2021-11-08 09:41:48.800,Sitting_With_Movement,annotator,PA TYPE
2021-11-08 09:42:11.787,2021-11-08 09:51:16.750,Sitting_With_Movement,annotator,PA TYPE
2021-11-08 09:51:17.750,2021-11-08 09:51:39.750,Puttering_Around,annotator,PA TYPE
2021-11-08 09:51:45.750,2021-11-08 09:52:19.750,Sitting_With_Movement,annotator,PA TYPE
2021-11-08 09:52:20.750,2021-11-08 09:56:37.725,Sitting_With_Movement,annotator,PA TYPE
2021-11-08 09:56:38.725,2021-11-08 10:00:08.712,Sitting_With_Movement,annotator,PA TYPE
2021-11-08 10:00:13.712,2021-11-08 10:01:08.712,Sitting_With_Movement,annotator,PA TYPE
2021-11-08 10:01:10.712,2021-11-08 10:06:01.687,Sitting_With_Movement,annotator,PA TYPE
2021-11-08 10:06:03.687,2021-11-08 10:32:00.562,Sitting_With_Movement,annotator,PA TYPE
2021-11-08 10:32:04.562,2021-11-08 10:35:07.550,Sitting_With_Movement,annotator,PA TYPE
2021-11-08 10:35:45.550,2021-11-08 13:03:46.875,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE
2021-11-08 13:03:50.875,2021-11-08 13:04:51.875,Sitting_With_Movement,annotator,PA TYPE
2021-11-08 13:04:53.875,2021-11-08 13:05:06.875,Puttering_Around,annotator,PA TYPE
2021-11-08 13:05:08.875,2021-11-08 13:06:09.862,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE
2021-11-08 13:06:10.862,2021-11-08 13:08:43.850,Puttering_Around,annotator,PA TYPE
2021-11-08 13:08:44.850,2021-11-08 13:09:08.850,Standing_With_Movement,annotator,PA TYPE
2021-11-08 13:09:15.850,2021-11-08 13:09:36.850,Puttering_Around,annotator,PA TYPE
2021-11-08 13:09:36.850,2021-11-08 13:10:29.850,Sitting_With_Movement,annotator,PA TYPE
2021-11-08 13:11:00.837,2021-11-08 13:12:14.837,Sitting_With_Movement,annotator,PA TYPE
2021-11-08 13:12:20.837,2021-11-08 13:13:04.837,Sitting_With_Movement,annotator,PA TYPE
2021-11-08 13:13:19.837,2021-11-08 13:14:24.825,Sitting_With_Movement,annotator,PA TYPE
2021-11-08 13:14:26.825,2021-11-08 13:15:24.825,Puttering_Around,annotator,PA TYPE
2021-11-08 13:15:25.825,2021-11-08 13:15:36.825,Puttering_Around,annotator,PA TYPE
2021-11-08 13:15:40.825,2021-11-08 13:16:04.825,Sitting_With_Movement,annotator,PA TYPE
2021-11-08 13:16:06.825,2021-11-08 13:19:26.800,Sitting_With_Movement,annotator,PA TYPE
2021-11-08 13:20:05.800,2021-11-08 13:21:17.800,Sitting_With_Movement,annotator,PA TYPE
2021-11-08 13:21:29.800,2021-11-08 13:22:30.787,Sitting_With_Movement,annotator,PA TYPE
2021-11-08 13:22:31.787,2021-11-08 13:42:10.700,Sitting_With_Movement,annotator,PA TYPE
2021-11-08 13:42:56.700,2021-11-08 13:43:37.700,Sitting_With_Movement,annotator,PA TYPE
2021-11-08 13:43:39.700,2021-11-08 13:46:31.687,Sitting_With_Movement,annotator,PA TYPE
2021-11-08 13:46:57.675,2021-11-08 13:51:25.662,Sitting_With_Movement,annotator,PA TYPE
2021-11-08 13:52:03.662,2021-11-08 14:00:49.612,Sitting_With_Movement,annotator,PA TYPE
2021-11-08 14:01:24.612,2021-11-08 14:02:26.612,Sitting_With_Movement,annotator,PA TYPE
2021-11-08 14:03:22.600,2021-11-08 14:11:06.575,Sitting_With_Movement,annotator,PA TYPE
2021-11-08 14:11:09.575,2021-11-08 14:19:07.537,Sitting_With_Movement,annotator,PA TYPE
2021-11-08 14:20:03.525,2021-11-08 14:27:41.500,Sitting_With_Movement,annotator,PA TYPE
2021-11-08 14:27:49.500,2021-11-08 14:31:08.475,Sitting_With_Movement,annotator,PA TYPE
