START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2021-12-01 08:18:42.387,2021-12-01 14:11:37.837,ES_Other,Expert,Experimental situation
2021-12-01 08:18:42.687,2021-12-01 08:21:51.375,Free_Living,Expert,Experimental situation
2021-12-01 08:21:52.375,2021-12-01 08:21:56.375,Free_Living,Expert,Experimental situation
2021-12-01 08:21:57.375,2021-12-01 08:22:22.375,Free_Living,Expert,Experimental situation
2021-12-01 08:22:25.375,2021-12-01 08:22:49.362,Free_Living,Expert,Experimental situation
2021-12-01 08:22:50.362,2021-12-01 08:22:58.362,Free_Living,Expert,Experimental situation
2021-12-01 08:22:58.362,2021-12-01 08:23:03.362,Free_Living,Expert,Experimental situation
2021-12-01 08:23:05.362,2021-12-01 08:27:03.350,Free_Living,Expert,Experimental situation
2021-12-01 08:27:04.350,2021-12-01 08:27:32.350,Free_Living,Expert,Experimental situation
2021-12-01 08:27:35.350,2021-12-01 08:29:08.337,Free_Living,Expert,Experimental situation
2021-12-01 08:29:10.337,2021-12-01 08:29:50.337,Free_Living,Expert,Experimental situation
2021-12-01 08:29:52.337,2021-12-01 08:30:09.337,Free_Living,Expert,Experimental situation
2021-12-01 08:30:11.337,2021-12-01 08:30:27.337,Free_Living,Expert,Experimental situation
2021-12-01 08:30:29.337,2021-12-01 08:30:55.337,Free_Living,Expert,Experimental situation
2021-12-01 08:30:56.337,2021-12-01 08:31:16.337,Free_Living,Expert,Experimental situation
2021-12-01 08:31:17.337,2021-12-01 08:35:22.312,Free_Living,Expert,Experimental situation
2021-12-01 08:35:25.312,2021-12-01 08:38:59.300,Free_Living,Expert,Experimental situation
2021-12-01 08:39:00.300,2021-12-01 08:39:09.300,Free_Living,Expert,Experimental situation
2021-12-01 08:39:12.300,2021-12-01 08:40:55.287,Free_Living,Expert,Experimental situation
2021-12-01 08:40:58.287,2021-12-01 08:41:26.287,Free_Living,Expert,Experimental situation
2021-12-01 08:41:28.287,2021-12-01 08:41:55.287,Free_Living,Expert,Experimental situation
2021-12-01 08:41:57.287,2021-12-01 08:43:16.275,Free_Living,Expert,Experimental situation
2021-12-01 08:43:16.275,2021-12-01 08:43:29.275,Free_Living,Expert,Experimental situation
2021-12-01 08:43:30.275,2021-12-01 08:43:45.275,Free_Living,Expert,Experimental situation
2021-12-01 08:43:46.275,2021-12-01 08:44:22.275,Free_Living,Expert,Experimental situation
2021-12-01 08:44:23.275,2021-12-01 08:44:36.275,Free_Living,Expert,Experimental situation
2021-12-01 08:44:37.275,2021-12-01 08:46:04.262,Free_Living,Expert,Experimental situation
2021-12-01 08:46:05.262,2021-12-01 08:46:10.262,Free_Living,Expert,Experimental situation
2021-12-01 08:46:11.262,2021-12-01 08:46:21.262,Free_Living,Expert,Experimental situation
2021-12-01 08:46:26.262,2021-12-01 08:46:39.262,Free_Living,Expert,Experimental situation
2021-12-01 08:46:40.262,2021-12-01 08:46:47.262,Free_Living,Expert,Experimental situation
2021-12-01 08:46:48.262,2021-12-01 08:48:22.250,Free_Living,Expert,Experimental situation
2021-12-01 08:48:25.250,2021-12-01 08:49:31.250,Free_Living,Expert,Experimental situation
2021-12-01 08:49:32.250,2021-12-01 08:50:49.250,Free_Living,Expert,Experimental situation
2021-12-01 08:50:51.250,2021-12-01 08:57:52.212,Free_Living,Expert,Experimental situation
2021-12-01 08:57:52.212,2021-12-01 08:58:01.212,Free_Living,Expert,Experimental situation
2021-12-01 08:58:01.212,2021-12-01 08:58:26.212,Free_Living,Expert,Experimental situation
2021-12-01 08:58:26.212,2021-12-01 08:58:34.212,Free_Living,Expert,Experimental situation
2021-12-01 08:58:35.212,2021-12-01 08:59:33.212,Free_Living,Expert,Experimental situation
2021-12-01 08:59:35.212,2021-12-01 09:00:00.200,Free_Living,Expert,Experimental situation
2021-12-01 09:00:01.200,2021-12-01 09:00:19.200,Free_Living,Expert,Experimental situation
2021-12-01 09:00:20.200,2021-12-01 09:00:36.200,Free_Living,Expert,Experimental situation
2021-12-01 09:00:36.200,2021-12-01 09:01:12.200,Free_Living,Expert,Experimental situation
2021-12-01 09:01:13.200,2021-12-01 09:01:30.200,Free_Living,Expert,Experimental situation
2021-12-01 09:01:30.200,2021-12-01 09:01:43.200,Free_Living,Expert,Experimental situation
2021-12-01 09:01:43.200,2021-12-01 09:03:04.187,Free_Living,Expert,Experimental situation
2021-12-01 09:03:05.187,2021-12-01 09:03:15.187,Free_Living,Expert,Experimental situation
2021-12-01 09:03:16.187,2021-12-01 09:04:21.187,Free_Living,Expert,Experimental situation
2021-12-01 09:04:22.187,2021-12-01 09:04:31.187,Free_Living,Expert,Experimental situation
2021-12-01 09:04:32.187,2021-12-01 09:11:36.150,Free_Living,Expert,Experimental situation
2021-12-01 09:11:38.150,2021-12-01 09:13:44.150,Free_Living,Expert,Experimental situation
2021-12-01 09:13:44.150,2021-12-01 09:14:01.137,Free_Living,Expert,Experimental situation
2021-12-01 09:14:01.137,2021-12-01 09:14:05.137,Free_Living,Expert,Experimental situation
2021-12-01 09:14:06.137,2021-12-01 09:19:22.125,Free_Living,Expert,Experimental situation
2021-12-01 09:19:23.125,2021-12-01 09:23:37.100,Free_Living,Expert,Experimental situation
2021-12-01 09:23:37.100,2021-12-01 09:23:41.100,Free_Living,Expert,Experimental situation
2021-12-01 09:23:42.100,2021-12-01 09:23:58.100,Free_Living,Expert,Experimental situation
2021-12-01 09:23:59.100,2021-12-01 09:24:30.100,Free_Living,Expert,Experimental situation
2021-12-01 09:24:30.100,2021-12-01 09:25:05.100,Free_Living,Expert,Experimental situation
2021-12-01 09:25:06.100,2021-12-01 09:25:30.087,Free_Living,Expert,Experimental situation
2021-12-01 09:25:30.087,2021-12-01 09:27:03.087,Free_Living,Expert,Experimental situation
2021-12-01 09:27:04.087,2021-12-01 09:27:20.087,Free_Living,Expert,Experimental situation
2021-12-01 09:27:21.087,2021-12-01 09:27:37.087,Free_Living,Expert,Experimental situation
2021-12-01 09:27:38.087,2021-12-01 09:28:26.075,Free_Living,Expert,Experimental situation
2021-12-01 09:28:27.075,2021-12-01 09:29:01.075,Free_Living,Expert,Experimental situation
2021-12-01 09:29:02.075,2021-12-01 09:29:21.075,Free_Living,Expert,Experimental situation
2021-12-01 09:29:23.075,2021-12-01 09:29:41.075,Free_Living,Expert,Experimental situation
2021-12-01 09:29:42.075,2021-12-01 09:31:24.062,Free_Living,Expert,Experimental situation
2021-12-01 09:31:30.062,2021-12-01 09:32:47.062,Free_Living,Expert,Experimental situation
2021-12-01 09:32:48.062,2021-12-01 09:33:37.062,Free_Living,Expert,Experimental situation
2021-12-01 09:33:38.062,2021-12-01 09:34:04.050,Free_Living,Expert,Experimental situation
2021-12-01 09:34:06.050,2021-12-01 09:34:30.050,Free_Living,Expert,Experimental situation
2021-12-01 09:34:31.050,2021-12-01 09:36:11.050,Free_Living,Expert,Experimental situation
2021-12-01 09:36:14.050,2021-12-01 09:36:42.037,Free_Living,Expert,Experimental situation
2021-12-01 09:36:43.037,2021-12-01 09:38:37.037,Free_Living,Expert,Experimental situation
2021-12-01 09:38:38.037,2021-12-01 09:38:50.037,Free_Living,Expert,Experimental situation
2021-12-01 09:38:51.037,2021-12-01 09:42:22.012,Free_Living,Expert,Experimental situation
2021-12-01 09:42:23.012,2021-12-01 09:51:23.975,Free_Living,Expert,Experimental situation
2021-12-01 09:51:24.975,2021-12-01 09:51:40.975,Free_Living,Expert,Experimental situation
2021-12-01 09:51:40.975,2021-12-01 09:51:57.975,Free_Living,Expert,Experimental situation
2021-12-01 09:51:57.975,2021-12-01 09:53:31.975,Free_Living,Expert,Experimental situation
2021-12-01 09:53:33.975,2021-12-01 09:54:00.962,Free_Living,Expert,Experimental situation
2021-12-01 09:54:01.962,2021-12-01 09:54:33.962,Free_Living,Expert,Experimental situation
2021-12-01 09:54:34.962,2021-12-01 09:54:52.962,Free_Living,Expert,Experimental situation
2021-12-01 09:54:54.962,2021-12-01 09:55:12.962,Free_Living,Expert,Experimental situation
2021-12-01 09:55:13.962,2021-12-01 09:55:19.962,Free_Living,Expert,Experimental situation
2021-12-01 09:55:21.962,2021-12-01 09:58:43.950,Free_Living,Expert,Experimental situation
2021-12-01 09:58:44.950,2021-12-01 09:58:57.950,Free_Living,Expert,Experimental situation
2021-12-01 09:58:57.950,2021-12-01 09:59:03.950,Free_Living,Expert,Experimental situation
2021-12-01 09:59:04.950,2021-12-01 09:59:24.937,Free_Living,Expert,Experimental situation
2021-12-01 09:59:25.937,2021-12-01 10:00:40.937,Free_Living,Expert,Experimental situation
2021-12-01 10:00:47.937,2021-12-01 10:03:16.925,Free_Living,Expert,Experimental situation
2021-12-01 10:03:18.925,2021-12-01 10:04:02.925,Free_Living,Expert,Experimental situation
2021-12-01 10:04:03.925,2021-12-01 10:26:01.825,Free_Living,Expert,Experimental situation
2021-12-01 10:26:02.825,2021-12-01 10:26:28.825,Free_Living,Expert,Experimental situation
2021-12-01 10:26:31.825,2021-12-01 10:28:01.812,Free_Living,Expert,Experimental situation
2021-12-01 10:28:04.812,2021-12-01 10:28:21.812,Free_Living,Expert,Experimental situation
2021-12-01 10:28:24.812,2021-12-01 10:28:40.812,Free_Living,Expert,Experimental situation
2021-12-01 10:28:42.812,2021-12-01 10:30:00.812,Free_Living,Expert,Experimental situation
2021-12-01 10:30:02.812,2021-12-01 10:30:42.800,Free_Living,Expert,Experimental situation
2021-12-01 10:30:43.800,2021-12-01 10:31:05.800,Free_Living,Expert,Experimental situation
2021-12-01 10:31:06.800,2021-12-01 10:31:21.800,Free_Living,Expert,Experimental situation
2021-12-01 10:31:22.800,2021-12-01 10:31:25.800,Free_Living,Expert,Experimental situation
2021-12-01 10:31:26.800,2021-12-01 10:31:32.800,Free_Living,Expert,Experimental situation
2021-12-01 10:31:32.800,2021-12-01 10:32:18.800,Free_Living,Expert,Experimental situation
2021-12-01 10:32:20.800,2021-12-01 10:33:04.800,Free_Living,Expert,Experimental situation
2021-12-01 10:33:06.800,2021-12-01 10:34:06.787,Free_Living,Expert,Experimental situation
2021-12-01 10:34:09.787,2021-12-01 10:35:24.787,Free_Living,Expert,Experimental situation
2021-12-01 10:35:25.787,2021-12-01 10:37:10.775,Free_Living,Expert,Experimental situation
2021-12-01 10:37:12.775,2021-12-01 10:38:34.775,Free_Living,Expert,Experimental situation
2021-12-01 10:38:35.775,2021-12-01 10:39:29.762,Free_Living,Expert,Experimental situation
2021-12-01 10:39:31.762,2021-12-01 10:49:24.725,Free_Living,Expert,Experimental situation
2021-12-01 10:49:25.725,2021-12-01 10:49:41.725,Free_Living,Expert,Experimental situation
2021-12-01 10:49:42.725,2021-12-01 10:50:28.725,Free_Living,Expert,Experimental situation
2021-12-01 10:50:28.725,2021-12-01 10:51:24.712,Free_Living,Expert,Experimental situation
2021-12-01 10:51:25.712,2021-12-01 10:52:10.712,Free_Living,Expert,Experimental situation
2021-12-01 10:52:11.712,2021-12-01 10:53:15.712,Free_Living,Expert,Experimental situation
2021-12-01 10:53:18.712,2021-12-01 10:56:05.700,Free_Living,Expert,Experimental situation
2021-12-01 10:56:07.700,2021-12-01 10:56:46.687,Free_Living,Expert,Experimental situation
2021-12-01 10:56:47.687,2021-12-01 10:57:24.687,Free_Living,Expert,Experimental situation
2021-12-01 10:57:25.687,2021-12-01 10:57:40.687,Free_Living,Expert,Experimental situation
2021-12-01 10:57:42.687,2021-12-01 11:01:07.675,Free_Living,Expert,Experimental situation
2021-12-01 11:01:08.675,2021-12-01 11:01:15.675,Free_Living,Expert,Experimental situation
2021-12-01 11:01:15.675,2021-12-01 11:02:52.662,Free_Living,Expert,Experimental situation
2021-12-01 11:02:52.662,2021-12-01 11:02:57.662,Free_Living,Expert,Experimental situation
2021-12-01 11:02:58.662,2021-12-01 11:03:07.662,Free_Living,Expert,Experimental situation
2021-12-01 11:03:09.662,2021-12-01 11:03:26.662,Free_Living,Expert,Experimental situation
2021-12-01 11:03:28.662,2021-12-01 11:03:34.662,Free_Living,Expert,Experimental situation
2021-12-01 11:03:35.662,2021-12-01 11:03:39.662,Free_Living,Expert,Experimental situation
2021-12-01 11:03:40.662,2021-12-01 11:03:44.662,Free_Living,Expert,Experimental situation
2021-12-01 11:03:45.662,2021-12-01 11:04:08.662,Free_Living,Expert,Experimental situation
2021-12-01 11:04:11.662,2021-12-01 11:11:42.625,Free_Living,Expert,Experimental situation
2021-12-01 11:11:43.625,2021-12-01 11:11:48.625,Free_Living,Expert,Experimental situation
2021-12-01 11:11:50.625,2021-12-01 11:11:53.625,Free_Living,Expert,Experimental situation
2021-12-01 11:11:54.625,2021-12-01 11:11:59.625,Free_Living,Expert,Experimental situation
2021-12-01 11:12:00.625,2021-12-01 11:12:06.625,Free_Living,Expert,Experimental situation
2021-12-01 11:12:06.625,2021-12-01 11:12:13.625,Free_Living,Expert,Experimental situation
2021-12-01 11:12:16.625,2021-12-01 11:12:42.625,Free_Living,Expert,Experimental situation
2021-12-01 11:12:43.625,2021-12-01 11:12:54.625,Free_Living,Expert,Experimental situation
2021-12-01 11:12:55.625,2021-12-01 11:15:25.612,Free_Living,Expert,Experimental situation
2021-12-01 11:15:26.612,2021-12-01 11:17:00.600,Free_Living,Expert,Experimental situation
2021-12-01 11:17:01.600,2021-12-01 11:17:44.600,Free_Living,Expert,Experimental situation
2021-12-01 11:17:46.600,2021-12-01 11:18:02.600,Free_Living,Expert,Experimental situation
2021-12-01 11:18:04.600,2021-12-01 11:21:16.587,Free_Living,Expert,Experimental situation
2021-12-01 11:21:18.587,2021-12-01 11:21:59.575,Free_Living,Expert,Experimental situation
2021-12-01 11:22:01.575,2021-12-01 11:22:44.575,Free_Living,Expert,Experimental situation
2021-12-01 11:22:46.575,2021-12-01 11:23:34.575,Free_Living,Expert,Experimental situation
2021-12-01 11:23:36.575,2021-12-01 11:26:07.562,Free_Living,Expert,Experimental situation
2021-12-01 11:26:09.562,2021-12-01 11:26:34.562,Free_Living,Expert,Experimental situation
2021-12-01 11:26:35.562,2021-12-01 11:30:04.550,Free_Living,Expert,Experimental situation
2021-12-01 11:30:06.550,2021-12-01 11:31:13.537,Free_Living,Expert,Experimental situation
