START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2021-11-30 10:49:27.812,2021-11-30 10:49:59.812000,Sitting_With_Movement,Expert,PA TYPE
2021-11-30 10:49:27.812,2021-11-30 10:49:59.812000,In_Position_Sitting,Expert,POSTURE
2021-11-30 10:49:27.812,2021-11-30 10:49:59.812000,Working_Other,Expert,HIGH LEVEL BEHAVIOR
2021-11-30 10:49:27.812,2021-11-30 10:49:59.812000,Free_Living,Expert,Experimental situation
2021-11-30 10:49:27.812,2021-11-30 10:49:59.812000,Located_Indoors/Browsing_Computer/Texting/Browsing_Phone,Expert,Behavioral Parameters
2021-11-30 16:01:27.837,2021-11-30 16:01:32.837000,Walking_Up_Stairs,Expert,PA TYPE
2021-11-30 16:01:27.837,2021-11-30 16:01:32.837000,In_Position_Upright,Expert,POSTURE
2021-11-30 16:01:27.837,2021-11-30 16:01:32.837000,In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2021-11-30 16:01:27.837,2021-11-30 16:01:32.837000,Free_Living,Expert,Experimental situation
2021-11-30 16:01:27.837,2021-11-30 16:01:32.837000,Holding_Drink/Located_Indoors,Expert,Behavioral Parameters
2021-12-01 08:18:42.387,2021-12-01 14:11:37.837000,Applying_Makeup,Expert,PA TYPE
2021-12-01 08:18:42.387,2021-12-01 14:11:37.837000,In_Position_Kneeling,Expert,POSTURE
2021-12-01 08:18:42.387,2021-12-01 14:11:37.837000,Administering_Child/Elder/Other_Adult,Expert,HIGH LEVEL BEHAVIOR
2021-12-01 08:18:42.387,2021-12-01 14:11:37.837000,ES_Other,Expert,Experimental situation
2021-12-01 08:18:42.387,2021-12-01 14:11:37.837000,BP_Other,Expert,Behavioral Parameters
