START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2021-12-25 12:41:00.250,2021-12-25 12:41:15.250,HLB_Other,Expert,HIGH LEVEL BEHAVIOR
2021-12-25 12:41:31.250,2021-12-25 13:41:04.187,Using_Computer/Screen,Expert,HIGH LEVEL BEHAVIOR
2021-12-25 13:41:17.187,2021-12-25 13:43:08.187,HLB_Other,Expert,HIGH LEVEL BEHAVIOR
2021-12-25 13:43:09.187,2021-12-25 13:43:36.187,HLB_Other,Expert,HIGH LEVEL BEHAVIOR
2021-12-25 13:43:44.187,2021-12-25 13:44:42.187,Doing_Common_Housework,Expert,HIGH LEVEL BEHAVIOR
2021-12-25 13:44:42.187,2021-12-25 13:45:07.187,Doing_Common_Housework,Expert,HIGH LEVEL BEHAVIOR
2021-12-25 13:45:07.187,2021-12-25 13:46:47.187,Cooking/Prepping_Food,Expert,HIGH LEVEL BEHAVIOR
2021-12-25 13:46:47.187,2021-12-25 13:47:43.187,Cooking/Prepping_Food,Expert,HIGH LEVEL BEHAVIOR
2021-12-25 13:47:43.187,2021-12-25 13:48:47.187,Cooking/Prepping_Food,Expert,HIGH LEVEL BEHAVIOR
2021-12-25 13:48:47.187,2021-12-25 13:49:25.187,Cooking/Prepping_Food,Expert,HIGH LEVEL BEHAVIOR
2021-12-25 13:49:40.187,2021-12-25 14:08:57.162,WatchingTV/Movies/Eating/Dining,Expert,HIGH LEVEL BEHAVIOR
2021-12-25 14:09:32.162,2021-12-25 14:12:04.162,Doing_Common_Housework/Cleaning,Expert,HIGH LEVEL BEHAVIOR
2021-12-25 14:12:04.162,2021-12-25 14:15:37.162,Doing_Common_Housework,Expert,HIGH LEVEL BEHAVIOR
2021-12-25 14:16:05.162,2021-12-25 14:16:24.162,Doing_Common_Housework,Expert,HIGH LEVEL BEHAVIOR
2021-12-25 14:16:24.162,2021-12-25 14:20:49.150,Doing_Dishes,Expert,HIGH LEVEL BEHAVIOR
2021-12-25 14:20:49.150,2021-12-25 14:21:08.150,Doing_Common_Housework,Expert,HIGH LEVEL BEHAVIOR
2021-12-25 14:21:12.150,2021-12-25 14:22:41.150,HLB_Other,Expert,HIGH LEVEL BEHAVIOR
2021-12-25 14:22:54.150,2021-12-25 14:36:43.137,Using_Computer/Screen,Expert,HIGH LEVEL BEHAVIOR
2021-12-25 14:36:56.137,2021-12-25 14:39:01.137,HLB_Other,Expert,HIGH LEVEL BEHAVIOR
2021-12-25 14:39:18.137,2021-12-25 14:40:26.137,WatchingTV/Movies,Expert,HIGH LEVEL BEHAVIOR
2021-12-25 14:40:40.137,2021-12-25 14:42:47.137,HLB_Other,Expert,HIGH LEVEL BEHAVIOR
2021-12-25 14:43:01.137,2021-12-25 15:28:39.087,HLB_Other/WatchingTV/Movies/Using_Computer/Screen,Expert,HIGH LEVEL BEHAVIOR
2021-12-25 15:28:45.087,2021-12-25 15:29:06.087,HLB_Other,Expert,HIGH LEVEL BEHAVIOR
2021-12-25 15:29:08.087,2021-12-25 15:31:18.087,WatchingTV/Movies,Expert,HIGH LEVEL BEHAVIOR
