START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-01-18 06:52:06.200,2022-01-18 06:52:26.200,Located_Indoors,Expert,Behavioral Parameters
2022-01-18 06:52:29.200,2022-01-18 06:53:16.200,Located_Indoors,Expert,Behavioral Parameters
2022-01-18 06:53:21.200,2022-01-18 07:35:41.050,,Expert,Behavioral Parameters
2022-01-18 07:35:58.050,2022-01-18 07:36:29.050,Located_Indoors,Expert,Behavioral Parameters
2022-01-18 07:36:31.037,2022-01-18 07:36:55.037,Located_Indoors,Expert,Behavioral Parameters
2022-01-18 07:37:06.037,2022-01-18 07:38:16.037,Located_Indoors,Expert,Behavioral Parameters
2022-01-18 07:38:20.037,2022-01-18 07:38:57.037,Located_Indoors,Expert,Behavioral Parameters
2022-01-18 07:39:00.037,2022-01-18 07:39:16.037,Located_Indoors,Expert,Behavioral Parameters
2022-01-18 07:39:17.037,2022-01-18 07:39:42.037,Located_Indoors/Holding_Drink,Expert,Behavioral Parameters
2022-01-18 07:39:44.037,2022-01-18 07:40:19.025,Located_Indoors,Expert,Behavioral Parameters
2022-01-18 07:40:23.025,2022-01-18 07:41:18.025,Located_Indoors,Expert,Behavioral Parameters
2022-01-18 07:41:25.025,2022-01-18 07:41:58.025,Located_Indoors,Expert,Behavioral Parameters
2022-01-18 07:41:58.025,2022-01-18 07:42:30.025,Located_Indoors/Carrying_Bag_On_Shoulder/Back_Light,Expert,Behavioral Parameters
2022-01-18 07:42:34.025,2022-01-18 07:43:05.025,Located_Outdoors/Carrying_Bag_On_Shoulder/Back_Light,Expert,Behavioral Parameters
2022-01-18 07:43:07.025,2022-01-18 07:43:33.012,Located_Outdoors/Carrying_Bag_On_Shoulder/Back_Light/Texting/Browsing_Phone,Expert,Behavioral Parameters
2022-01-18 07:43:37.012,2022-01-18 07:48:33.000,Located_Outdoors/Carrying_Bag_On_Shoulder/Back_Light,Expert,Behavioral Parameters
2022-01-18 07:48:36.000,2022-01-18 07:49:36.000,Carrying_Bag_On_Shoulder/Back_Light/Located_Indoors,Expert,Behavioral Parameters
2022-01-18 07:49:38.000,2022-01-18 07:50:15.987,Carrying_Bag_On_Shoulder/Back_Light/Located_Indoors,Expert,Behavioral Parameters
2022-01-18 07:50:19.987,2022-01-18 07:51:17.987,Carrying_Bag_On_Shoulder/Back_Light/Located_Indoors,Expert,Behavioral Parameters
2022-01-18 07:51:33.987,2022-01-18 08:07:55.925,Located_Indoors,Expert,Behavioral Parameters
2022-01-18 08:08:07.925,2022-01-18 08:11:26.912,Located_Indoors,Expert,Behavioral Parameters
2022-01-18 08:11:37.912,2022-01-18 08:13:13.912,Located_Indoors/Browsing_Computer,Expert,Behavioral Parameters
2022-01-18 08:13:25.912,2022-01-18 08:27:19.862,Located_Indoors/Browsing_Computer,Expert,Behavioral Parameters
2022-01-18 08:27:30.862,2022-01-18 08:28:11.850,Located_Indoors/Browsing_Computer/Legs_Crossed,Expert,Behavioral Parameters
2022-01-18 08:28:22.850,2022-01-18 08:48:30.775,Located_Indoors,Expert,Behavioral Parameters
2022-01-18 08:48:42.775,2022-01-18 08:49:10.775,Located_Indoors,Expert,Behavioral Parameters
2022-01-18 08:49:19.775,2022-01-18 08:49:35.775,Located_Indoors/Carrying_Bag_On_Shoulder/Back_Light,Expert,Behavioral Parameters
2022-01-18 08:49:36.775,2022-01-18 08:50:54.775,Located_Indoors/Carrying_Bag_On_Shoulder/Back_Light/In_Conversation,Expert,Behavioral Parameters
2022-01-18 08:51:06.775,2022-01-18 08:51:21.775,Located_Indoors/Carrying_Bag_On_Shoulder/Back_Light,Expert,Behavioral Parameters
2022-01-18 08:51:24.775,2022-01-18 08:52:19.762,Located_Indoors/Carrying_Bag_On_Shoulder/Back_Light/Texting/Browsing_Phone,Expert,Behavioral Parameters
2022-01-18 08:52:30.762,2022-01-18 08:56:33.750,Located_Indoors/Carrying_Bag_On_Shoulder/Back_Light,Expert,Behavioral Parameters
2022-01-18 08:56:37.750,2022-01-18 08:57:03.750,Located_Indoors/Carrying_Bag_On_Shoulder/Back_Light,Expert,Behavioral Parameters
2022-01-18 08:57:07.750,2022-01-18 09:03:13.725,Carrying_Bag_On_Shoulder/Back_Light/Located_Outdoors,Expert,Behavioral Parameters
2022-01-18 09:03:30.725,2022-01-18 09:04:06.725,Carrying_Bag_On_Shoulder/Back_Light/Located_Indoors,Expert,Behavioral Parameters
2022-01-18 09:04:08.725,2022-01-18 09:04:53.725,Carrying_Bag_On_Shoulder/Back_Light/Located_Indoors,Expert,Behavioral Parameters
2022-01-18 09:04:56.725,2022-01-18 09:05:14.725,Located_Indoors,Expert,Behavioral Parameters
2022-01-18 09:05:17.725,2022-01-18 09:05:30.712,Located_Indoors,Expert,Behavioral Parameters
2022-01-18 09:05:35.712,2022-01-18 09:06:19.712,Located_Indoors,Expert,Behavioral Parameters
2022-01-18 09:06:22.712,2022-01-18 09:06:38.712,Located_Indoors,Expert,Behavioral Parameters
2022-01-18 09:06:47.712,2022-01-18 09:08:40.712,Located_Indoors,Expert,Behavioral Parameters
2022-01-18 09:08:46.700,2022-01-18 09:09:07.700,Located_Indoors,Expert,Behavioral Parameters
2022-01-18 09:09:12.700,2022-01-18 09:11:12.700,Located_Indoors,Expert,Behavioral Parameters
2022-01-18 09:11:21.700,2022-01-18 09:11:47.700,Located_Indoors,Expert,Behavioral Parameters
2022-01-18 09:11:54.700,2022-01-18 09:16:35.675,Located_Indoors/Holding_Solid_Food,Expert,Behavioral Parameters
2022-01-18 09:16:41.675,2022-01-18 09:17:09.675,Located_Indoors,Expert,Behavioral Parameters
2022-01-18 09:17:13.675,2022-01-18 09:17:33.675,Located_Indoors/Holding_Drink,Expert,Behavioral Parameters
2022-01-18 09:17:36.675,2022-01-18 09:18:47.675,Located_Indoors,Expert,Behavioral Parameters
2022-01-18 09:18:52.675,2022-01-18 09:19:09.662,Located_Indoors/Holding_Drink/Texting/Browsing_Phone,Expert,Behavioral Parameters
2022-01-18 09:19:12.662,2022-01-18 09:19:34.662,Located_Indoors,Expert,Behavioral Parameters
