START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-01-20 09:28:32.050,2022-01-20 09:28:52.050,,Expert,HIGH LEVEL BEHAVIOR
2022-01-20 09:29:06.050,2022-01-20 09:30:01.037,Grooming/Self_Care,Expert,HIGH LEVEL BEHAVIOR
2022-01-20 09:30:02.037,2022-01-20 09:32:21.025,Grooming/Self_Care,Expert,HIGH LEVEL BEHAVIOR
2022-01-20 09:32:27.025,2022-01-20 09:35:34.012,Grooming/Self_Care,Expert,HIGH LEVEL BEHAVIOR
2022-01-20 09:35:38.012,2022-01-20 09:39:14.000,Grooming/Self_Care,Expert,HIGH LEVEL BEHAVIOR
2022-01-20 09:39:21.000,2022-01-20 10:29:13.762,HLB_Indecipherable/Video_Insufficient,Expert,HIGH LEVEL BEHAVIOR
2022-01-20 10:29:14.762,2022-01-20 10:34:38.737,Dressing/Undressing,Expert,HIGH LEVEL BEHAVIOR
2022-01-20 10:34:44.737,2022-01-20 10:36:21.737,,Expert,HIGH LEVEL BEHAVIOR
2022-01-20 10:36:22.737,2022-01-20 10:36:33.737,Cooking/Prepping_Food,Expert,HIGH LEVEL BEHAVIOR
2022-01-20 10:36:37.737,2022-01-20 10:37:25.725,Packing/Unpacking_Something,Expert,HIGH LEVEL BEHAVIOR
2022-01-20 10:37:38.725,2022-01-20 10:38:53.725,Dressing/Undressing,Expert,HIGH LEVEL BEHAVIOR
2022-01-20 10:38:56.725,2022-01-20 10:39:31.712,,Expert,HIGH LEVEL BEHAVIOR
2022-01-20 10:40:43.712,2022-01-20 10:44:23.700,Eating/Dining,Expert,HIGH LEVEL BEHAVIOR
2022-01-20 10:44:25.700,2022-01-20 10:45:12.687,,Expert,HIGH LEVEL BEHAVIOR
2022-01-20 10:45:22.687,2022-01-20 10:46:30.687,Grooming/Self_Care,Expert,HIGH LEVEL BEHAVIOR
2022-01-20 10:46:33.687,2022-01-20 10:48:27.675,,Expert,HIGH LEVEL BEHAVIOR
2022-01-20 10:48:31.675,2022-01-20 10:48:41.675,In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-01-20 10:48:42.675,2022-01-20 10:49:21.675,In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-01-20 10:49:31.675,2022-01-20 10:56:50.637,In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
