START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-01-21 07:29:05.312,2022-01-21 07:35:29.300,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-01-21 07:35:45.300,2022-01-21 07:36:23.300,,annotator,HIGH LEVEL BEHAVIOR
2022-01-21 07:36:26.300,2022-01-21 07:36:57.300,Doing_Common_Housework,annotator,HIGH LEVEL BEHAVIOR
2022-01-21 07:36:57.300,2022-01-21 07:37:04.300,,annotator,HIGH LEVEL BEHAVIOR
2022-01-21 07:37:04.300,2022-01-21 07:37:11.300,,annotator,HIGH LEVEL BEHAVIOR
2022-01-21 07:37:12.300,2022-01-21 07:37:48.300,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR
2022-01-21 07:37:49.300,2022-01-21 07:44:28.287,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-01-21 07:44:34.287,2022-01-21 07:44:38.287,Grooming/Self_Care,annotator,HIGH LEVEL BEHAVIOR
2022-01-21 07:44:43.287,2022-01-21 07:45:11.287,,annotator,HIGH LEVEL BEHAVIOR
2022-01-21 07:45:14.287,2022-01-21 07:45:31.287,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-01-21 07:45:32.287,2022-01-21 07:46:06.287,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-01-21 07:46:08.287,2022-01-21 07:46:23.287,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-01-21 07:46:24.287,2022-01-21 07:46:48.287,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-01-21 07:46:53.287,2022-01-21 07:52:06.275,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-01-21 07:52:10.275,2022-01-21 07:52:31.275,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-01-21 07:52:33.275,2022-01-21 07:52:50.275,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-01-21 07:52:52.275,2022-01-21 07:53:19.275,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-01-21 07:53:22.275,2022-01-21 07:53:38.275,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-01-21 07:53:40.275,2022-01-21 07:53:45.275,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-01-21 07:53:46.275,2022-01-21 07:53:51.275,HLB_Other,annotator,HIGH LEVEL BEHAVIOR
2022-01-21 07:53:53.275,2022-01-21 07:54:21.275,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
