START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-01-31 20:17:37.512,2022-01-31 20:17:44.512,In_Position_Upright,annotator,POSTURE
2022-01-31 20:17:44.512,2022-01-31 20:18:10.512,In_Position_Sitting,annotator,POSTURE
2022-01-31 20:18:10.512,2022-01-31 20:18:17.512,In_Position_Upright,annotator,POSTURE
2022-01-31 20:18:17.512,2022-01-31 20:19:57.500,In_Position_Sitting,annotator,POSTURE
2022-01-31 20:19:57.500,2022-01-31 20:20:29.500,In_Position_Sitting,annotator,POSTURE
2022-01-31 20:20:29.500,2022-01-31 20:31:38.437,In_Position_Sitting,annotator,POSTURE
2022-01-31 20:31:52.437,2022-01-31 20:33:03.437,In_Position_Upright,annotator,POSTURE
2022-01-31 20:33:03.437,2022-01-31 20:33:52.425,In_Position_Sitting,annotator,POSTURE
2022-01-31 20:33:52.425,2022-01-31 20:35:28.425,In_Position_Sitting,annotator,POSTURE
2022-01-31 20:35:28.425,2022-01-31 20:36:40.412,In_Position_Upright,annotator,POSTURE
2022-01-31 20:36:40.412,2022-01-31 20:38:14.412,In_Position_Sitting,annotator,POSTURE
2022-01-31 20:38:15.412,2022-01-31 20:38:26.400,In_Position_Sitting,annotator,POSTURE
2022-01-31 20:38:26.400,2022-01-31 20:38:48.400,In_Position_Sitting,annotator,POSTURE
2022-01-31 20:38:48.400,2022-01-31 20:47:58.362,In_Position_Sitting,annotator,POSTURE
2022-01-31 20:47:58.362,2022-01-31 20:49:14.350,In_Position_Sitting,annotator,POSTURE
2022-01-31 20:49:14.350,2022-01-31 21:04:02.275,In_Position_Sitting,annotator,POSTURE
2022-01-31 21:04:11.275,2022-01-31 21:07:23.262,In_Position_Sitting,annotator,POSTURE
2022-01-31 21:07:23.262,2022-01-31 21:10:06.250,In_Position_Sitting,annotator,POSTURE
2022-01-31 21:10:06.250,2022-01-31 21:10:43.237,In_Position_Sitting,annotator,POSTURE
2022-01-31 21:10:56.237,2022-01-31 21:11:30.237,In_Position_Upright,annotator,POSTURE
2022-01-31 21:11:30.237,2022-01-31 21:12:33.237,In_Position_Upright,annotator,POSTURE
