START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-02-07 09:57:20.762,2022-02-07 09:57:33.762,Free_Living,annotator,Experimental situation
2022-02-07 09:57:34.762,2022-02-07 09:57:39.762,Free_Living,annotator,Experimental situation
2022-02-07 09:57:41.762,2022-02-07 09:57:44.762,Free_Living,annotator,Experimental situation
2022-02-07 09:57:45.762,2022-02-07 09:57:59.762,Free_Living,annotator,Experimental situation
2022-02-07 09:58:03.762,2022-02-07 09:58:10.775,Free_Living,annotator,Experimental situation
2022-02-07 09:58:11.775,2022-02-07 09:58:18.775,Free_Living,annotator,Experimental situation
2022-02-07 09:58:19.775,2022-02-07 09:58:24.775,Free_Living,annotator,Experimental situation
2022-02-07 09:58:25.775,2022-02-07 09:58:32.775,Free_Living,annotator,Experimental situation
2022-02-07 09:58:47.775,2022-02-07 09:59:43.775,Free_Living,annotator,Experimental situation
2022-02-07 09:59:49.775,2022-02-07 10:00:23.775,Free_Living,annotator,Experimental situation
2022-02-07 10:00:26.775,2022-02-07 10:00:54.787,Free_Living,annotator,Experimental situation
2022-02-07 10:01:05.787,2022-02-07 10:01:10.787,Free_Living,annotator,Experimental situation
2022-02-07 10:01:12.787,2022-02-07 10:01:17.787,Free_Living,annotator,Experimental situation
2022-02-07 10:01:19.787,2022-02-07 10:01:25.787,Free_Living,annotator,Experimental situation
2022-02-07 10:01:26.787,2022-02-07 10:01:36.787,Free_Living,annotator,Experimental situation
2022-02-07 10:01:37.787,2022-02-07 10:03:17.800,Free_Living,annotator,Experimental situation
2022-02-07 10:03:19.800,2022-02-07 10:03:37.800,Free_Living,annotator,Experimental situation
2022-02-07 10:03:39.800,2022-02-07 10:03:46.800,Free_Living,annotator,Experimental situation
2022-02-07 10:03:46.800,2022-02-07 10:03:54.800,Free_Living,annotator,Experimental situation
2022-02-07 10:03:55.800,2022-02-07 10:03:58.800,Free_Living,annotator,Experimental situation
2022-02-07 10:04:00.800,2022-02-07 10:04:12.800,Free_Living,annotator,Experimental situation
2022-02-07 10:04:13.800,2022-02-07 10:04:32.800,Free_Living,annotator,Experimental situation
2022-02-07 10:04:43.800,2022-02-07 10:04:49.800,Free_Living,annotator,Experimental situation
2022-02-07 10:04:50.800,2022-02-07 10:04:57.800,Free_Living,annotator,Experimental situation
2022-02-07 10:04:58.800,2022-02-07 10:05:11.800,Free_Living,annotator,Experimental situation
2022-02-07 10:05:13.800,2022-02-07 10:05:15.800,Free_Living,annotator,Experimental situation
2022-02-07 10:05:25.800,2022-02-07 10:05:39.800,Free_Living,annotator,Experimental situation
2022-02-07 10:05:49.800,2022-02-07 10:13:29.837,Free_Living,annotator,Experimental situation
2022-02-07 10:13:31.837,2022-02-07 10:15:20.850,Free_Living,annotator,Experimental situation
2022-02-07 10:15:24.850,2022-02-07 10:15:31.850,Free_Living,annotator,Experimental situation
2022-02-07 10:15:36.850,2022-02-07 10:16:38.862,Free_Living,annotator,Experimental situation
2022-02-07 10:16:39.862,2022-02-07 10:18:24.862,Free_Living,annotator,Experimental situation
2022-02-07 10:18:26.862,2022-02-07 10:19:00.875,Free_Living,annotator,Experimental situation
2022-02-07 10:19:01.875,2022-02-07 10:19:10.875,Free_Living,annotator,Experimental situation
2022-02-07 10:19:10.875,2022-02-07 10:19:20.875,Free_Living,annotator,Experimental situation
2022-02-07 10:19:21.875,2022-02-07 10:20:26.875,Free_Living,annotator,Experimental situation
2022-02-07 10:20:27.875,2022-02-07 10:20:30.875,Free_Living,annotator,Experimental situation
2022-02-07 10:20:31.875,2022-02-07 10:21:04.875,Free_Living,annotator,Experimental situation
2022-02-07 10:21:06.875,2022-02-07 10:22:22.887,Free_Living,annotator,Experimental situation
2022-02-07 10:22:23.887,2022-02-07 10:22:54.887,Free_Living,annotator,Experimental situation
2022-02-07 10:22:55.887,2022-02-07 10:23:29.887,Free_Living,annotator,Experimental situation
2022-02-07 10:23:35.887,2022-02-07 10:23:42.887,Free_Living,annotator,Experimental situation
2022-02-07 10:23:42.887,2022-02-07 10:24:05.900,Free_Living,annotator,Experimental situation
2022-02-07 10:24:12.900,2022-02-07 10:24:29.900,Free_Living,annotator,Experimental situation
2022-02-07 10:24:31.900,2022-02-07 10:24:48.900,Free_Living,annotator,Experimental situation
2022-02-07 10:24:49.900,2022-02-07 10:25:08.900,Free_Living,annotator,Experimental situation
2022-02-07 10:25:14.900,2022-02-07 10:25:21.900,Free_Living,annotator,Experimental situation
2022-02-07 10:25:22.900,2022-02-07 10:25:27.900,Free_Living,annotator,Experimental situation
2022-02-07 10:25:27.900,2022-02-07 10:26:59.912,Free_Living,annotator,Experimental situation
2022-02-07 10:27:04.912,2022-02-07 10:27:19.912,Free_Living,annotator,Experimental situation
2022-02-07 10:27:21.912,2022-02-07 10:27:43.912,Free_Living,annotator,Experimental situation
2022-02-07 10:27:47.912,2022-02-07 10:27:57.912,Free_Living,annotator,Experimental situation
2022-02-07 10:28:00.912,2022-02-07 10:29:44.925,Free_Living,annotator,Experimental situation
2022-02-07 10:29:49.925,2022-02-07 10:29:59.925,Free_Living,annotator,Experimental situation
2022-02-07 10:30:15.925,2022-02-07 10:37:39.962,Free_Living,annotator,Experimental situation
2022-02-07 10:37:40.962,2022-02-07 10:39:12.975,Free_Living,annotator,Experimental situation
2022-02-07 10:39:12.975,2022-02-07 10:40:38.975,Free_Living,annotator,Experimental situation
2022-02-07 10:40:39.975,2022-02-07 10:44:36.000,Free_Living,annotator,Experimental situation
2022-02-07 10:44:36.000,2022-02-07 10:47:37.012,Free_Living,annotator,Experimental situation
2022-02-07 10:47:37.012,2022-02-07 10:49:14.012,Free_Living,annotator,Experimental situation
2022-02-07 10:49:15.012,2022-02-07 11:19:53.162,Free_Living,annotator,Experimental situation
