START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-02-07 11:52:07.325,2022-02-07 11:52:14.325,Walking,annotator,PA TYPE
2022-02-07 11:52:14.325,2022-02-07 11:52:41.325,Sitting_With_Movement,annotator,PA TYPE
2022-02-07 11:52:41.325,2022-02-07 11:52:50.325,Sitting_With_Movement,annotator,PA TYPE
2022-02-07 11:52:50.325,2022-02-07 11:53:20.325,Walking,annotator,PA TYPE
2022-02-07 11:53:20.325,2022-02-07 11:53:26.325,Walking_Down_Stairs,annotator,PA TYPE
2022-02-07 11:53:26.325,2022-02-07 11:53:45.337,Walking,annotator,PA TYPE
2022-02-07 11:53:51.337,2022-02-07 11:59:15.362,Sitting_With_Movement,annotator,PA TYPE
2022-02-07 11:59:15.362,2022-02-07 11:59:27.362,Puttering_Around,annotator,PA TYPE
2022-02-07 11:59:27.362,2022-02-07 12:00:00.362,Standing_With_Movement,annotator,PA TYPE
2022-02-07 12:00:00.362,2022-02-07 12:00:07.362,Washing_Hands,annotator,PA TYPE
2022-02-07 12:00:15.362,2022-02-07 12:01:01.362,Standing_With_Movement,annotator,PA TYPE
2022-02-07 12:01:02.362,2022-02-07 12:04:52.387,Standing_With_Movement,annotator,PA TYPE
2022-02-07 12:04:52.387,2022-02-07 12:05:08.387,Walking,annotator,PA TYPE
2022-02-07 12:05:08.387,2022-02-07 12:06:53.400,Standing_With_Movement,annotator,PA TYPE
2022-02-07 12:06:59.400,2022-02-07 12:07:10.400,Walking_Up_Stairs,annotator,PA TYPE
2022-02-07 12:07:10.400,2022-02-07 12:07:17.400,Walking,annotator,PA TYPE
2022-02-07 12:07:17.400,2022-02-07 12:07:23.400,Standing_With_Movement,annotator,PA TYPE
2022-02-07 12:07:24.400,2022-02-07 12:07:59.400,Walking,annotator,PA TYPE
2022-02-07 12:07:59.400,2022-02-07 12:11:20.412,Sitting_With_Movement,annotator,PA TYPE
2022-02-07 12:11:20.412,2022-02-07 12:16:21.437,Sitting_With_Movement,annotator,PA TYPE
2022-02-07 12:16:25.437,2022-02-07 12:33:03.525,Sitting_With_Movement,annotator,PA TYPE
2022-02-07 12:33:03.525,2022-02-07 12:41:30.562,Sitting_With_Movement,annotator,PA TYPE
