START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-02-14 16:41:35.900,2022-02-14 16:54:59.875,BP_VideoUnavailable/Indecipherable,annotator,Behavioral Parameters
2022-02-14 16:55:03.875,2022-02-14 16:59:05.862,In_Conversation/Located_Indoors,annotator,Behavioral Parameters
2022-02-14 16:59:05.862,2022-02-14 16:59:27.862,In_Conversation/Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-14 16:59:27.862,2022-02-14 16:59:32.862,In_Conversation/Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-14 16:59:32.862,2022-02-14 16:59:39.862,In_Conversation/Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-14 16:59:39.862,2022-02-14 16:59:46.862,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-14 16:59:46.862,2022-02-14 17:00:41.862,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-14 17:00:41.862,2022-02-14 17:00:57.862,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-14 17:00:57.862,2022-02-14 17:01:10.862,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-14 17:01:10.862,2022-02-14 17:01:35.862,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-14 17:01:35.862,2022-02-14 17:01:41.862,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-14 17:01:41.862,2022-02-14 17:02:47.850,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-14 17:02:47.850,2022-02-14 17:03:01.850,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-14 17:03:01.850,2022-02-14 17:09:14.837,Holding_Other_Object_Light/Located_Outdoors,annotator,Behavioral Parameters
2022-02-14 17:09:14.837,2022-02-14 17:09:50.837,Holding_Other_Object_Light/Located_Indoors,annotator,Behavioral Parameters
2022-02-14 17:09:50.837,2022-02-14 17:09:57.837,Holding_Other_Object_Light/Located_Indoors,annotator,Behavioral Parameters
