START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-02-21 20:31:30.000,2022-02-21 20:34:33.987,Lab_Indoors,annotator,Experimental situation
2022-02-21 20:34:45.987,2022-02-21 20:35:37.987,Lab_Indoors,annotator,Experimental situation
2022-02-21 20:35:38.987,2022-02-21 20:35:51.987,Lab_Indoors,annotator,Experimental situation
2022-02-21 20:35:57.987,2022-02-21 20:39:26.962,Lab_Indoors,annotator,Experimental situation
2022-02-21 20:39:32.962,2022-02-21 20:41:46.962,Lab_Indoors,annotator,Experimental situation
2022-02-21 20:41:47.962,2022-02-21 21:09:03.837,Lab_Indoors,annotator,Experimental situation
2022-02-21 21:09:07.837,2022-02-21 21:09:52.837,Lab_Indoors,annotator,Experimental situation
2022-02-21 21:09:54.837,2022-02-21 21:10:58.837,Lab_Indoors,annotator,Experimental situation
2022-02-21 21:10:59.837,2022-02-21 21:11:20.837,Lab_Indoors,annotator,Experimental situation
2022-02-21 21:11:22.837,2022-02-21 21:22:02.787,Lab_Indoors,annotator,Experimental situation
2022-02-21 21:22:03.787,2022-02-21 21:22:14.787,Lab_Indoors,annotator,Experimental situation
2022-02-21 21:22:39.787,2022-02-21 21:23:28.787,Lab_Indoors,annotator,Experimental situation
2022-02-21 21:23:28.787,2022-02-21 21:23:34.787,Lab_Indoors,annotator,Experimental situation
2022-02-21 21:23:37.787,2022-02-21 21:25:21.775,Lab_Indoors,annotator,Experimental situation
2022-02-21 21:25:23.775,2022-02-21 21:25:44.775,Lab_Indoors,annotator,Experimental situation
2022-02-21 21:25:56.775,2022-02-21 21:26:13.775,Free_Living,annotator,Experimental situation
2022-02-21 21:26:15.775,2022-02-21 21:26:34.775,Free_Living,annotator,Experimental situation
2022-02-21 21:26:37.775,2022-02-21 21:26:54.762,Free_Living,annotator,Experimental situation
2022-02-21 21:26:55.762,2022-02-21 21:30:39.750,Free_Living,annotator,Experimental situation
2022-02-21 21:30:41.750,2022-02-21 21:33:37.737,Free_Living,annotator,Experimental situation
2022-02-21 21:33:43.737,2022-02-21 21:33:55.737,Free_Living,annotator,Experimental situation
2022-02-21 21:33:55.737,2022-02-21 21:38:08.725,Free_Living,annotator,Experimental situation
2022-02-21 21:38:20.725,2022-02-21 21:38:57.712,Free_Living,annotator,Experimental situation
2022-02-21 21:39:11.712,2022-02-21 21:41:08.712,Free_Living,annotator,Experimental situation
2022-02-21 21:41:08.712,2022-02-21 21:42:49.700,Free_Living,annotator,Experimental situation
2022-02-21 21:42:50.700,2022-02-21 21:43:11.700,Free_Living,annotator,Experimental situation
2022-02-21 21:43:14.700,2022-02-21 21:44:43.687,Free_Living,annotator,Experimental situation
