START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-02-23 10:19:49.325,2022-02-23 10:20:04.325,In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-02-23 10:20:05.325,2022-02-23 10:20:28.325,In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-02-23 10:20:29.325,2022-02-23 10:20:37.325,In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-02-23 10:20:37.325,2022-02-23 10:22:41.312,In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-02-23 10:22:41.312,2022-02-23 10:25:40.300,In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-02-23 10:25:41.300,2022-02-23 10:25:58.300,In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-02-23 10:25:58.300,2022-02-23 10:28:01.300,In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-02-23 10:28:01.300,2022-02-23 10:28:44.287,In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-02-23 10:28:44.287,2022-02-23 10:28:49.287,In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-02-23 10:28:49.287,2022-02-23 10:29:09.287,In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-02-23 10:29:09.287,2022-02-23 10:30:17.287,In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-02-23 10:30:17.287,2022-02-23 10:31:34.275,Using_Computer/Screen/Meeting_Formal_Gathering_In_Person,Expert,HIGH LEVEL BEHAVIOR
2022-02-23 10:31:34.275,2022-02-23 11:13:04.112,Using_Computer/Screen/Meeting_Formal_Gathering_In_Person,Expert,HIGH LEVEL BEHAVIOR
2022-02-23 11:13:04.112,2022-02-23 11:22:03.075,Using_Computer/Screen/Meeting_Formal_Gathering_In_Person,Expert,HIGH LEVEL BEHAVIOR
2022-02-23 11:22:03.075,2022-02-23 11:36:30.012,Using_Computer/Screen/Meeting_Formal_Gathering_In_Person,Expert,HIGH LEVEL BEHAVIOR
2022-02-23 11:36:30.012,2022-02-23 11:36:42.012,Meeting_Formal_Gathering_In_Person/Packing/Unpacking_Something,Expert,HIGH LEVEL BEHAVIOR
2022-02-23 11:36:42.012,2022-02-23 11:36:50.012,Meeting_Formal_Gathering_In_Person,Expert,HIGH LEVEL BEHAVIOR
