START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-02-28 12:04:00.800,2022-02-28 12:05:29.200,Located_Indoors,annotator,Behavioral Parameters
2022-02-28 12:05:29.200,2022-02-28 12:08:56.737,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-28 12:08:56.737,2022-02-28 12:09:14.037,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-28 12:09:14.037,2022-02-28 12:09:25.562,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-28 12:09:25.562,2022-02-28 12:10:21.287,Located_Indoors,annotator,Behavioral Parameters
2022-02-28 12:10:21.287,2022-02-28 12:11:20.862,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-28 12:11:20.862,2022-02-28 12:13:08.475,Located_Indoors,annotator,Behavioral Parameters
2022-02-28 12:13:08.475,2022-02-28 12:14:59.937,Located_Indoors,annotator,Behavioral Parameters
2022-02-28 12:14:59.937,2022-02-28 12:18:52.462,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-28 12:18:52.462,2022-02-28 12:19:11.675,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-28 12:19:11.675,2022-02-28 12:21:39.650,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-28 12:21:39.650,2022-02-28 12:22:10.400,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-28 12:22:10.400,2022-02-28 12:23:33.025,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-28 12:23:33.025,2022-02-28 12:24:11.462,Located_Indoors/Holding_Solid_Food,annotator,Behavioral Parameters
2022-02-28 12:24:11.462,2022-02-28 12:25:11.037,Located_Indoors/Holding_Solid_Food/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-28 12:25:11.037,2022-02-28 12:32:02.275,Located_Indoors/Holding_Solid_Food/Browsing_Computer,annotator,Behavioral Parameters
2022-02-28 12:32:04.200,2022-02-28 12:32:56.087,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-28 12:32:56.087,2022-02-28 12:33:03.775,Located_Indoors,annotator,Behavioral Parameters
2022-02-28 12:33:03.775,2022-02-28 12:34:37.937,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-28 12:34:37.937,2022-02-28 12:35:47.112,Located_Indoors,annotator,Behavioral Parameters
2022-02-28 12:35:47.112,2022-02-28 12:36:02.487,Located_Indoors/Holding_Drink,annotator,Behavioral Parameters
2022-02-28 12:36:02.487,2022-02-28 12:36:19.787,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-28 12:36:19.787,2022-02-28 12:37:00.137,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-28 12:37:09.750,2022-02-28 12:44:25.975,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-28 12:44:25.975,2022-02-28 12:44:50.950,Located_Indoors,annotator,Behavioral Parameters
2022-02-28 12:44:50.950,2022-02-28 12:45:42.837,Located_Indoors/Typing_Computer,annotator,Behavioral Parameters
2022-02-28 12:45:42.837,2022-02-28 12:48:58.850,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-28 12:48:58.850,2022-02-28 12:54:25.537,Located_Indoors,annotator,Behavioral Parameters
2022-02-28 12:54:25.537,2022-02-28 12:54:58.212,Located_Indoors/Typing_Computer,annotator,Behavioral Parameters
2022-02-28 12:54:58.212,2022-02-28 12:57:31.937,Located_Indoors,annotator,Behavioral Parameters
2022-02-28 12:57:31.937,2022-02-28 13:00:11.437,Located_Indoors/Browsing_Computer,annotator,Behavioral Parameters
2022-02-28 13:00:15.287,2022-02-28 13:02:16.350,Located_Indoors/Holding_Solid_Food,annotator,Behavioral Parameters
2022-02-28 13:02:16.350,2022-02-28 13:06:30.012,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-28 13:06:30.012,2022-02-28 13:10:55.212,Located_Indoors,annotator,Behavioral Parameters
2022-02-28 13:10:55.212,2022-02-28 13:11:47.100,Located_Indoors/Typing_Computer,annotator,Behavioral Parameters
2022-02-28 13:11:47.100,2022-02-28 13:15:28.087,Located_Indoors,annotator,Behavioral Parameters
2022-02-28 13:15:33.850,2022-02-28 13:16:18.050,Located_Indoors,annotator,Behavioral Parameters
2022-02-28 13:16:18.050,2022-02-28 13:16:33.425,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-28 13:16:33.425,2022-02-28 13:17:13.775,Located_Indoors,annotator,Behavioral Parameters
2022-02-28 13:17:19.550,2022-02-28 13:20:10.575,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-28 13:20:10.575,2022-02-28 13:34:02.662,Located_Indoors,annotator,Behavioral Parameters
2022-02-28 13:34:02.662,2022-02-28 13:34:25.725,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-28 13:34:29.575,2022-02-28 13:35:46.437,Located_Indoors/Typing_Computer,annotator,Behavioral Parameters
2022-02-28 13:35:46.437,2022-02-28 13:40:59.675,Located_Indoors,annotator,Behavioral Parameters
2022-02-28 13:40:59.675,2022-02-28 13:45:49.850,Located_Indoors/Typing_Computer,annotator,Behavioral Parameters
2022-02-28 13:45:49.850,2022-02-28 13:50:26.575,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-02-28 13:50:26.575,2022-02-28 13:54:40.237,Located_Indoors,annotator,Behavioral Parameters
2022-02-28 13:54:44.075,2022-02-28 13:56:43.225,Located_Indoors,annotator,Behavioral Parameters
2022-02-28 13:56:43.225,2022-02-28 13:56:54.750,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-02-28 13:56:54.750,2022-02-28 13:59:40.025,Located_Indoors,annotator,Behavioral Parameters
