START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-03-03 11:52:19.037,2022-03-03 11:53:59.025,Free_Living,annotator,Experimental situation
2022-03-03 11:53:59.025,2022-03-03 11:55:45.025,Free_Living,annotator,Experimental situation
2022-03-03 11:55:45.025,2022-03-03 11:56:03.025,Free_Living,annotator,Experimental situation
2022-03-03 11:56:03.025,2022-03-03 11:56:46.025,Free_Living,annotator,Experimental situation
2022-03-03 11:56:49.025,2022-03-03 11:57:00.012,Free_Living,annotator,Experimental situation
2022-03-03 11:57:01.012,2022-03-03 11:58:28.012,Free_Living,annotator,Experimental situation
2022-03-03 11:58:53.012,2022-03-03 11:59:56.012,Free_Living,annotator,Experimental situation
2022-03-03 11:59:56.012,2022-03-03 12:00:07.012,Free_Living,annotator,Experimental situation
2022-03-03 12:00:07.012,2022-03-03 12:01:51.000,Free_Living,annotator,Experimental situation
2022-03-03 12:01:55.000,2022-03-03 12:02:29.000,Free_Living,annotator,Experimental situation
2022-03-03 12:02:30.000,2022-03-03 12:05:08.987,Free_Living,annotator,Experimental situation
2022-03-03 12:05:10.987,2022-03-03 12:05:32.987,Free_Living,annotator,Experimental situation
2022-03-03 12:05:39.987,2022-03-03 12:06:05.987,Free_Living,annotator,Experimental situation
2022-03-03 12:06:05.987,2022-03-03 12:06:44.987,Free_Living,annotator,Experimental situation
2022-03-03 12:06:45.987,2022-03-03 12:07:04.987,Free_Living,annotator,Experimental situation
2022-03-03 12:07:09.987,2022-03-03 12:07:27.975,Free_Living,annotator,Experimental situation
2022-03-03 12:07:28.975,2022-03-03 12:08:06.975,Free_Living,annotator,Experimental situation
2022-03-03 12:08:09.975,2022-03-03 12:08:55.975,Free_Living,annotator,Experimental situation
2022-03-03 12:08:56.975,2022-03-03 12:09:34.975,Free_Living,annotator,Experimental situation
2022-03-03 12:09:35.975,2022-03-03 12:09:41.975,Free_Living,annotator,Experimental situation
2022-03-03 12:09:57.975,2022-03-03 12:10:49.962,Free_Living,annotator,Experimental situation
2022-03-03 12:10:51.962,2022-03-03 12:11:26.962,Free_Living,annotator,Experimental situation
2022-03-03 12:11:29.962,2022-03-03 12:14:14.950,Free_Living,annotator,Experimental situation
2022-03-03 12:14:19.950,2022-03-03 12:14:31.950,Free_Living,annotator,Experimental situation
2022-03-03 12:14:32.950,2022-03-03 12:14:47.950,Free_Living,annotator,Experimental situation
2022-03-03 12:14:49.950,2022-03-03 12:15:13.950,Free_Living,annotator,Experimental situation
2022-03-03 12:15:21.950,2022-03-03 12:19:18.937,Free_Living,annotator,Experimental situation
2022-03-03 12:19:21.937,2022-03-03 12:19:33.937,Free_Living,annotator,Experimental situation
2022-03-03 12:19:38.937,2022-03-03 12:20:09.937,Free_Living,annotator,Experimental situation
2022-03-03 12:20:45.937,2022-03-03 12:25:36.912,Free_Living,annotator,Experimental situation
2022-03-03 12:25:42.912,2022-03-03 12:25:59.912,Free_Living,annotator,Experimental situation
2022-03-03 12:25:59.912,2022-03-03 12:26:39.912,Free_Living,annotator,Experimental situation
2022-03-03 12:26:41.912,2022-03-03 12:26:59.912,Free_Living,annotator,Experimental situation
2022-03-03 12:27:00.912,2022-03-03 13:01:43.787,Free_Living,annotator,Experimental situation
2022-03-03 13:01:59.787,2022-03-03 13:02:34.775,Free_Living,annotator,Experimental situation
2022-03-03 13:02:34.775,2022-03-03 13:03:35.775,Free_Living,annotator,Experimental situation
2022-03-03 13:03:39.775,2022-03-03 13:03:59.775,Free_Living,annotator,Experimental situation
2022-03-03 13:04:12.775,2022-03-03 13:04:26.775,Free_Living,annotator,Experimental situation
2022-03-03 13:04:32.775,2022-03-03 13:05:10.775,Free_Living,annotator,Experimental situation
2022-03-03 13:05:11.775,2022-03-03 13:05:46.775,Free_Living,annotator,Experimental situation
2022-03-03 13:05:50.762,2022-03-03 13:06:04.762,Free_Living,annotator,Experimental situation
2022-03-03 13:06:07.762,2022-03-03 13:06:20.762,Free_Living,annotator,Experimental situation
2022-03-03 13:06:22.762,2022-03-03 13:06:31.762,Free_Living,annotator,Experimental situation
2022-03-03 13:06:38.762,2022-03-03 13:07:10.762,Free_Living,annotator,Experimental situation
2022-03-03 13:07:18.762,2022-03-03 13:07:42.762,Free_Living,annotator,Experimental situation
2022-03-03 13:07:43.762,2022-03-03 13:08:04.762,Free_Living,annotator,Experimental situation
2022-03-03 13:08:06.762,2022-03-03 13:08:43.762,Free_Living,annotator,Experimental situation
2022-03-03 13:08:49.762,2022-03-03 13:09:01.762,Free_Living,annotator,Experimental situation
2022-03-03 13:09:02.762,2022-03-03 13:09:40.750,Free_Living,annotator,Experimental situation
2022-03-03 13:09:41.750,2022-03-03 13:10:12.750,Free_Living,annotator,Experimental situation
2022-03-03 13:10:12.750,2022-03-03 13:11:23.750,Free_Living,annotator,Experimental situation
2022-03-03 13:11:24.750,2022-03-03 13:12:01.750,Free_Living,annotator,Experimental situation
2022-03-03 13:12:02.750,2022-03-03 13:12:56.737,Free_Living,annotator,Experimental situation
2022-03-03 13:12:56.737,2022-03-03 13:15:07.737,Free_Living,annotator,Experimental situation
2022-03-03 13:15:12.737,2022-03-03 13:15:52.737,Free_Living,annotator,Experimental situation
2022-03-03 13:15:53.737,2022-03-03 13:16:09.725,Free_Living,annotator,Experimental situation
2022-03-03 13:16:14.725,2022-03-03 13:16:37.725,Free_Living,annotator,Experimental situation
2022-03-03 13:16:55.725,2022-03-03 13:17:08.725,Free_Living,annotator,Experimental situation
2022-03-03 13:17:11.725,2022-03-03 13:17:38.725,Free_Living,annotator,Experimental situation
2022-03-03 13:17:39.725,2022-03-03 13:18:54.725,Free_Living,annotator,Experimental situation
2022-03-03 13:18:55.725,2022-03-03 13:19:22.725,Free_Living,annotator,Experimental situation
2022-03-03 13:19:25.725,2022-03-03 13:19:33.725,Free_Living,annotator,Experimental situation
2022-03-03 13:19:34.725,2022-03-03 13:19:57.712,Free_Living,annotator,Experimental situation
2022-03-03 13:20:00.712,2022-03-03 13:20:42.712,Free_Living,annotator,Experimental situation
2022-03-03 13:20:45.712,2022-03-03 13:21:04.712,Free_Living,annotator,Experimental situation
2022-03-03 13:21:05.712,2022-03-03 13:21:11.712,Free_Living,annotator,Experimental situation
2022-03-03 13:21:13.712,2022-03-03 13:21:56.712,Free_Living,annotator,Experimental situation
2022-03-03 13:23:00.712,2022-03-03 13:23:20.700,Free_Living,annotator,Experimental situation
2022-03-03 13:23:24.700,2022-03-03 13:23:33.700,Free_Living,annotator,Experimental situation
2022-03-03 13:23:34.700,2022-03-03 13:26:40.687,Free_Living,annotator,Experimental situation
2022-03-03 13:26:44.687,2022-03-03 13:29:22.687,Free_Living,annotator,Experimental situation
2022-03-03 13:29:26.687,2022-03-03 13:32:43.675,Free_Living,annotator,Experimental situation
2022-03-03 13:32:49.675,2022-03-03 13:33:15.675,Free_Living,annotator,Experimental situation
2022-03-03 13:33:16.675,2022-03-03 13:33:38.662,Free_Living,annotator,Experimental situation
2022-03-03 13:33:39.662,2022-03-03 13:33:46.662,Free_Living,annotator,Experimental situation
2022-03-03 13:33:47.662,2022-03-03 13:33:55.662,Free_Living,annotator,Experimental situation
2022-03-03 13:33:55.662,2022-03-03 13:34:04.662,Free_Living,annotator,Experimental situation
2022-03-03 13:34:04.662,2022-03-03 13:35:04.662,Free_Living,annotator,Experimental situation
2022-03-03 13:35:04.662,2022-03-03 13:38:47.650,Free_Living,annotator,Experimental situation
2022-03-03 13:38:48.650,2022-03-03 13:39:17.650,Free_Living,annotator,Experimental situation
2022-03-03 13:39:17.650,2022-03-03 13:39:37.650,Free_Living,annotator,Experimental situation
2022-03-03 13:39:37.650,2022-03-03 13:39:49.650,Free_Living,annotator,Experimental situation
2022-03-03 13:39:50.650,2022-03-03 13:42:21.637,Free_Living,annotator,Experimental situation
2022-03-03 13:42:22.637,2022-03-03 13:42:26.637,Free_Living,annotator,Experimental situation
2022-03-03 13:42:29.637,2022-03-03 13:42:36.637,Free_Living,annotator,Experimental situation
2022-03-03 13:42:38.637,2022-03-03 13:42:46.637,Free_Living,annotator,Experimental situation
2022-03-03 13:42:47.637,2022-03-03 13:43:01.637,Free_Living,annotator,Experimental situation
2022-03-03 13:43:02.637,2022-03-03 13:43:11.637,Free_Living,annotator,Experimental situation
2022-03-03 13:43:11.637,2022-03-03 13:43:20.637,Free_Living,annotator,Experimental situation
2022-03-03 13:43:21.637,2022-03-03 13:43:51.625,Free_Living,annotator,Experimental situation
2022-03-03 13:43:52.625,2022-03-03 13:44:19.625,Free_Living,annotator,Experimental situation
2022-03-03 13:44:22.625,2022-03-03 13:44:40.625,Free_Living,annotator,Experimental situation
2022-03-03 13:44:42.625,2022-03-03 13:48:18.612,Free_Living,annotator,Experimental situation
2022-03-03 13:48:19.612,2022-03-03 13:48:23.612,Free_Living,annotator,Experimental situation
