START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-03-05 10:43:34.237,2022-03-05 10:43:54.237,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 10:43:54.237,2022-03-05 10:44:06.237,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 10:44:07.237,2022-03-05 10:55:47.200,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 10:56:03.200,2022-03-05 10:58:53.200,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 10:59:01.200,2022-03-05 10:59:15.200,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 10:59:16.200,2022-03-05 11:02:06.187,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 11:02:11.187,2022-03-05 11:02:34.187,Located_Indoors/In_Conversation,annotator,Behavioral Parameters
2022-03-05 11:02:35.187,2022-03-05 11:04:16.187,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 11:04:29.187,2022-03-05 11:04:50.187,Located_Indoors/In_Conversation,annotator,Behavioral Parameters
2022-03-05 11:04:52.187,2022-03-05 11:05:25.175,Located_Indoors/In_Conversation/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-03-05 11:05:27.175,2022-03-05 11:05:38.175,Located_Indoors/In_Conversation,annotator,Behavioral Parameters
2022-03-05 11:05:42.175,2022-03-05 11:06:41.175,Located_Indoors/In_Conversation,annotator,Behavioral Parameters
2022-03-05 11:06:41.175,2022-03-05 11:06:45.175,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 11:06:45.175,2022-03-05 11:07:07.175,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 11:07:09.175,2022-03-05 11:07:32.175,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 11:07:35.175,2022-03-05 11:07:50.175,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 11:07:52.175,2022-03-05 11:08:10.175,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-03-05 11:08:14.175,2022-03-05 11:08:44.175,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 11:08:46.175,2022-03-05 11:08:51.175,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 11:08:52.175,2022-03-05 11:09:20.175,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 11:09:23.175,2022-03-05 11:10:16.175,Located_Indoors/In_Conversation,annotator,Behavioral Parameters
2022-03-05 11:10:19.175,2022-03-05 11:10:39.162,Located_Indoors/In_Conversation,annotator,Behavioral Parameters
2022-03-05 11:10:48.162,2022-03-05 11:10:56.162,Located_Indoors/In_Conversation,annotator,Behavioral Parameters
2022-03-05 11:10:57.162,2022-03-05 11:11:11.162,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 11:11:13.162,2022-03-05 11:11:32.162,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 11:11:34.162,2022-03-05 11:11:56.162,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 11:11:57.162,2022-03-05 11:12:56.162,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 11:12:56.162,2022-03-05 11:13:14.162,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 11:13:15.162,2022-03-05 11:16:45.150,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 11:17:13.150,2022-03-05 11:17:41.150,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 11:18:25.150,2022-03-05 11:19:46.150,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 11:19:59.150,2022-03-05 11:55:57.050,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 11:56:16.050,2022-03-05 11:56:33.050,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 11:56:34.050,2022-03-05 11:57:05.050,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-03-05 11:57:07.050,2022-03-05 11:57:20.050,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 11:57:29.050,2022-03-05 11:57:55.050,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 11:57:57.050,2022-03-05 11:58:41.050,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 11:58:42.050,2022-03-05 12:01:27.037,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 12:01:31.037,2022-03-05 12:02:07.037,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 12:02:15.037,2022-03-05 12:02:30.037,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 12:02:31.037,2022-03-05 12:03:39.037,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 12:03:40.037,2022-03-05 12:04:33.037,Located_Outdoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-03-05 12:04:37.037,2022-03-05 12:05:11.037,Located_Outdoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-03-05 12:05:13.037,2022-03-05 12:05:24.037,Located_Outdoors,annotator,Behavioral Parameters
2022-03-05 12:05:25.037,2022-03-05 12:05:40.025,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 12:05:41.025,2022-03-05 12:07:28.025,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-03-05 12:07:33.025,2022-03-05 12:07:44.025,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 12:07:46.025,2022-03-05 12:07:57.025,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-03-05 12:08:02.025,2022-03-05 12:08:09.025,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 12:08:11.025,2022-03-05 12:08:58.025,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 12:08:59.025,2022-03-05 12:09:24.025,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 12:09:25.025,2022-03-05 12:09:36.025,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 12:09:39.025,2022-03-05 12:09:54.025,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 12:09:56.025,2022-03-05 12:11:04.012,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 12:11:05.012,2022-03-05 12:11:11.012,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 12:11:12.012,2022-03-05 12:11:22.012,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-03-05 12:11:23.012,2022-03-05 12:11:36.012,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-03-05 12:11:37.012,2022-03-05 12:11:56.012,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 12:11:57.012,2022-03-05 12:12:13.012,Located_Outdoors,annotator,Behavioral Parameters
2022-03-05 12:12:20.012,2022-03-05 12:12:28.012,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 12:12:29.012,2022-03-05 12:12:58.012,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-03-05 12:12:59.012,2022-03-05 12:13:10.012,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 12:13:12.012,2022-03-05 12:13:56.012,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-03-05 12:14:07.012,2022-03-05 12:14:24.012,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 12:14:25.012,2022-03-05 12:14:37.012,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-03-05 12:14:37.012,2022-03-05 12:15:25.012,Located_Indoors/In_Conversation,annotator,Behavioral Parameters
2022-03-05 12:15:27.012,2022-03-05 12:16:15.000,Located_Indoors/In_Conversation/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-03-05 12:16:18.000,2022-03-05 12:16:36.000,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 12:16:38.000,2022-03-05 12:16:47.000,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 12:16:48.000,2022-03-05 12:17:00.000,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 12:17:14.000,2022-03-05 12:19:56.000,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-03-05 12:19:58.000,2022-03-05 12:20:11.000,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 12:20:15.000,2022-03-05 12:23:17.987,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 12:23:19.987,2022-03-05 12:23:46.987,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 12:23:50.987,2022-03-05 12:24:36.987,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 12:24:40.987,2022-03-05 12:26:14.975,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 12:26:19.975,2022-03-05 12:26:56.975,Located_Outdoors,annotator,Behavioral Parameters
2022-03-05 12:26:59.975,2022-03-05 12:27:08.975,Located_Outdoors,annotator,Behavioral Parameters
2022-03-05 12:27:33.975,2022-03-05 12:27:51.975,Located_Outdoors,annotator,Behavioral Parameters
2022-03-05 12:27:52.975,2022-03-05 12:28:03.975,Located_Outdoors,annotator,Behavioral Parameters
2022-03-05 12:28:05.975,2022-03-05 12:28:40.975,Located_Outdoors,annotator,Behavioral Parameters
2022-03-05 12:28:47.975,2022-03-05 12:28:55.975,Located_Outdoors,annotator,Behavioral Parameters
2022-03-05 12:28:56.975,2022-03-05 12:30:11.975,Located_Outdoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-03-05 12:30:14.975,2022-03-05 12:40:48.937,Located_Outdoors,annotator,Behavioral Parameters
2022-03-05 12:40:52.937,2022-03-05 12:40:58.937,Located_Outdoors,annotator,Behavioral Parameters
2022-03-05 12:41:01.937,2022-03-05 12:42:24.937,Located_Outdoors,annotator,Behavioral Parameters
2022-03-05 12:42:37.937,2022-03-05 12:48:48.925,Located_Outdoors,annotator,Behavioral Parameters
2022-03-05 12:48:49.925,2022-03-05 12:49:33.925,Located_Outdoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-03-05 12:49:51.925,2022-03-05 12:54:43.912,BP_VideoUnavailable/Indecipherable,annotator,Behavioral Parameters
2022-03-05 12:54:57.912,2022-03-05 13:04:06.887,Located_Outdoors,annotator,Behavioral Parameters
2022-03-05 13:07:37.875,2022-03-05 13:13:31.862,Located_Outdoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-03-05 13:13:45.862,2022-03-05 13:18:16.850,Located_Outdoors,annotator,Behavioral Parameters
2022-03-05 13:18:17.850,2022-03-05 13:44:52.787,Located_Outdoors,annotator,Behavioral Parameters
2022-03-05 13:44:53.787,2022-03-05 13:47:08.775,Located_Outdoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-03-05 13:47:16.775,2022-03-05 14:05:28.737,Located_Outdoors,annotator,Behavioral Parameters
2022-03-05 14:05:28.737,2022-03-05 14:05:41.737,Located_Outdoors/Holding_Drink,annotator,Behavioral Parameters
2022-03-05 14:05:43.737,2022-03-05 14:10:41.725,Located_Outdoors,annotator,Behavioral Parameters
2022-03-05 14:10:46.712,2022-03-05 14:10:48.712,Holding_Drink,annotator,Behavioral Parameters
2022-03-05 14:10:52.712,2022-03-05 14:11:26.712,Holding_Drink/Located_Outdoors,annotator,Behavioral Parameters
2022-03-05 14:11:28.712,2022-03-05 14:12:01.712,Located_Indoors/Holding_Drink,annotator,Behavioral Parameters
2022-03-05 14:12:02.712,2022-03-05 14:12:12.712,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 14:12:13.712,2022-03-05 14:17:19.700,BP_VideoUnavailable/Indecipherable,annotator,Behavioral Parameters
2022-03-05 14:17:20.700,2022-03-05 14:17:30.700,BP_VideoUnavailable/Indecipherable,annotator,Behavioral Parameters
2022-03-05 14:17:30.700,2022-03-05 14:17:53.700,Located_Indoors,annotator,Behavioral Parameters
2022-03-05 14:17:55.700,2022-03-05 14:18:17.700,Located_Indoors/Holding_Solid_Food,annotator,Behavioral Parameters
2022-03-05 14:18:19.700,2022-03-05 14:18:57.700,Located_Indoors/Holding_Solid_Food,annotator,Behavioral Parameters
2022-03-05 14:18:57.700,2022-03-05 14:19:25.700,Located_Indoors/Holding_Solid_Food/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-03-05 14:19:26.700,2022-03-05 14:19:35.700,Located_Indoors/Texting/Browsing_Phone/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-03-05 14:19:35.700,2022-03-05 14:19:58.700,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-03-05 14:20:00.700,2022-03-05 14:20:45.700,Located_Indoors/Holding_Other_Object_Light/Holding_Solid_Food,annotator,Behavioral Parameters
2022-03-05 14:20:45.700,2022-03-05 14:21:11.687,Located_Indoors/Holding_Other_Object_Light/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-03-05 14:21:12.687,2022-03-05 14:21:18.687,Located_Indoors/Holding_Solid_Food,annotator,Behavioral Parameters
