START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-03-12 09:24:54.462,2022-03-12 09:25:20.225,,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 09:25:23.225,2022-03-12 09:25:53.225,,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 09:25:57.225,2022-03-12 09:26:34.225,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 09:26:35.225,2022-03-12 09:27:17.225,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 09:27:17.225,2022-03-12 09:27:32.225,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 09:27:35.225,2022-03-12 09:28:25.225,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 09:28:25.225,2022-03-12 09:28:57.225,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 09:28:58.225,2022-03-12 09:29:21.225,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 09:29:21.225,2022-03-12 09:36:21.212,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 09:36:22.212,2022-03-12 09:36:28.212,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 09:36:29.212,2022-03-12 09:36:54.212,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 09:36:54.212,2022-03-12 09:37:56.212,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 09:37:57.212,2022-03-12 09:39:08.212,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 09:39:08.212,2022-03-12 09:41:30.212,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 09:41:34.212,2022-03-12 09:41:52.212,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 09:41:59.212,2022-03-12 09:43:29.212,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 09:43:30.212,2022-03-12 09:44:09.212,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 09:44:11.200,2022-03-12 09:48:06.200,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 09:48:07.200,2022-03-12 09:48:38.200,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 09:48:40.200,2022-03-12 09:49:34.200,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 09:49:35.200,2022-03-12 10:05:01.187,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 10:05:01.187,2022-03-12 10:05:29.187,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 10:05:29.187,2022-03-12 10:06:16.187,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 10:06:17.187,2022-03-12 10:09:41.175,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 10:09:41.175,2022-03-12 10:11:07.175,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 10:11:07.175,2022-03-12 10:11:40.175,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 10:11:40.175,2022-03-12 10:12:29.175,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 10:12:37.175,2022-03-12 10:13:03.175,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 10:13:04.175,2022-03-12 10:13:18.175,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 10:13:18.175,2022-03-12 10:16:05.175,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 10:16:07.175,2022-03-12 10:17:26.175,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 10:17:27.175,2022-03-12 10:18:56.162,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 10:18:56.162,2022-03-12 10:22:17.162,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 10:22:18.162,2022-03-12 10:31:46.150,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 10:31:47.150,2022-03-12 10:34:02.150,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 10:34:03.150,2022-03-12 10:34:33.150,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 10:34:39.150,2022-03-12 10:34:55.150,,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 10:35:03.150,2022-03-12 10:35:49.150,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 10:35:51.150,2022-03-12 10:36:41.150,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 10:36:42.150,2022-03-12 10:38:01.150,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 10:38:02.150,2022-03-12 10:38:58.150,Using_Computer/Screen/WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 10:38:58.150,2022-03-12 10:41:28.150,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 10:41:29.150,2022-03-12 10:43:09.137,Using_Computer/Screen/WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 10:43:09.137,2022-03-12 10:57:52.125,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 10:57:52.125,2022-03-12 11:07:17.112,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 11:07:17.112,2022-03-12 11:07:28.112,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 11:07:29.112,2022-03-12 11:11:06.112,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 11:11:07.112,2022-03-12 11:12:39.112,Using_Computer/Screen/WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 11:12:40.112,2022-03-12 11:15:00.112,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 11:15:00.112,2022-03-12 11:16:42.100,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 11:16:42.100,2022-03-12 11:17:36.100,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 11:17:37.100,2022-03-12 11:23:29.100,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 11:23:29.100,2022-03-12 11:24:41.100,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 11:24:42.100,2022-03-12 11:33:12.087,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 11:33:12.087,2022-03-12 11:33:55.087,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 11:33:55.087,2022-03-12 11:36:53.087,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 11:36:53.087,2022-03-12 11:40:34.075,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 11:40:34.075,2022-03-12 11:41:07.075,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 11:41:08.075,2022-03-12 11:41:15.075,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 11:41:19.075,2022-03-12 11:52:53.062,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 11:52:53.062,2022-03-12 11:53:28.062,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 11:53:28.062,2022-03-12 11:54:25.062,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 11:54:25.062,2022-03-12 11:59:22.062,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 11:59:24.062,2022-03-12 12:00:19.062,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 12:00:19.062,2022-03-12 12:01:00.062,Cooking/Prepping_Food,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 12:01:00.062,2022-03-12 12:01:06.062,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 12:01:06.062,2022-03-12 12:01:30.062,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 12:01:30.062,2022-03-12 12:01:38.062,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 12:01:38.062,2022-03-12 12:01:49.062,Cooking/Prepping_Food,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 12:01:49.062,2022-03-12 12:01:54.062,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 12:01:54.062,2022-03-12 12:02:04.050,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 12:02:04.050,2022-03-12 12:02:15.050,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 12:02:15.050,2022-03-12 12:02:49.050,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 12:02:49.050,2022-03-12 12:04:52.050,Cooking/Prepping_Food,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 12:04:52.050,2022-03-12 12:04:57.050,Cooking/Prepping_Food,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 12:04:57.050,2022-03-12 12:05:20.050,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 12:05:20.050,2022-03-12 12:05:24.050,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 12:05:24.050,2022-03-12 12:05:28.050,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 12:05:28.050,2022-03-12 12:06:41.050,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 12:06:41.050,2022-03-12 12:06:46.050,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 12:06:46.050,2022-03-12 12:06:52.050,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 12:06:52.050,2022-03-12 12:08:18.050,Cooking/Prepping_Food,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 12:08:18.050,2022-03-12 12:08:45.050,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 12:20:29.037,2022-03-12 12:20:42.037,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 12:20:42.037,2022-03-12 12:21:56.037,Using_Computer/Screen/Eating/Dining/WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 12:21:56.037,2022-03-12 12:23:03.037,Using_Computer/Screen/Eating/Dining,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 12:23:03.037,2022-03-12 12:24:01.037,Using_Computer/Screen/Eating/Dining/WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 12:24:01.037,2022-03-12 12:34:00.025,Using_Computer/Screen/WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 12:34:00.025,2022-03-12 12:34:57.025,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 12:34:57.025,2022-03-12 12:35:03.025,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 12:35:03.025,2022-03-12 12:35:17.025,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 12:35:17.025,2022-03-12 12:39:39.012,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 12:39:39.012,2022-03-12 12:39:50.012,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 12:39:50.012,2022-03-12 12:40:10.012,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 12:40:10.012,2022-03-12 12:40:10.012,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 12:40:12.012,2022-03-12 12:40:46.012,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 12:40:46.012,2022-03-12 12:41:05.012,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 12:40:46.012,2022-03-12 12:40:46.012,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 12:41:05.012,2022-03-12 12:41:12.012,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 12:41:12.012,2022-03-12 12:41:37.012,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 12:41:37.012,2022-03-12 12:42:29.012,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 12:42:29.012,2022-03-12 12:48:23.000,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 12:48:23.000,2022-03-12 12:48:23.000,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 12:48:24.000,2022-03-12 12:49:00.000,Using_Computer/Screen/WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 12:49:00.000,2022-03-12 12:49:40.000,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 12:49:03.000,2022-03-12 12:49:03.000,Using_Computer/Screen/WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 12:49:40.000,2022-03-12 12:50:21.000,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 12:50:21.000,2022-03-12 12:52:07.000,Using_Computer/Screen/WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 12:52:07.000,2022-03-12 12:53:07.000,Using_Computer/Screen/WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 12:53:07.000,2022-03-12 12:57:25.000,Using_Computer/Screen/WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 12:57:25.000,2022-03-12 12:57:32.000,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 12:57:32.000,2022-03-12 13:05:37.987,Using_Computer/Screen/WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 13:05:37.987,2022-03-12 13:06:31.987,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 13:06:31.987,2022-03-12 13:07:08.987,Using_Computer/Screen/WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 13:07:08.987,2022-03-12 13:47:33.937,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 13:47:33.937,2022-03-12 13:51:54.937,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 13:51:54.937,2022-03-12 13:52:24.937,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 13:52:24.937,2022-03-12 13:52:39.937,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 13:52:39.937,2022-03-12 13:54:47.937,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 13:54:47.937,2022-03-12 13:55:00.937,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 13:55:00.937,2022-03-12 13:58:01.925,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 13:58:01.925,2022-03-12 13:58:26.925,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 13:58:26.925,2022-03-12 13:58:26.925,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 13:58:27.925,2022-03-12 14:04:40.925,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 14:04:40.925,2022-03-12 14:09:44.912,Using_Computer/Screen/WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 14:09:44.912,2022-03-12 14:11:02.912,Using_Computer/Screen/WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 14:11:02.912,2022-03-12 14:11:11.912,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 14:11:11.912,2022-03-12 14:15:00.912,Using_Computer/Screen/WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 14:15:00.912,2022-03-12 14:15:04.912,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 14:15:04.912,2022-03-12 14:15:50.912,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 14:15:50.912,2022-03-12 14:18:57.912,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 14:18:57.912,2022-03-12 14:20:19.900,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 14:20:19.900,2022-03-12 14:20:39.900,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 14:20:39.900,2022-03-12 14:20:47.900,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 14:20:47.900,2022-03-12 14:21:31.900,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 14:21:31.900,2022-03-12 14:22:00.900,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 14:22:00.900,2022-03-12 14:23:15.900,Using_Computer/Screen/WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 14:23:15.900,2022-03-12 14:23:42.900,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 14:23:42.900,2022-03-12 14:28:04.900,Using_Computer/Screen/WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 14:28:04.900,2022-03-12 14:28:14.900,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 14:28:14.900,2022-03-12 14:32:45.887,Using_Computer/Screen/WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 14:32:45.887,2022-03-12 14:33:22.887,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-03-12 14:33:22.887,2022-03-12 14:33:56.887,Using_Computer/Screen/WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR
