START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_STOP_TIME
2022-03-07 20:17:28.525,2022-03-07 20:19:15.525,Located_Indoors,annotator,Behavioral Parameters,,
2022-03-07 20:19:15.525,2022-03-07 20:23:51.512,Located_Indoors/In_Conversation,annotator,Behavioral Parameters,,
2022-03-07 20:23:52.512,2022-03-07 20:24:07.512,Located_Indoors/In_Conversation,annotator,Behavioral Parameters,,
2022-03-07 20:24:09.512,2022-03-07 20:28:25.500,Located_Indoors/In_Conversation,annotator,Behavioral Parameters,,
2022-03-07 20:28:25.500,2022-03-07 20:29:20.500,Located_Indoors/In_Conversation/Holding_Other_Object_Light,annotator,Behavioral Parameters,,
2022-03-07 20:29:20.500,2022-03-07 20:30:37.500,Located_Indoors/In_Conversation/Holding_Other_Object_Light/Texting/Browsing_Phone,annotator,Behavioral Parameters,,
2022-03-07 20:30:38.500,2022-03-07 20:31:49.500,Located_Indoors/In_Conversation/Holding_Other_Object_Light,annotator,Behavioral Parameters,,
2022-03-07 20:31:49.500,2022-03-07 20:32:00.500,Located_Indoors/In_Conversation/Holding_Other_Object_Light,annotator,Behavioral Parameters,,
2022-03-07 20:32:00.500,2022-03-07 20:32:53.500,Located_Indoors/In_Conversation/Holding_Other_Object_Light,annotator,Behavioral Parameters,,
2022-03-07 20:32:53.500,2022-03-07 20:33:28.500,Located_Indoors/In_Conversation,annotator,Behavioral Parameters,,
2022-03-07 20:33:28.500,2022-03-07 20:33:36.500,Located_Indoors/In_Conversation/Holding_Other_Object_Light,annotator,Behavioral Parameters,,
2022-03-07 20:33:36.500,2022-03-07 20:33:45.500,Located_Indoors/In_Conversation/Holding_Other_Object_Light/Texting/Browsing_Phone,annotator,Behavioral Parameters,,
2022-03-07 20:33:45.500,2022-03-07 20:37:18.487,Located_Indoors/In_Conversation/Holding_Other_Object_Light,annotator,Behavioral Parameters,,
2022-03-07 20:37:18.487,2022-03-07 20:39:19.487,Located_Indoors/In_Conversation,annotator,Behavioral Parameters,,
2022-03-07 20:39:19.487,2022-03-07 20:40:42.475,Located_Indoors/In_Conversation,annotator,Behavioral Parameters,,
2022-03-07 20:40:42.475,2022-03-07 20:50:26.462,Located_Indoors/In_Conversation,annotator,Behavioral Parameters,,
2022-03-07 20:50:26.462,2022-03-07 20:52:34.450,Located_Indoors/In_Conversation/Holding_Other_Object_Light/Texting/Browsing_Phone,annotator,Behavioral Parameters,,
2022-03-07 20:52:34.450,2022-03-07 21:11:06.412,Located_Indoors/In_Conversation,annotator,Behavioral Parameters,,
2022-03-07 21:11:06.412,2022-03-07 21:11:19.412,Located_Indoors/In_Conversation/Holding_Other_Object_Light/Texting/Browsing_Phone,annotator,Behavioral Parameters,,
2022-03-07 21:11:19.412,2022-03-07 21:31:07.362,Located_Indoors/In_Conversation,annotator,Behavioral Parameters,,
2022-03-07 21:31:07.362,2022-03-07 21:31:31.362,Located_Indoors,annotator,Behavioral Parameters,,
2022-03-07 21:31:31.362,2022-03-07 21:32:14.362,Located_Indoors/In_Conversation,annotator,Behavioral Parameters,,
2022-03-07 21:32:14.362,2022-03-07 21:32:36.362,Located_Indoors/In_Conversation/Holding_Bag/BriefCase_Hand_Light,annotator,Behavioral Parameters,,
2022-03-07 21:32:36.362,2022-03-07 21:33:13.362,Located_Indoors/Holding_Bag/BriefCase_Hand_Light,annotator,Behavioral Parameters,,
2022-03-07 21:33:13.362,2022-03-07 21:33:38.362,Located_Indoors/Holding_Bag/BriefCase_Hand_Light/Holding_Other_Object_Light/Texting/Browsing_Phone,annotator,Behavioral Parameters,,
2022-03-07 21:33:38.362,2022-03-07 21:33:58.362,Located_Indoors/Holding_Bag/BriefCase_Hand_Light,annotator,Behavioral Parameters,,
2022-03-07 21:33:58.362,2022-03-07 21:39:31.350,Holding_Bag/BriefCase_Hand_Light/Located_Outdoors,annotator,Behavioral Parameters,,
2022-03-07 21:39:31.350,2022-03-07 21:39:41.350,Holding_Bag/BriefCase_Hand_Light/Located_Outdoors,annotator,Behavioral Parameters,,
2022-03-07 21:39:41.350,2022-03-07 21:40:37.337,Holding_Bag/BriefCase_Hand_Light/Located_Outdoors,annotator,Behavioral Parameters,,
2022-03-07 21:40:37.337,2022-03-07 21:40:56.337,Holding_Bag/BriefCase_Hand_Light/Located_Outdoors/Holding_Other_Object_Light/Texting/Browsing_Phone,annotator,Behavioral Parameters,,
2022-03-07 21:40:56.337,2022-03-07 21:42:23.337,Holding_Bag/BriefCase_Hand_Light/Located_Outdoors/Holding_Other_Object_Light,annotator,Behavioral Parameters,,
2022-03-07 21:42:23.337,2022-03-07 21:43:16.337,Holding_Bag/BriefCase_Hand_Light/Located_Outdoors/Holding_Other_Object_Light,annotator,Behavioral Parameters,,
2022-03-07 21:43:16.337,2022-03-07 21:43:25.337,Holding_Bag/BriefCase_Hand_Light/Located_Outdoors/Holding_Other_Object_Light,annotator,Behavioral Parameters,,
2022-03-07 21:43:25.337,2022-03-07 21:43:31.337,Holding_Bag/BriefCase_Hand_Light/Holding_Other_Object_Light/Located_Indoors,annotator,Behavioral Parameters,,
2022-03-07 21:43:31.337,2022-03-07 21:45:25.337,Located_Indoors/In_Conversation,annotator,Behavioral Parameters,,
2022-03-07 21:45:25.337,2022-03-07 21:45:30.337,Located_Indoors/In_Conversation/Texting/Browsing_Phone/Holding_Other_Object_Light,annotator,Behavioral Parameters,,
2022-03-07 21:45:30.337,2022-03-07 21:48:40.325,Located_Indoors/In_Conversation,annotator,Behavioral Parameters,,
2022-03-07 21:48:40.325,2022-03-07 21:48:53.325,Located_Indoors/Holding_Bag/BriefCase_Hand_Light,annotator,Behavioral Parameters,,
2022-03-07 21:48:53.325,2022-03-07 21:50:08.325,Holding_Bag/BriefCase_Hand_Light/Located_Outdoors/Holding_Other_Object_Light,annotator,Behavioral Parameters,,
2022-03-07 21:50:08.325,2022-03-07 21:50:12.325,Holding_Bag/BriefCase_Hand_Light/Located_Outdoors/Holding_Other_Object_Light,annotator,Behavioral Parameters,,
