START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_STOP_TIME
2022-03-22 16:05:27.587,2022-03-22 16:06:06.587,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 16:06:09.587,2022-03-22 16:07:58.625,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 16:08:03.625,2022-03-22 16:08:26.625,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 16:08:41.637,2022-03-22 16:09:37.650,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 16:09:37.650,2022-03-22 16:09:48.650,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 16:09:48.650,2022-03-22 16:10:12.650,Riding_Elevator_Down,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 16:10:13.650,2022-03-22 16:10:26.662,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 16:10:26.662,2022-03-22 16:12:38.687,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 16:12:39.687,2022-03-22 16:12:58.700,Riding_Escalator_Up,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 16:13:00.700,2022-03-22 16:14:09.712,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 16:14:10.712,2022-03-22 16:14:20.712,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 16:14:20.712,2022-03-22 16:16:13.750,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 16:16:21.750,2022-03-22 16:16:39.750,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 16:16:41.750,2022-03-22 16:17:14.762,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 16:17:15.762,2022-03-22 16:17:33.762,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 16:17:34.762,2022-03-22 16:18:33.787,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 16:18:34.787,2022-03-22 16:18:42.787,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 16:18:43.787,2022-03-22 16:19:56.800,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 16:19:56.800,2022-03-22 16:20:23.812,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 16:20:25.812,2022-03-22 16:20:39.812,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 16:20:40.812,2022-03-22 16:27:41.925,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 16:27:46.925,2022-03-22 16:41:24.125,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 17:43:28.075,2022-03-22 17:43:47.075,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 17:43:48.075,2022-03-22 17:44:29.087,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 17:44:30.087,2022-03-22 17:44:38.087,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 17:44:40.087,2022-03-22 17:47:30.137,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 17:47:33.137,2022-03-22 17:49:08.162,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 17:49:15.162,2022-03-22 17:50:48.187,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 17:50:49.187,2022-03-22 17:50:59.187,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 17:51:00.187,2022-03-22 17:51:14.187,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 17:51:34.200,2022-03-22 17:52:03.200,Eating/Dining/Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 17:52:04.200,2022-03-22 17:56:54.275,Eating/Dining/Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 17:56:57.275,2022-03-22 17:58:02.300,Eating/Dining/Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 17:58:03.300,2022-03-22 18:00:04.325,Eating/Dining/Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 18:00:13.325,2022-03-22 18:01:31.350,Eating/Dining/Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 18:01:33.350,2022-03-22 18:02:59.375,Eating/Dining/Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 18:03:05.375,2022-03-22 18:03:46.387,Eating/Dining/Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 18:03:47.387,2022-03-22 18:04:48.400,Eating/Dining/Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 18:04:51.400,2022-03-22 18:08:25.450,Eating/Dining/Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 18:08:27.450,2022-03-22 18:24:45.700,Eating/Dining/Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 18:24:52.700,2022-03-22 18:25:20.712,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 18:25:30.712,2022-03-22 18:25:33.712,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 18:25:36.712,2022-03-22 18:25:54.725,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 18:25:54.725,2022-03-22 18:26:50.737,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 18:26:50.737,2022-03-22 18:27:05.737,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 18:27:11.737,2022-03-22 18:27:49.750,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 18:27:56.750,2022-03-22 18:29:37.775,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 18:29:39.775,2022-03-22 18:30:09.787,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 18:30:10.787,2022-03-22 18:30:35.787,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 18:30:39.787,2022-03-22 18:31:34.800,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 18:31:37.800,2022-03-22 18:36:54.887,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 18:36:55.887,2022-03-22 18:51:06.100,Using_Computer/Screen/Playing_Videogame,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 18:51:13.100,2022-03-22 18:52:08.112,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 18:52:09.112,2022-03-22 18:53:46.137,Using_Computer/Screen/Playing_Videogame,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 18:53:47.137,2022-03-22 18:55:15.162,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 18:55:20.162,2022-03-22 19:40:39.862,Using_Computer/Screen/Playing_Videogame,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 19:40:44.862,2022-03-22 20:05:20.237,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 20:05:22.237,2022-03-22 20:25:41.537,Using_Computer/Screen/Playing_Videogame,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 20:25:46.537,2022-03-22 20:47:39.875,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 20:47:42.875,2022-03-22 21:22:42.412,Using_Computer/Screen/Playing_Videogame,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 21:22:47.412,2022-03-22 22:25:07.362,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 22:25:13.362,2022-03-22 22:44:58.662,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 22:45:06.662,2022-03-22 22:47:41.700,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 22:47:44.700,2022-03-22 22:51:28.762,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 22:51:31.762,2022-03-22 23:00:21.900,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 23:00:23.900,2022-03-22 23:15:53.125,Using_Computer/Screen/Playing_Videogame,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 23:16:05.137,2022-03-22 23:16:18.137,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 23:16:24.137,2022-03-22 23:24:22.262,Using_Computer/Screen/Playing_Videogame,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 23:24:28.262,2022-03-22 23:40:11.500,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-22 23:40:12.500,2022-03-22 23:43:26.550,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-23 11:33:57.562,2022-03-23 11:34:25.562,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-23 11:34:26.562,2022-03-23 11:35:02.562,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-23 11:35:05.562,2022-03-23 11:36:10.562,HLB_Other,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-23 11:36:24.562,2022-03-23 11:50:51.537,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-23 11:50:58.537,2022-03-23 11:52:57.525,Dressing/Undressing,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-23 11:52:59.525,2022-03-23 11:53:24.525,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-23 11:53:25.525,2022-03-23 11:53:36.525,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-23 11:53:36.525,2022-03-23 11:53:55.525,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-23 11:53:56.525,2022-03-23 11:54:19.525,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-23 11:54:21.525,2022-03-23 11:54:25.525,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-23 11:54:25.525,2022-03-23 11:54:34.525,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-23 11:54:35.525,2022-03-23 11:57:23.525,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-23 11:57:25.525,2022-03-23 11:58:17.512,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-23 11:58:20.512,2022-03-23 11:58:42.512,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-23 11:58:51.512,2022-03-23 12:00:40.512,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-23 12:00:45.512,2022-03-23 12:16:16.487,Eating/Dining,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-23 12:16:22.487,2022-03-23 12:16:58.487,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-23 12:17:03.487,2022-03-23 12:17:09.487,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-23 12:17:09.487,2022-03-23 12:17:23.487,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-23 12:17:25.475,2022-03-23 12:18:05.475,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-23 12:18:07.475,2022-03-23 12:18:32.475,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-23 12:18:38.475,2022-03-23 12:21:16.475,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-23 12:21:17.475,2022-03-23 12:21:29.475,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-23 12:21:30.475,2022-03-23 12:22:03.475,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-23 12:22:05.475,2022-03-23 12:22:16.475,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-23 12:22:21.475,2022-03-23 12:22:38.475,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-23 12:22:42.475,2022-03-23 12:46:12.425,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-23 12:46:15.425,2022-03-23 12:47:16.425,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-23 12:47:22.425,2022-03-23 12:48:05.425,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-23 12:48:08.425,2022-03-23 12:48:12.425,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-23 12:48:14.425,2022-03-23 12:48:21.425,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-23 12:48:24.425,2022-03-23 12:49:14.425,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-23 12:49:17.425,2022-03-23 12:49:43.425,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-23 12:49:46.425,2022-03-23 12:50:02.412,HLB_Other,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-23 12:50:05.412,2022-03-23 12:50:37.412,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-23 12:50:39.412,2022-03-23 12:51:26.412,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-23 12:51:29.412,2022-03-23 12:51:42.412,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
2022-03-23 12:51:43.412,2022-03-23 12:52:18.412,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR,,
