START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-03-31 08:49:19.650,2022-03-31 08:50:07.650,ES_VideoUnavailable/Indecipherable,annotator,Experimental situation
2022-03-31 08:50:07.650,2022-03-31 08:50:44.637,Free_Living,annotator,Experimental situation
2022-03-31 08:50:44.637,2022-03-31 08:51:28.637,Free_Living,annotator,Experimental situation
2022-03-31 08:51:28.637,2022-03-31 08:51:48.637,Free_Living,annotator,Experimental situation
2022-03-31 08:51:48.637,2022-03-31 08:52:13.637,Free_Living,annotator,Experimental situation
2022-03-31 08:52:13.637,2022-03-31 08:53:20.637,Free_Living,annotator,Experimental situation
2022-03-31 08:53:20.637,2022-03-31 08:53:58.637,Free_Living,annotator,Experimental situation
2022-03-31 08:53:58.637,2022-03-31 09:09:43.600,Free_Living,annotator,Experimental situation
2022-03-31 09:09:43.600,2022-03-31 09:10:11.600,Free_Living,annotator,Experimental situation
2022-03-31 09:10:11.600,2022-03-31 09:26:17.562,Free_Living,annotator,Experimental situation
2022-03-31 09:26:17.562,2022-03-31 09:28:09.550,Free_Living,annotator,Experimental situation
2022-03-31 09:28:09.550,2022-03-31 09:30:03.550,Free_Living,annotator,Experimental situation
2022-03-31 09:30:03.550,2022-03-31 09:32:25.550,Free_Living,annotator,Experimental situation
2022-03-31 09:32:25.550,2022-03-31 09:33:44.537,Free_Living,annotator,Experimental situation
2022-03-31 09:33:44.537,2022-03-31 09:36:54.537,Free_Living,annotator,Experimental situation
2022-03-31 09:36:54.537,2022-03-31 09:37:32.537,Free_Living,annotator,Experimental situation
2022-03-31 09:37:32.537,2022-03-31 09:38:06.537,Free_Living,annotator,Experimental situation
2022-03-31 09:38:06.537,2022-03-31 09:38:39.525,Free_Living,annotator,Experimental situation
2022-03-31 09:38:39.525,2022-03-31 09:39:14.525,Free_Living,annotator,Experimental situation
2022-03-31 09:39:14.525,2022-03-31 09:41:11.525,Free_Living,annotator,Experimental situation
2022-03-31 09:41:11.525,2022-03-31 09:41:27.525,Free_Living,annotator,Experimental situation
2022-03-31 09:41:27.525,2022-03-31 09:41:30.525,Free_Living,annotator,Experimental situation
2022-03-31 09:41:30.525,2022-03-31 09:42:32.525,Free_Living,annotator,Experimental situation
