START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-04-05 11:49:07.937,2022-04-05 11:50:22.937,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 11:50:22.937,2022-04-05 11:50:37.937,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 11:50:37.937,2022-04-05 11:50:43.937,In_Transit_Active/In_Bathroom,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 11:50:43.937,2022-04-05 11:50:47.937,In_Bathroom,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 11:50:47.937,2022-04-05 11:51:41.925,In_Bathroom,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 11:51:41.925,2022-04-05 11:51:50.925,In_Transit_Active/In_Bathroom,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 11:51:50.925,2022-04-05 11:52:18.925,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 11:52:18.925,2022-04-05 11:52:50.925,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 11:52:50.925,2022-04-05 11:53:02.925,Doing_Alternative_Exercise/Therapy/Stretching,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 11:53:02.925,2022-04-05 11:53:23.925,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 11:53:23.925,2022-04-05 11:53:34.925,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 11:53:34.925,2022-04-05 11:53:39.925,In_Bathroom/In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 11:53:39.925,2022-04-05 11:57:22.925,In_Bathroom,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 11:57:22.925,2022-04-05 11:57:27.925,In_Bathroom/In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 11:57:27.925,2022-04-05 11:57:38.925,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 11:57:38.925,2022-04-05 11:58:05.925,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 11:58:05.925,2022-04-05 12:00:23.912,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 12:00:23.912,2022-04-05 12:00:37.912,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 12:00:37.912,2022-04-05 12:00:52.912,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 12:00:52.912,2022-04-05 12:00:59.912,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 12:00:59.912,2022-04-05 12:01:02.912,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 12:01:02.912,2022-04-05 12:01:10.912,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 12:01:10.912,2022-04-05 12:03:53.912,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 12:03:53.912,2022-04-05 12:03:57.912,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 12:03:57.912,2022-04-05 12:04:29.912,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 12:04:29.912,2022-04-05 12:04:48.912,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 12:04:48.912,2022-04-05 12:35:37.862,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 12:35:37.862,2022-04-05 12:35:43.862,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 12:35:43.862,2022-04-05 12:36:03.862,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 12:36:03.862,2022-04-05 12:36:07.862,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 12:36:07.862,2022-04-05 12:36:44.862,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 12:36:44.862,2022-04-05 12:37:03.862,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 12:37:03.862,2022-04-05 12:49:29.837,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 12:49:29.837,2022-04-05 12:49:38.837,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 12:49:38.837,2022-04-05 12:49:52.837,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 12:49:55.837,2022-04-05 12:51:04.837,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 12:51:04.837,2022-04-05 12:51:11.837,Using_Computer/Screen/In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 12:51:11.837,2022-04-05 12:51:44.837,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 12:51:44.837,2022-04-05 12:51:47.837,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 12:51:47.837,2022-04-05 12:52:09.837,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 12:52:09.837,2022-04-05 12:52:12.837,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 12:52:12.837,2022-04-05 12:53:00.837,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 12:53:00.837,2022-04-05 12:53:02.837,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 12:53:02.837,2022-04-05 12:53:24.825,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 12:53:24.825,2022-04-05 12:55:31.825,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 12:55:31.825,2022-04-05 12:55:36.825,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 12:55:36.825,2022-04-05 12:56:31.825,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 12:56:31.825,2022-04-05 12:56:51.825,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 12:56:51.825,2022-04-05 12:57:17.825,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 12:57:17.825,2022-04-05 12:58:26.825,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 12:58:26.825,2022-04-05 12:59:19.825,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 12:59:19.825,2022-04-05 12:59:28.825,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-05 12:59:28.825,2022-04-05 12:59:43.825,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
