START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-04-06 11:02:32.550,2022-04-06 11:55:07.437,Posture_Indecipherable/Video_Insufficient,annotator,POSTURE
2022-04-06 11:55:10.437,2022-04-06 11:57:31.387,Posture_Indecipherable/Video_Insufficient,annotator,POSTURE
2022-04-06 11:57:32.375,2022-04-06 12:00:16.325,Posture_Indecipherable/Video_Insufficient,annotator,POSTURE
2022-04-06 12:00:16.325,2022-04-06 12:16:17.987,Posture_Indecipherable/Video_Insufficient,annotator,POSTURE
2022-04-06 12:16:26.975,2022-04-06 12:17:11.962,Posture_Indecipherable/Video_Insufficient,annotator,POSTURE
2022-04-06 12:17:13.962,2022-04-06 12:17:25.962,In_Position_Sitting,annotator,POSTURE
2022-04-06 12:17:26.962,2022-04-06 12:17:45.950,In_Position_Sitting,annotator,POSTURE
2022-04-06 12:17:48.950,2022-04-06 12:20:25.900,In_Position_Sitting,annotator,POSTURE
2022-04-06 12:20:27.900,2022-04-06 12:20:56.887,In_Position_Sitting,annotator,POSTURE
2022-04-06 12:20:57.887,2022-04-06 12:22:11.862,In_Position_Sitting,annotator,POSTURE
2022-04-06 12:22:12.862,2022-04-06 12:22:58.837,In_Position_Sitting,annotator,POSTURE
2022-04-06 12:23:00.837,2022-04-06 12:23:21.837,In_Position_Sitting,annotator,POSTURE
2022-04-06 12:23:24.837,2022-04-06 12:23:25.837,In_Position_Sitting,annotator,POSTURE
2022-04-06 12:23:25.837,2022-04-06 12:23:30.825,In_Position_Sitting,annotator,POSTURE
2022-04-06 12:23:31.825,2022-04-06 12:24:17.812,In_Position_Sitting,annotator,POSTURE
2022-04-06 12:24:18.812,2022-04-06 12:24:25.812,In_Position_Sitting,annotator,POSTURE
2022-04-06 12:24:28.812,2022-04-06 12:25:02.800,In_Position_Sitting,annotator,POSTURE
2022-04-06 12:25:03.800,2022-04-06 12:25:32.787,In_Position_Sitting,annotator,POSTURE
2022-04-06 12:25:33.787,2022-04-06 12:28:37.725,In_Position_Sitting,annotator,POSTURE
2022-04-06 12:28:39.725,2022-04-06 12:29:46.700,In_Position_Sitting,annotator,POSTURE
2022-04-06 12:29:47.700,2022-04-06 12:31:26.662,In_Position_Sitting,annotator,POSTURE
2022-04-06 12:31:26.662,2022-04-06 12:33:13.625,In_Position_Sitting,annotator,POSTURE
2022-04-06 12:33:14.625,2022-04-06 12:34:47.587,In_Position_Sitting,annotator,POSTURE
2022-04-06 12:34:48.587,2022-04-06 12:36:57.550,In_Position_Sitting,annotator,POSTURE
2022-04-06 12:36:59.550,2022-04-06 12:37:32.537,In_Position_Sitting,annotator,POSTURE
2022-04-06 12:37:33.537,2022-04-06 12:37:44.525,In_Position_Sitting,annotator,POSTURE
2022-04-06 12:37:46.525,2022-04-06 12:40:20.475,In_Position_Sitting,annotator,POSTURE
2022-04-06 12:40:21.475,2022-04-06 12:42:01.437,In_Position_Sitting,annotator,POSTURE
2022-04-06 12:42:02.437,2022-04-06 12:44:13.387,In_Position_Sitting,annotator,POSTURE
