START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-04-07 12:09:15.812,2022-04-07 12:09:32.812,Sitting_With_Movement,annotator,PA TYPE
2022-04-07 12:09:32.812,2022-04-07 12:10:26.800,Sitting_With_Movement,annotator,PA TYPE
2022-04-07 12:10:26.800,2022-04-07 12:12:14.787,Sitting_With_Movement,annotator,PA TYPE
2022-04-07 12:12:14.787,2022-04-07 12:12:24.787,Walking,annotator,PA TYPE
2022-04-07 12:12:24.787,2022-04-07 12:13:46.775,Standing_With_Movement,annotator,PA TYPE
2022-04-07 12:13:46.775,2022-04-07 12:14:25.775,Standing_With_Movement,annotator,PA TYPE
2022-04-07 12:14:26.775,2022-04-07 12:17:55.750,Sitting_With_Movement,annotator,PA TYPE
2022-04-07 12:17:55.750,2022-04-07 12:31:08.675,Sitting_With_Movement,annotator,PA TYPE
2022-04-07 12:31:08.675,2022-04-07 12:32:35.662,Sitting_With_Movement,annotator,PA TYPE
2022-04-07 12:32:35.662,2022-04-07 12:33:29.662,Sitting_With_Movement,annotator,PA TYPE
2022-04-07 12:33:29.662,2022-04-07 12:36:55.637,Sitting_With_Movement,annotator,PA TYPE
2022-04-07 12:36:55.637,2022-04-07 12:42:37.600,Sitting_With_Movement,annotator,PA TYPE
2022-04-07 12:42:37.600,2022-04-07 12:48:35.562,Sitting_With_Movement,annotator,PA TYPE
2022-04-07 12:48:35.562,2022-04-07 12:54:36.525,Sitting_With_Movement,annotator,PA TYPE
2022-04-07 12:54:36.525,2022-04-07 12:55:16.525,Sitting_With_Movement,annotator,PA TYPE
2022-04-07 12:55:16.525,2022-04-07 12:55:44.512,Sitting_With_Movement,annotator,PA TYPE
2022-04-07 12:55:44.512,2022-04-07 13:01:09.487,Sitting_With_Movement,annotator,PA TYPE
2022-04-07 13:01:09.487,2022-04-07 13:02:32.475,Sitting_With_Movement,annotator,PA TYPE
2022-04-07 13:02:32.475,2022-04-07 13:10:50.425,Sitting_With_Movement,annotator,PA TYPE
2022-04-07 13:10:50.425,2022-04-07 13:12:54.412,Sitting_With_Movement,annotator,PA TYPE
