START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-04-08 10:05:14.325,2022-04-08 10:05:53.325,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-08 10:05:53.325,2022-04-08 10:06:13.325,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-08 10:06:13.325,2022-04-08 10:06:31.312,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-08 10:06:31.312,2022-04-08 10:06:41.312,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-08 10:06:41.312,2022-04-08 10:18:48.200,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-08 10:18:48.200,2022-04-08 10:19:26.187,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-08 10:19:26.187,2022-04-08 10:22:22.162,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-08 10:22:22.162,2022-04-08 10:22:43.162,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-08 10:22:43.162,2022-04-08 10:27:23.112,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-08 10:27:23.112,2022-04-08 10:32:36.062,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-08 10:32:36.062,2022-04-08 10:33:25.062,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-08 10:33:25.062,2022-04-08 10:34:22.050,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-08 10:34:22.050,2022-04-08 10:35:34.037,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-08 10:35:34.037,2022-04-08 10:37:21.012,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-08 10:37:21.012,2022-04-08 10:37:56.012,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-08 10:37:56.012,2022-04-08 10:39:10.000,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-08 10:39:10.000,2022-04-08 10:53:15.862,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-08 10:53:15.862,2022-04-08 11:02:38.775,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-08 11:02:38.775,2022-04-08 11:02:49.775,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-08 11:02:49.775,2022-04-08 11:03:12.762,In_Transit_Active/In_Bathroom,annotator,HIGH LEVEL BEHAVIOR
2022-04-08 11:03:12.762,2022-04-08 11:03:23.762,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-08 11:03:23.762,2022-04-08 11:03:47.762,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2022-04-08 11:03:47.762,2022-04-08 11:05:52.737,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2022-04-08 11:05:52.737,2022-04-08 11:06:14.737,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-08 11:06:14.737,2022-04-08 12:00:31.212,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-04-08 12:00:31.212,2022-04-08 12:00:46.212,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2022-04-08 12:00:46.212,2022-04-08 12:00:58.212,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-08 12:00:58.212,2022-04-08 12:01:03.212,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-08 12:01:03.212,2022-04-08 12:01:21.200,In_Bathroom,annotator,HIGH LEVEL BEHAVIOR
2022-04-08 12:01:21.200,2022-04-08 12:01:37.200,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-08 12:01:37.200,2022-04-08 12:02:41.187,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2022-04-08 12:02:41.187,2022-04-08 12:03:11.187,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-08 12:03:11.187,2022-04-08 12:03:24.187,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-08 12:03:24.187,2022-04-08 12:03:56.175,Using_Computer/Screen/Meeting_Virtual,annotator,HIGH LEVEL BEHAVIOR
2022-04-08 12:03:56.175,2022-04-08 12:04:20.175,Using_Computer/Screen/Meeting_Virtual,annotator,HIGH LEVEL BEHAVIOR
2022-04-08 12:04:20.175,2022-04-08 12:05:20.162,Using_Computer/Screen/Meeting_Virtual,annotator,HIGH LEVEL BEHAVIOR
2022-04-08 12:05:20.162,2022-04-08 12:20:26.025,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-04-08 12:20:26.025,2022-04-08 12:21:34.012,Meeting_Virtual/Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-08 12:21:34.012,2022-04-08 12:26:10.962,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-08 12:26:10.962,2022-04-08 12:26:19.962,Using_Computer/Screen/WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR
2022-04-08 12:26:19.962,2022-04-08 12:26:41.962,Using_Computer/Screen/WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR
2022-04-08 12:26:41.962,2022-04-08 12:27:16.950,Using_Computer/Screen/WatchingTV/Movies,annotator,HIGH LEVEL BEHAVIOR
2022-04-08 12:27:16.950,2022-04-08 12:27:43.950,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-08 12:27:43.950,2022-04-08 12:31:28.912,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-08 12:31:28.912,2022-04-08 12:34:00.887,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-08 12:34:00.887,2022-04-08 12:34:31.887,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-08 12:34:31.887,2022-04-08 12:34:52.875,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
