START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-04-06 06:16:01.450,2022-04-06 06:16:55.450,Located_Indoors,annotator,Behavioral Parameters
2022-04-06 06:16:55.450,2022-04-06 06:18:14.437,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-04-06 06:18:14.437,2022-04-06 06:18:22.437,Located_Indoors,annotator,Behavioral Parameters
2022-04-06 06:18:22.437,2022-04-06 06:24:07.400,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-04-06 06:24:07.400,2022-04-06 07:06:34.175,Located_Indoors/Browsing_Computer,annotator,Behavioral Parameters
2022-04-06 07:06:34.175,2022-04-06 07:27:35.062,Located_Indoors/BP_VideoUnavailable/Indecipherable,annotator,Behavioral Parameters
2022-04-06 07:27:35.062,2022-04-06 07:28:51.062,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-04-06 07:28:51.062,2022-04-06 07:33:21.037,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-04-06 07:33:21.037,2022-04-06 07:35:02.025,Located_Indoors/Holding_Other_Object_Light/Legs_Crossed,annotator,Behavioral Parameters
2022-04-06 07:35:02.025,2022-04-06 07:38:33.012,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-04-06 07:38:33.012,2022-04-06 08:48:36.625,Located_Indoors/Typing_Computer,annotator,Behavioral Parameters
2022-04-06 08:48:36.625,2022-04-06 09:02:53.550,Located_Indoors/Browsing_Computer,annotator,Behavioral Parameters
2022-04-06 09:02:53.550,2022-04-06 09:35:15.375,Located_Indoors/Typing_Computer,annotator,Behavioral Parameters
2022-04-06 09:35:15.375,2022-04-06 09:46:56.312,Located_Indoors/Browsing_Computer,annotator,Behavioral Parameters
2022-04-06 09:46:56.312,2022-04-06 09:52:25.287,Located_Indoors/Typing_Computer,annotator,Behavioral Parameters
2022-04-06 09:52:25.287,2022-04-06 10:07:51.200,Located_Indoors/Browsing_Computer,annotator,Behavioral Parameters
2022-04-06 10:07:51.200,2022-04-06 10:08:45.200,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-04-06 10:08:45.200,2022-04-06 10:14:03.175,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-04-06 10:14:03.175,2022-04-06 10:14:21.175,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-04-06 10:14:21.175,2022-04-06 10:14:32.175,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-04-06 10:14:32.175,2022-04-06 10:14:48.162,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-04-06 10:14:48.162,2022-04-06 10:15:42.162,Holding_Other_Object_Light/Located_Outdoors,annotator,Behavioral Parameters
2022-04-06 10:15:42.162,2022-04-06 10:16:10.162,Located_Indoors,annotator,Behavioral Parameters
2022-04-06 10:16:10.162,2022-04-06 10:17:27.150,Located_Indoors,annotator,Behavioral Parameters
2022-04-06 10:17:27.150,2022-04-06 10:17:47.150,Located_Indoors,annotator,Behavioral Parameters
2022-04-06 10:17:47.150,2022-04-06 10:19:45.137,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-04-06 10:19:45.137,2022-04-06 10:23:15.125,Located_Indoors/Browsing_Computer,annotator,Behavioral Parameters
2022-04-06 10:23:15.125,2022-04-06 10:27:07.100,Located_Indoors/Holding_Solid_Food/Browsing_Computer,annotator,Behavioral Parameters
2022-04-06 10:27:07.100,2022-04-06 10:53:43.962,Located_Indoors/Browsing_Computer,annotator,Behavioral Parameters
2022-04-06 10:53:43.962,2022-04-06 10:54:18.962,Located_Indoors,annotator,Behavioral Parameters
2022-04-06 10:54:18.962,2022-04-06 10:58:30.937,Located_Indoors/BP_VideoUnavailable/Indecipherable,annotator,Behavioral Parameters
2022-04-06 10:58:30.937,2022-04-06 10:59:20.925,Located_Indoors,annotator,Behavioral Parameters
2022-04-06 10:59:20.925,2022-04-06 12:05:46.575,Located_Indoors/Texting/Browsing_Phone/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-04-06 12:05:46.575,2022-04-06 12:19:16.500,Located_Indoors/Typing_Computer,annotator,Behavioral Parameters
2022-04-06 12:19:17.500,2022-04-06 12:19:34.500,Texting/Browsing_Phone/Located_Indoors,annotator,Behavioral Parameters
2022-04-06 12:19:34.500,2022-04-06 12:21:57.487,Located_Indoors/Browsing_Computer,annotator,Behavioral Parameters
2022-04-06 12:21:57.487,2022-04-06 12:22:15.487,Located_Indoors/Browsing_Computer,annotator,Behavioral Parameters
2022-04-06 12:22:15.487,2022-04-06 12:28:10.450,Located_Indoors,annotator,Behavioral Parameters
2022-04-06 12:28:10.450,2022-04-06 12:29:35.450,Located_Indoors,annotator,Behavioral Parameters
2022-04-06 12:29:35.450,2022-04-06 12:30:52.437,Located_Indoors/CP_VideoUnavailable/Indecipherable,annotator,Behavioral Parameters
2022-04-06 12:30:52.437,2022-04-06 12:32:11.437,Located_Indoors,annotator,Behavioral Parameters
2022-04-06 12:32:11.437,2022-04-06 12:37:36.400,Located_Indoors,annotator,Behavioral Parameters
2022-04-06 12:37:36.400,2022-04-06 12:38:10.400,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-04-06 12:38:10.400,2022-04-06 12:38:39.400,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-04-06 12:38:39.400,2022-04-06 12:39:54.387,Located_Indoors,annotator,Behavioral Parameters
2022-04-06 12:39:54.387,2022-04-06 12:41:54.375,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-04-06 12:41:54.375,2022-04-06 12:44:19.362,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-04-06 12:44:19.362,2022-04-06 13:16:22.200,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-04-06 13:16:22.200,2022-04-06 14:12:20.900,Located_Indoors,annotator,Behavioral Parameters
2022-04-06 14:12:20.900,2022-04-06 14:12:36.887,Located_Indoors,annotator,Behavioral Parameters
2022-04-06 14:12:36.887,2022-04-06 14:12:54.887,Located_Outdoors,annotator,Behavioral Parameters
2022-04-06 14:12:54.887,2022-04-06 14:35:25.775,Located_Indoors,annotator,Behavioral Parameters
2022-04-06 14:35:25.775,2022-04-06 14:36:50.762,Located_Indoors,annotator,Behavioral Parameters
2022-04-06 14:36:50.762,2022-04-06 14:37:08.762,Located_Indoors,annotator,Behavioral Parameters
2022-04-06 14:37:08.762,2022-04-06 14:37:52.762,Located_Indoors,annotator,Behavioral Parameters
2022-04-06 14:37:52.762,2022-04-06 14:38:34.750,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-04-06 14:38:34.750,2022-04-06 14:39:20.750,Located_Indoors,annotator,Behavioral Parameters
2022-04-06 14:39:20.750,2022-04-06 14:40:27.750,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-04-06 14:40:27.750,2022-04-06 14:54:33.662,Located_Indoors/Holding_Other_Object_Light/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-04-06 14:54:33.662,2022-04-06 15:04:12.612,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-04-06 15:04:12.612,2022-04-06 15:06:23.600,Located_Indoors/Holding_Other_Object_Light/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-04-06 15:06:37.600,2022-04-06 15:27:20.487,Located_Indoors/Holding_Other_Object_Light/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-04-06 15:27:26.487,2022-04-06 15:36:40.437,Located_Indoors,annotator,Behavioral Parameters
2022-04-06 15:36:42.437,2022-04-06 15:37:01.437,Located_Indoors/Carrying_Bag_On_Shoulder/Back_Light/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-04-06 15:37:03.437,2022-04-06 15:37:34.437,Located_Indoors/Carrying_Bag_On_Shoulder/Back_Light/Holding_Other_Object_Light/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-04-06 15:37:37.437,2022-04-06 15:37:43.437,Located_Indoors/Carrying_Bag_On_Shoulder/Back_Light/Holding_Other_Object_Light/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-04-06 15:37:45.437,2022-04-06 15:38:12.437,Located_Indoors/Carrying_Bag_On_Shoulder/Back_Light/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-04-06 15:38:13.437,2022-04-06 15:38:21.437,Located_Indoors/Carrying_Bag_On_Shoulder/Back_Light/Holding_Other_Object_Light,annotator,Behavioral Parameters
