START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-04-06 06:16:01.450,2022-04-06 06:16:55.450,Free_Living,annotator,Experimental situation
2022-04-06 06:16:55.450,2022-04-06 06:18:14.437,Free_Living,annotator,Experimental situation
2022-04-06 06:18:14.437,2022-04-06 06:18:22.437,Free_Living,annotator,Experimental situation
2022-04-06 06:18:22.437,2022-04-06 06:24:07.400,Free_Living,annotator,Experimental situation
2022-04-06 06:24:07.400,2022-04-06 07:06:34.175,Free_Living,annotator,Experimental situation
2022-04-06 07:06:34.175,2022-04-06 07:27:35.062,Free_Living,annotator,Experimental situation
2022-04-06 07:27:35.062,2022-04-06 07:28:51.062,Free_Living,annotator,Experimental situation
2022-04-06 07:28:51.062,2022-04-06 07:33:21.037,Free_Living,annotator,Experimental situation
2022-04-06 07:33:21.037,2022-04-06 07:35:02.025,Free_Living,annotator,Experimental situation
2022-04-06 07:35:02.025,2022-04-06 07:38:33.012,Free_Living,annotator,Experimental situation
2022-04-06 07:38:33.012,2022-04-06 08:48:36.625,Free_Living,annotator,Experimental situation
2022-04-06 08:48:36.625,2022-04-06 09:02:53.550,Free_Living,annotator,Experimental situation
2022-04-06 09:02:53.550,2022-04-06 09:35:15.375,Free_Living,annotator,Experimental situation
2022-04-06 09:35:15.375,2022-04-06 09:46:56.312,Free_Living,annotator,Experimental situation
2022-04-06 09:46:56.312,2022-04-06 09:52:25.287,Free_Living,annotator,Experimental situation
2022-04-06 09:52:25.287,2022-04-06 10:07:51.200,Free_Living,annotator,Experimental situation
2022-04-06 10:07:51.200,2022-04-06 10:08:45.200,Free_Living,annotator,Experimental situation
2022-04-06 10:08:45.200,2022-04-06 10:14:03.175,Free_Living,annotator,Experimental situation
2022-04-06 10:14:03.175,2022-04-06 10:14:21.175,Free_Living,annotator,Experimental situation
2022-04-06 10:14:21.175,2022-04-06 10:14:32.175,Free_Living,annotator,Experimental situation
2022-04-06 10:14:32.175,2022-04-06 10:14:48.162,Free_Living,annotator,Experimental situation
2022-04-06 10:14:48.162,2022-04-06 10:15:42.162,Free_Living,annotator,Experimental situation
2022-04-06 10:15:42.162,2022-04-06 10:16:10.162,Free_Living,annotator,Experimental situation
2022-04-06 10:16:10.162,2022-04-06 10:17:27.150,Free_Living,annotator,Experimental situation
2022-04-06 10:17:27.150,2022-04-06 10:17:47.150,Free_Living,annotator,Experimental situation
2022-04-06 10:17:47.150,2022-04-06 10:19:45.137,Free_Living,annotator,Experimental situation
2022-04-06 10:19:45.137,2022-04-06 10:23:15.125,Free_Living,annotator,Experimental situation
2022-04-06 10:23:15.125,2022-04-06 10:27:07.100,Free_Living,annotator,Experimental situation
2022-04-06 10:27:07.100,2022-04-06 10:53:43.962,Free_Living,annotator,Experimental situation
2022-04-06 10:53:43.962,2022-04-06 10:54:18.962,Free_Living,annotator,Experimental situation
2022-04-06 10:54:18.962,2022-04-06 10:58:30.937,Free_Living,annotator,Experimental situation
2022-04-06 10:58:30.937,2022-04-06 10:59:20.925,Free_Living,annotator,Experimental situation
2022-04-06 10:59:20.925,2022-04-06 12:05:46.575,Free_Living,annotator,Experimental situation
