START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-04-06 06:16:01.450,2022-04-06 06:16:55.450,,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 06:16:55.450,2022-04-06 06:18:14.437,,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 06:18:14.437,2022-04-06 06:18:22.437,,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 06:18:22.437,2022-04-06 06:24:07.400,,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 06:24:07.400,2022-04-06 07:06:34.175,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 07:06:34.175,2022-04-06 07:27:35.062,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 07:27:35.062,2022-04-06 07:28:51.062,,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 07:28:51.062,2022-04-06 07:33:21.037,Dressing/Undressing,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 07:33:21.037,2022-04-06 07:35:02.025,Dressing/Undressing,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 07:35:02.025,2022-04-06 07:38:33.012,Dressing/Undressing,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 07:38:33.012,2022-04-06 08:48:36.625,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 08:48:36.625,2022-04-06 09:02:53.550,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 09:02:53.550,2022-04-06 09:35:15.375,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 09:35:15.375,2022-04-06 09:46:56.312,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 09:46:56.312,2022-04-06 09:52:25.287,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 09:52:25.287,2022-04-06 10:07:51.200,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 10:07:51.200,2022-04-06 10:08:45.200,Dressing/Undressing,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 10:08:45.200,2022-04-06 10:14:03.175,Dressing/Undressing,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 10:14:03.175,2022-04-06 10:14:21.175,,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 10:14:21.175,2022-04-06 10:14:32.175,,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 10:14:32.175,2022-04-06 10:14:48.162,,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 10:14:48.162,2022-04-06 10:15:42.162,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 10:15:42.162,2022-04-06 10:16:10.162,,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 10:16:10.162,2022-04-06 10:17:27.150,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 10:17:27.150,2022-04-06 10:17:47.150,,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 10:17:47.150,2022-04-06 10:19:45.137,,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 10:19:45.137,2022-04-06 10:23:15.125,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 10:23:15.125,2022-04-06 10:27:07.100,Using_Computer/Screen/Eating/Dining,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 10:27:07.100,2022-04-06 10:53:43.962,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 10:53:43.962,2022-04-06 10:54:18.962,,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 10:54:18.962,2022-04-06 10:58:30.937,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 10:58:30.937,2022-04-06 10:59:20.925,,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 10:59:20.925,2022-04-06 12:05:46.575,,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 12:05:46.575,2022-04-06 12:19:16.500,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 12:19:17.500,2022-04-06 12:19:34.500,,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 12:19:34.500,2022-04-06 12:21:57.487,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 12:21:57.487,2022-04-06 12:22:15.487,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 12:22:15.487,2022-04-06 12:28:10.450,,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 12:28:10.450,2022-04-06 12:29:35.450,Grooming/Self_Care,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 12:29:35.450,2022-04-06 12:30:52.437,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 12:30:52.437,2022-04-06 12:32:11.437,,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 12:32:11.437,2022-04-06 12:37:36.400,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 12:37:36.400,2022-04-06 12:38:10.400,,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 12:38:10.400,2022-04-06 12:38:39.400,Riding_Elevator_Up,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 12:38:39.400,2022-04-06 12:39:54.387,,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 12:39:54.387,2022-04-06 12:41:54.375,,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 12:41:54.375,2022-04-06 12:44:19.362,,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 12:44:19.362,2022-04-06 13:16:22.200,,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 13:16:22.200,2022-04-06 14:12:20.900,,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 14:12:20.900,2022-04-06 14:12:36.887,,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 14:12:36.887,2022-04-06 14:12:54.887,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 14:12:54.887,2022-04-06 14:35:25.775,,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 14:35:25.775,2022-04-06 14:36:50.762,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 14:36:50.762,2022-04-06 14:37:08.762,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 14:37:08.762,2022-04-06 14:37:52.762,,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 14:37:52.762,2022-04-06 14:38:34.750,Riding_Elevator_Up,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 14:38:34.750,2022-04-06 14:39:20.750,,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 14:39:20.750,2022-04-06 14:40:27.750,,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 14:40:27.750,2022-04-06 14:54:33.662,,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 14:54:33.662,2022-04-06 15:04:12.612,,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 15:04:12.612,2022-04-06 15:06:23.600,,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 15:06:37.600,2022-04-06 15:27:20.487,,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 15:27:26.487,2022-04-06 15:36:40.437,Meeting_Formal_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 15:36:42.437,2022-04-06 15:37:01.437,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 15:37:03.437,2022-04-06 15:37:34.437,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 15:37:37.437,2022-04-06 15:37:43.437,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 15:37:45.437,2022-04-06 15:38:12.437,In_Transit_Active/Riding_Elevator_Down,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 15:38:13.437,2022-04-06 15:38:21.437,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 15:38:22.437,2022-04-06 15:38:46.437,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 15:38:50.425,2022-04-06 15:40:55.425,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 15:41:02.425,2022-04-06 15:42:14.412,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 15:42:18.412,2022-04-06 15:43:03.412,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 15:43:09.412,2022-04-06 15:46:57.387,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 15:47:01.387,2022-04-06 15:47:20.387,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 15:47:24.387,2022-04-06 15:55:17.337,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 15:55:20.337,2022-04-06 15:55:39.337,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 15:55:52.337,2022-04-06 16:16:20.225,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 16:16:26.225,2022-04-06 16:16:58.225,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 16:17:05.225,2022-04-06 16:21:13.200,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 16:21:17.200,2022-04-06 16:23:44.187,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 16:23:49.187,2022-04-06 16:24:12.187,,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 16:24:15.187,2022-04-06 16:24:32.187,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 16:24:34.187,2022-04-06 16:26:47.175,Packing/Unpacking_Something/Dressing/Undressing,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 16:26:53.175,2022-04-06 16:27:09.175,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 16:27:13.175,2022-04-06 16:27:25.175,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 16:27:26.175,2022-04-06 16:27:33.175,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 16:27:35.175,2022-04-06 16:29:09.162,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 16:29:13.162,2022-04-06 16:31:38.150,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 16:31:43.150,2022-04-06 16:34:35.137,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 16:34:37.137,2022-04-06 16:34:53.125,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 16:34:55.125,2022-04-06 16:35:16.125,In_Transit_Active/Riding_Elevator_Up,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 16:35:19.125,2022-04-06 16:35:47.125,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 16:35:51.125,2022-04-06 16:43:16.087,Meeting_Formal_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 16:43:28.087,2022-04-06 16:46:48.062,Meeting_Formal_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 16:47:01.062,2022-04-06 16:47:25.062,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 16:47:26.062,2022-04-06 16:47:46.062,In_Transit_Active/Riding_Elevator_Down,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 16:47:49.062,2022-04-06 16:47:59.062,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 16:48:03.062,2022-04-06 16:48:27.062,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 16:48:29.062,2022-04-06 16:48:34.062,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 16:48:38.062,2022-04-06 16:50:45.050,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 16:50:47.050,2022-04-06 16:51:31.037,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-06 16:51:35.037,2022-04-06 16:52:46.037,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
