START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-04-12 09:50:30.025,2022-04-12 10:38:16.175,Sitting_With_Movement,annotator,PA TYPE
2022-04-12 10:38:51.175,2022-04-12 11:01:04.237,Sitting_With_Movement,annotator,PA TYPE
2022-04-12 11:01:17.250,2022-04-12 11:07:45.262,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE
2022-04-12 11:07:45.262,2022-04-12 11:09:33.275,Standing_With_Movement,annotator,PA TYPE
2022-04-12 11:09:33.275,2022-04-12 11:09:51.275,Walking,annotator,PA TYPE
2022-04-12 11:09:51.275,2022-04-12 11:13:41.287,Standing_With_Movement,annotator,PA TYPE
2022-04-12 11:13:41.287,2022-04-12 11:14:31.287,Brushing_Teeth,annotator,PA TYPE
2022-04-12 11:14:31.287,2022-04-12 11:15:59.287,Standing_With_Movement,annotator,PA TYPE
2022-04-12 11:15:59.287,2022-04-12 11:17:42.300,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE
2022-04-12 11:17:42.300,2022-04-12 11:19:14.300,Standing_With_Movement,annotator,PA TYPE
2022-04-12 11:19:14.300,2022-04-12 11:19:55.300,Puttering_Around,annotator,PA TYPE
2022-04-12 11:19:55.300,2022-04-12 11:20:02.300,Walking,annotator,PA TYPE
2022-04-12 11:20:02.300,2022-04-12 11:20:27.300,Walking_Down_Stairs,annotator,PA TYPE
2022-04-12 11:20:27.300,2022-04-12 11:23:00.312,Walking,annotator,PA TYPE
2022-04-12 11:23:00.312,2022-04-12 11:23:21.312,Walking,annotator,PA TYPE
2022-04-12 11:23:21.312,2022-04-12 11:24:18.312,Walking,annotator,PA TYPE
2022-04-12 11:24:18.312,2022-04-12 11:27:18.325,Walking,annotator,PA TYPE
2022-04-12 11:27:19.325,2022-04-12 11:28:02.325,Walking,annotator,PA TYPE
2022-04-12 11:28:02.325,2022-04-12 11:28:56.337,Walking,annotator,PA TYPE
2022-04-12 11:28:56.337,2022-04-12 11:29:14.337,Walking,annotator,PA TYPE
2022-04-12 11:29:14.337,2022-04-12 11:30:28.337,Walking_Slow,annotator,PA TYPE
2022-04-12 11:30:28.337,2022-04-12 11:32:08.337,Walking,annotator,PA TYPE
2022-04-12 11:32:08.337,2022-04-12 11:32:39.337,Walking,annotator,PA TYPE
2022-04-12 11:32:39.337,2022-04-12 11:41:35.375,Sitting_With_Movement,annotator,PA TYPE
2022-04-12 11:41:35.375,2022-04-12 11:41:53.375,Standing_With_Movement,annotator,PA TYPE
2022-04-12 11:41:53.375,2022-04-12 11:42:29.375,Walking_Up_Stairs,annotator,PA TYPE
2022-04-12 11:42:29.375,2022-04-12 11:42:49.375,Walking,annotator,PA TYPE
2022-04-12 11:42:49.375,2022-04-12 11:43:10.375,Standing_With_Movement,annotator,PA TYPE
2022-04-12 11:43:10.375,2022-04-12 11:44:03.375,Walking,annotator,PA TYPE
2022-04-12 11:44:03.375,2022-04-12 11:44:07.375,Walking,annotator,PA TYPE
2022-04-12 11:44:07.375,2022-04-12 11:44:48.387,Standing_With_Movement,annotator,PA TYPE
2022-04-12 11:44:48.387,2022-04-12 11:47:07.387,Sitting_With_Movement,annotator,PA TYPE
2022-04-12 11:47:07.387,2022-04-12 12:06:22.450,Sitting_With_Movement,annotator,PA TYPE
2022-04-12 12:06:22.450,2022-04-12 12:07:01.450,Puttering_Around,annotator,PA TYPE
2022-04-12 12:07:01.450,2022-04-12 12:18:59.487,Standing_With_Movement,annotator,PA TYPE
2022-04-12 12:18:59.487,2022-04-12 12:19:46.487,Sitting_Still,annotator,PA TYPE
2022-04-12 12:19:46.487,2022-04-12 12:20:05.500,Sitting_Still,annotator,PA TYPE
2022-04-12 12:20:05.500,2022-04-12 12:20:25.500,Walking,annotator,PA TYPE
2022-04-12 12:20:25.500,2022-04-12 12:56:35.612,Sitting_With_Movement,annotator,PA TYPE
2022-04-12 12:56:35.612,2022-04-12 12:56:43.612,Walking,annotator,PA TYPE
2022-04-12 12:56:44.612,2022-04-12 13:02:12.625,Standing_With_Movement,annotator,PA TYPE
2022-04-12 13:02:13.625,2022-04-12 13:02:19.625,Walking,annotator,PA TYPE
2022-04-12 13:02:19.625,2022-04-12 13:21:17.687,Sitting_With_Movement,annotator,PA TYPE
2022-04-12 13:21:17.687,2022-04-12 13:23:24.700,Sitting_With_Movement,annotator,PA TYPE
2022-04-12 13:23:24.700,2022-04-12 13:24:26.700,Standing_With_Movement,annotator,PA TYPE
2022-04-12 13:24:26.700,2022-04-12 13:25:23.700,Walking,annotator,PA TYPE
2022-04-12 13:25:23.700,2022-04-12 13:25:57.700,Walking_Down_Stairs,annotator,PA TYPE
2022-04-12 13:25:57.700,2022-04-12 13:26:23.700,Walking,annotator,PA TYPE
2022-04-12 13:26:23.700,2022-04-12 13:29:45.712,Walking,annotator,PA TYPE
2022-04-12 13:29:45.712,2022-04-12 13:29:59.712,Standing_With_Movement,annotator,PA TYPE
2022-04-12 13:29:59.712,2022-04-12 13:30:51.712,Walking,annotator,PA TYPE
2022-04-12 13:30:51.712,2022-04-12 13:35:18.737,Sitting_With_Movement,annotator,PA TYPE
2022-04-12 13:35:18.737,2022-04-12 13:39:46.750,Sitting_With_Movement,annotator,PA TYPE
2022-04-12 13:39:46.750,2022-04-12 13:55:15.800,Sitting_With_Movement,annotator,PA TYPE
2022-04-12 13:55:15.800,2022-04-12 13:55:46.800,Walking,annotator,PA TYPE
2022-04-12 13:55:46.800,2022-04-12 14:15:00.862,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE
2022-04-12 14:15:00.862,2022-04-12 14:15:17.862,Washing_Hands,annotator,PA TYPE
2022-04-12 14:15:17.862,2022-04-12 14:15:55.862,Walking,annotator,PA TYPE
2022-04-12 14:15:56.862,2022-04-12 14:17:12.862,Walking,annotator,PA TYPE
2022-04-12 14:17:12.862,2022-04-12 14:17:39.862,Walking,annotator,PA TYPE
2022-04-12 14:17:39.862,2022-04-12 14:19:10.875,Walking,annotator,PA TYPE
2022-04-12 14:19:12.875,2022-04-12 14:19:38.875,Standing_With_Movement,annotator,PA TYPE
2022-04-12 14:19:38.875,2022-04-12 14:20:18.875,Walking,annotator,PA TYPE
2022-04-12 14:20:18.875,2022-04-12 14:20:45.875,Walking,annotator,PA TYPE
2022-04-12 14:20:45.875,2022-04-12 14:21:02.875,Standing_With_Movement,annotator,PA TYPE
2022-04-12 14:21:02.875,2022-04-12 14:21:27.875,Walking,annotator,PA TYPE
2022-04-12 14:21:27.875,2022-04-12 14:21:39.875,Walking,annotator,PA TYPE
2022-04-12 14:21:39.875,2022-04-12 14:21:56.875,Walking_Up_Stairs,annotator,PA TYPE
2022-04-12 14:21:56.875,2022-04-12 14:22:11.875,Walking,annotator,PA TYPE
2022-04-12 14:22:11.875,2022-04-12 14:22:30.875,Standing_With_Movement,annotator,PA TYPE
2022-04-12 14:22:30.875,2022-04-12 14:23:02.887,Walking,annotator,PA TYPE
2022-04-12 14:23:02.887,2022-04-12 14:23:28.887,Standing_With_Movement,annotator,PA TYPE
2022-04-12 14:23:28.887,2022-04-12 14:26:44.900,Sitting_With_Movement,annotator,PA TYPE
2022-04-12 14:26:44.900,2022-04-12 14:31:24.912,Sitting_With_Movement,annotator,PA TYPE
2022-04-12 14:31:24.912,2022-04-12 15:47:16.150,Sitting_With_Movement,annotator,PA TYPE
2022-04-12 15:47:16.150,2022-04-12 15:48:15.150,Sitting_With_Movement,annotator,PA TYPE
2022-04-12 15:48:15.150,2022-04-12 15:49:57.162,Sitting_With_Movement,annotator,PA TYPE
2022-04-12 15:49:57.162,2022-04-12 15:50:45.162,Puttering_Around,annotator,PA TYPE
2022-04-12 15:50:45.162,2022-04-12 15:51:05.162,Walking,annotator,PA TYPE
2022-04-12 15:51:05.162,2022-04-12 15:51:24.162,Walking_Down_Stairs,annotator,PA TYPE
2022-04-12 15:51:24.162,2022-04-12 15:51:30.162,Walking,annotator,PA TYPE
