START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-04-12 17:10:20.625,2022-04-12 17:22:15.512,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:22:15.512,2022-04-12 17:23:21.512,Meeting_Formal_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:23:21.512,2022-04-12 17:23:50.512,Meeting_Formal_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:23:50.512,2022-04-12 17:24:07.512,Meeting_Formal_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:24:08.512,2022-04-12 17:24:39.512,Meeting_Formal_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:24:39.512,2022-04-12 17:25:03.500,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:25:04.500,2022-04-12 17:26:26.500,In_Bathroom,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:26:26.500,2022-04-12 17:26:46.500,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:26:46.500,2022-04-12 17:27:02.500,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:27:05.500,2022-04-12 17:27:29.500,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:27:33.487,2022-04-12 17:27:53.487,In_Transit_Active/Riding_Elevator_Down,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:27:53.487,2022-04-12 17:28:00.487,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:28:00.487,2022-04-12 17:28:08.487,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:28:10.487,2022-04-12 17:28:57.487,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:28:57.487,2022-04-12 17:29:08.487,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:29:09.487,2022-04-12 17:29:44.487,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:29:46.487,2022-04-12 17:30:16.475,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:30:17.475,2022-04-12 17:31:45.475,,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:31:47.475,2022-04-12 17:32:13.475,,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:32:14.475,2022-04-12 17:32:44.475,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:32:46.462,2022-04-12 17:33:04.462,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:33:04.462,2022-04-12 17:33:23.462,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:33:25.462,2022-04-12 17:33:49.462,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:33:50.462,2022-04-12 17:34:14.462,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:34:15.462,2022-04-12 17:34:36.462,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:34:40.462,2022-04-12 17:35:10.462,,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:35:10.462,2022-04-12 17:35:29.450,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:35:31.450,2022-04-12 17:35:59.450,,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:35:59.450,2022-04-12 17:36:02.450,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:36:02.450,2022-04-12 17:36:17.450,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:36:17.450,2022-04-12 17:36:36.450,,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:36:38.450,2022-04-12 17:37:19.450,,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:37:19.450,2022-04-12 17:37:58.450,,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:37:59.450,2022-04-12 17:38:04.437,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:38:05.437,2022-04-12 17:38:16.437,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:38:16.437,2022-04-12 17:38:23.437,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:38:23.437,2022-04-12 17:38:57.437,,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:38:58.437,2022-04-12 17:39:34.437,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:39:35.437,2022-04-12 17:40:18.437,Cleaning,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:40:18.437,2022-04-12 17:41:11.425,,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:41:13.425,2022-04-12 17:41:29.425,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:41:30.425,2022-04-12 17:41:44.425,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:41:44.425,2022-04-12 17:44:30.412,Cleaning,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:44:31.412,2022-04-12 17:46:31.400,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:46:31.400,2022-04-12 17:46:52.400,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:46:54.400,2022-04-12 17:48:36.387,Cleaning,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:48:36.387,2022-04-12 17:49:57.387,,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:49:58.387,2022-04-12 17:50:17.387,,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:50:20.387,2022-04-12 17:52:27.375,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:52:30.375,2022-04-12 17:53:30.375,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:53:30.375,2022-04-12 17:53:40.375,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:53:41.375,2022-04-12 17:57:49.350,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:57:50.350,2022-04-12 17:58:04.350,Cleaning,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:58:08.350,2022-04-12 17:59:32.337,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 17:59:32.337,2022-04-12 18:00:54.337,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:00:54.337,2022-04-12 18:00:56.337,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:00:58.337,2022-04-12 18:01:13.337,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:01:16.337,2022-04-12 18:02:07.325,Meeting _Social_Gathering_In_Person/Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:02:07.325,2022-04-12 18:03:53.325,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:03:55.325,2022-04-12 18:04:32.312,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:04:32.312,2022-04-12 18:04:59.312,Meeting _Social_Gathering_In_Person/Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:05:01.312,2022-04-12 18:05:55.312,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:05:56.312,2022-04-12 18:06:26.312,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:06:28.312,2022-04-12 18:16:16.262,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:16:17.262,2022-04-12 18:16:51.262,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:16:51.262,2022-04-12 18:16:55.262,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:16:55.262,2022-04-12 18:17:39.250,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:17:39.250,2022-04-12 18:18:06.250,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:18:07.250,2022-04-12 18:18:27.250,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:18:29.250,2022-04-12 18:18:43.250,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:18:45.250,2022-04-12 18:19:22.250,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:19:24.250,2022-04-12 18:19:36.250,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:19:37.250,2022-04-12 18:20:00.250,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:20:02.250,2022-04-12 18:20:23.237,Meeting _Social_Gathering_In_Person/Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:20:24.237,2022-04-12 18:21:19.237,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:21:20.237,2022-04-12 18:21:41.237,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:21:43.237,2022-04-12 18:22:02.237,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:22:04.237,2022-04-12 18:22:48.237,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:22:48.237,2022-04-12 18:24:30.225,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:24:30.225,2022-04-12 18:24:58.225,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:24:58.225,2022-04-12 18:26:36.212,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:26:36.212,2022-04-12 18:26:58.212,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:26:59.212,2022-04-12 18:27:10.212,Meeting _Social_Gathering_In_Person/In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:27:11.212,2022-04-12 18:27:16.212,Meeting _Social_Gathering_In_Person/In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:27:17.212,2022-04-12 18:27:22.212,Meeting _Social_Gathering_In_Person/In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:27:23.212,2022-04-12 18:27:51.212,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:27:52.212,2022-04-12 18:28:01.212,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:28:02.212,2022-04-12 18:28:10.200,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:28:10.200,2022-04-12 18:28:41.200,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:28:41.200,2022-04-12 18:29:00.200,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:29:01.200,2022-04-12 18:29:35.200,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:29:36.200,2022-04-12 18:29:47.200,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:29:47.200,2022-04-12 18:30:10.200,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:30:13.200,2022-04-12 18:31:14.187,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:31:22.187,2022-04-12 18:31:35.187,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:31:39.187,2022-04-12 18:35:38.175,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:35:40.175,2022-04-12 18:36:20.162,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:36:22.162,2022-04-12 18:36:32.162,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:36:34.162,2022-04-12 18:36:38.162,Meeting _Social_Gathering_In_Person/In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:36:38.162,2022-04-12 18:36:50.162,Meeting _Social_Gathering_In_Person/In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:36:51.162,2022-04-12 18:37:05.162,Meeting _Social_Gathering_In_Person/In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:37:05.162,2022-04-12 18:37:19.162,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:37:20.162,2022-04-12 18:37:42.162,Meeting _Social_Gathering_In_Person/In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:37:42.162,2022-04-12 18:39:38.150,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:39:39.150,2022-04-12 18:40:10.150,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:40:12.150,2022-04-12 18:40:13.150,Meeting _Social_Gathering_In_Person/In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:40:14.150,2022-04-12 18:40:31.150,Meeting _Social_Gathering_In_Person/In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:40:31.150,2022-04-12 18:40:39.150,Meeting _Social_Gathering_In_Person/In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:40:40.150,2022-04-12 18:40:56.150,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:40:57.150,2022-04-12 18:41:35.137,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:41:36.137,2022-04-12 18:41:55.137,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:41:56.137,2022-04-12 18:42:33.137,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:42:34.137,2022-04-12 18:43:06.137,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:43:07.137,2022-04-12 18:43:28.137,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:43:32.137,2022-04-12 18:45:31.125,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:45:33.125,2022-04-12 18:45:56.125,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:45:58.125,2022-04-12 18:48:43.112,Meeting _Social_Gathering_In_Person/Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:48:44.112,2022-04-12 18:49:08.112,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:49:08.112,2022-04-12 18:49:19.100,Meeting _Social_Gathering_In_Person/In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:49:19.100,2022-04-12 18:51:10.100,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:51:11.100,2022-04-12 18:52:24.087,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:52:25.087,2022-04-12 18:53:14.087,,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:53:17.087,2022-04-12 18:56:06.075,Working_Other/Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:56:06.075,2022-04-12 18:56:27.075,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:56:27.075,2022-04-12 18:57:32.062,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 18:57:32.062,2022-04-12 19:01:35.050,Meeting _Social_Gathering_In_Person/Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 19:01:35.050,2022-04-12 19:02:09.050,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 19:02:09.050,2022-04-12 19:03:20.037,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 19:03:20.037,2022-04-12 19:17:45.975,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 19:17:45.975,2022-04-12 19:18:59.962,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 19:18:59.962,2022-04-12 19:20:03.962,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 19:20:03.962,2022-04-12 19:20:13.962,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 19:20:13.962,2022-04-12 19:21:02.950,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 19:21:02.950,2022-04-12 19:33:12.900,Meeting _Social_Gathering_In_Person/Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 19:33:12.900,2022-04-12 19:34:48.887,Meeting _Social_Gathering_In_Person/Cleaning,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 19:34:48.887,2022-04-12 19:38:13.875,Meeting _Social_Gathering_In_Person/Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 19:38:13.875,2022-04-12 19:38:27.875,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 19:38:27.875,2022-04-12 19:39:19.862,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 19:39:19.862,2022-04-12 19:39:30.862,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 19:39:30.862,2022-04-12 19:40:15.862,,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 19:40:15.862,2022-04-12 19:40:55.862,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 19:40:55.862,2022-04-12 19:41:22.862,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 19:41:22.862,2022-04-12 19:42:06.850,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 19:42:06.850,2022-04-12 19:42:11.850,,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 19:42:11.850,2022-04-12 19:43:44.850,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 19:43:44.850,2022-04-12 19:43:59.850,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 19:44:01.850,2022-04-12 19:44:41.837,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 19:44:41.837,2022-04-12 19:44:55.837,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 19:44:55.837,2022-04-12 19:45:02.837,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 19:45:02.837,2022-04-12 19:45:58.837,,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 19:46:00.837,2022-04-12 19:46:36.837,,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 19:46:36.837,2022-04-12 19:47:34.825,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 19:47:34.825,2022-04-12 19:49:00.825,,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 19:49:00.825,2022-04-12 19:49:07.825,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 19:49:07.825,2022-04-12 19:49:31.825,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 19:49:31.825,2022-04-12 19:50:03.812,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 19:50:03.812,2022-04-12 19:51:06.812,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 19:51:07.812,2022-04-12 19:51:56.812,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 19:51:56.812,2022-04-12 19:52:38.800,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 19:52:38.800,2022-04-12 19:53:40.800,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 19:53:40.800,2022-04-12 19:53:57.800,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 19:53:57.800,2022-04-12 19:55:59.787,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 19:55:59.787,2022-04-12 19:56:04.787,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 19:56:04.787,2022-04-12 19:56:23.787,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 19:56:23.787,2022-04-12 19:56:48.787,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 19:56:48.787,2022-04-12 20:03:30.750,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 20:03:30.750,2022-04-12 20:03:43.750,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 20:03:43.750,2022-04-12 20:04:22.750,,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 20:04:22.750,2022-04-12 20:06:26.737,,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 20:06:31.737,2022-04-12 20:07:12.737,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 20:07:12.737,2022-04-12 20:07:40.737,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 20:07:40.737,2022-04-12 20:13:32.712,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 20:13:32.712,2022-04-12 20:14:11.700,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 20:14:11.700,2022-04-12 20:14:51.700,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 20:14:51.700,2022-04-12 20:16:18.687,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 20:16:18.687,2022-04-12 20:17:47.687,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 20:17:47.687,2022-04-12 20:20:04.675,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 20:20:04.675,2022-04-12 20:20:50.675,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-04-12 20:20:50.675,2022-04-12 20:21:23.675,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
