START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-04-13 09:30:32.825,2022-04-13 09:30:43.825,Free_Living,annotator,Experimental situation
2022-04-13 09:30:43.825,2022-04-13 09:33:15.825,Free_Living,annotator,Experimental situation
2022-04-13 09:33:21.825,2022-04-13 09:39:47.825,Free_Living,annotator,Experimental situation
2022-04-13 09:39:51.825,2022-04-13 09:39:57.825,Free_Living,annotator,Experimental situation
2022-04-13 09:40:01.825,2022-04-13 09:46:25.825,Free_Living,annotator,Experimental situation
2022-04-13 09:46:29.825,2022-04-13 09:55:29.812,Free_Living,annotator,Experimental situation
2022-04-13 09:55:33.812,2022-04-13 09:57:51.812,Free_Living,annotator,Experimental situation
2022-04-13 09:57:58.812,2022-04-13 09:58:51.812,Free_Living,annotator,Experimental situation
2022-04-13 09:58:59.812,2022-04-13 10:04:55.812,Free_Living,annotator,Experimental situation
2022-04-13 10:05:00.812,2022-04-13 10:08:19.812,Free_Living,annotator,Experimental situation
2022-04-13 10:08:24.812,2022-04-13 10:08:42.812,Free_Living,annotator,Experimental situation
2022-04-13 10:08:48.812,2022-04-13 10:09:21.812,Free_Living,annotator,Experimental situation
2022-04-13 10:09:23.812,2022-04-13 10:10:36.812,Free_Living,annotator,Experimental situation
2022-04-13 10:10:40.812,2022-04-13 10:10:50.812,Free_Living,annotator,Experimental situation
2022-04-13 10:10:53.812,2022-04-13 10:11:38.812,Free_Living,annotator,Experimental situation
2022-04-13 10:11:42.812,2022-04-13 10:12:24.812,Free_Living,annotator,Experimental situation
2022-04-13 10:12:30.812,2022-04-13 10:12:57.812,Free_Living,annotator,Experimental situation
2022-04-13 10:13:02.812,2022-04-13 10:13:50.812,Free_Living,annotator,Experimental situation
2022-04-13 10:13:55.812,2022-04-13 10:16:44.812,Free_Living,annotator,Experimental situation
2022-04-13 10:16:49.812,2022-04-13 10:17:43.812,Free_Living,annotator,Experimental situation
2022-04-13 10:17:46.812,2022-04-13 10:17:59.812,Free_Living,annotator,Experimental situation
2022-04-13 10:18:03.812,2022-04-13 10:18:53.812,Free_Living,annotator,Experimental situation
2022-04-13 10:18:59.812,2022-04-13 10:19:42.812,Free_Living,annotator,Experimental situation
2022-04-13 10:19:44.812,2022-04-13 10:20:13.812,Free_Living,annotator,Experimental situation
2022-04-13 10:20:14.812,2022-04-13 10:26:29.812,Free_Living,annotator,Experimental situation
