START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-04-17 13:12:08.725,2022-04-17 13:12:22.737,HLB_Unlabeled,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 13:12:22.737,2022-04-17 13:14:28.737,HLB_Indecipherable/Video_Insufficient,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 13:14:28.737,2022-04-17 13:14:37.737,HLB_Unlabeled,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 13:14:37.737,2022-04-17 13:14:58.737,Grooming/Self_Care,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 13:14:58.737,2022-04-17 13:17:42.750,Grooming/Self_Care,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 13:17:42.750,2022-04-17 13:18:10.750,HLB_Unlabeled,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 13:18:10.750,2022-04-17 13:18:19.750,HLB_Unlabeled,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 13:18:19.750,2022-04-17 13:18:32.750,HLB_Unlabeled,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 13:18:32.750,2022-04-17 13:21:19.762,HLB_Unlabeled,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 13:21:19.762,2022-04-17 13:22:11.775,HLB_Unlabeled,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 13:22:11.775,2022-04-17 13:22:30.775,Dressing/Undressing,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 13:22:30.775,2022-04-17 13:23:08.775,In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 13:23:08.775,2022-04-17 13:23:33.775,Cooking/Prepping_Food,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 13:23:33.775,2022-04-17 13:23:50.775,In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 13:23:50.775,2022-04-17 13:24:16.775,In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 13:24:16.775,2022-04-17 13:24:24.775,In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 13:24:24.775,2022-04-17 13:29:36.800,In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 13:29:36.800,2022-04-17 13:29:53.800,HLB_Unlabeled,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 13:29:53.800,2022-04-17 13:32:13.812,In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 13:32:13.812,2022-04-17 13:32:26.812,In_Transit_Active/Riding_Escalator_Up,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 13:32:26.812,2022-04-17 13:32:41.812,In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 13:32:41.812,2022-04-17 13:33:17.812,HLB_Unlabeled,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 13:33:17.812,2022-04-17 13:33:54.812,In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 13:33:54.812,2022-04-17 13:34:03.812,In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 13:34:03.812,2022-04-17 13:34:23.812,In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 13:34:23.812,2022-04-17 13:34:34.812,In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 13:34:34.812,2022-04-17 13:48:36.875,Meeting_Formal_Gathering_In_Person,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 13:48:36.875,2022-04-17 13:48:52.875,Meeting_Formal_Gathering_In_Person/In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 13:48:52.875,2022-04-17 13:58:03.900,In_Transit_Passive_Train/Bus/Plane,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 13:58:03.900,2022-04-17 13:58:54.912,In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 13:58:54.912,2022-04-17 13:59:14.912,In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 13:59:14.912,2022-04-17 14:00:09.912,In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 14:00:09.912,2022-04-17 14:05:01.925,Meeting _Social_Gathering_In_Person,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 14:05:01.925,2022-04-17 14:05:26.937,Meeting _Social_Gathering_In_Person/In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 14:05:26.937,2022-04-17 14:12:33.962,Meeting _Social_Gathering_In_Person/In_Transit_Passive_Train/Bus/Plane,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 14:12:33.962,2022-04-17 14:12:53.962,Meeting _Social_Gathering_In_Person/In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 14:12:53.962,2022-04-17 14:13:16.962,Meeting _Social_Gathering_In_Person/In_Transit_Active/Riding_Escalator_Up,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 14:13:16.962,2022-04-17 14:14:31.962,Meeting _Social_Gathering_In_Person/In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 14:14:31.962,2022-04-17 14:15:40.975,Meeting _Social_Gathering_In_Person/In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 14:15:40.975,2022-04-17 14:22:38.000,Meeting _Social_Gathering_In_Person/In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 14:22:38.000,2022-04-17 14:56:21.125,Meeting _Social_Gathering_In_Person/Shopping_Non-Grocery,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 14:56:21.125,2022-04-17 14:56:45.125,Shopping_Non-Grocery/Dressing/Undressing,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 14:56:45.125,2022-04-17 14:57:13.125,Shopping_Non-Grocery,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 14:57:13.125,2022-04-17 15:04:12.150,Shopping_Non-Grocery,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 15:04:12.150,2022-04-17 15:10:23.175,Shopping_Non-Grocery/Meeting _Social_Gathering_In_Person,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 15:10:23.175,2022-04-17 15:11:06.175,Shopping_Non-Grocery/Meeting _Social_Gathering_In_Person,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 15:11:06.175,2022-04-17 15:11:31.187,Meeting _Social_Gathering_In_Person/In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 15:11:31.187,2022-04-17 15:16:59.200,Meeting _Social_Gathering_In_Person/In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 15:16:59.200,2022-04-17 15:17:21.200,Meeting _Social_Gathering_In_Person/In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 15:17:21.200,2022-04-17 15:20:30.212,Meeting _Social_Gathering_In_Person,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 15:20:30.212,2022-04-17 15:21:31.225,Meeting _Social_Gathering_In_Person,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 15:21:31.225,2022-04-17 15:22:09.225,Meeting _Social_Gathering_In_Person/In_Transit_Active,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 15:22:09.225,2022-04-17 15:23:36.225,Meeting _Social_Gathering_In_Person/Eating/Dining,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 15:23:36.225,2022-04-17 15:25:46.237,Meeting _Social_Gathering_In_Person/Eating/Dining,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 15:25:46.237,2022-04-17 15:26:00.237,Meeting _Social_Gathering_In_Person/Eating/Dining,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 15:26:00.237,2022-04-17 15:26:29.237,Meeting _Social_Gathering_In_Person/Eating/Dining,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 15:26:29.237,2022-04-17 15:27:03.237,Meeting _Social_Gathering_In_Person/Eating/Dining,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 15:27:03.237,2022-04-17 15:28:36.250,Meeting _Social_Gathering_In_Person/Eating/Dining,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 15:28:36.250,2022-04-17 15:29:51.250,Meeting _Social_Gathering_In_Person/Eating/Dining,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 15:29:51.250,2022-04-17 15:30:20.250,Meeting _Social_Gathering_In_Person/Eating/Dining,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 15:30:20.250,2022-04-17 15:31:15.262,Meeting _Social_Gathering_In_Person/Eating/Dining,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 15:31:15.262,2022-04-17 15:32:10.262,Meeting _Social_Gathering_In_Person/Eating/Dining,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 15:32:10.262,2022-04-17 15:33:22.262,Meeting _Social_Gathering_In_Person/Eating/Dining,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 15:33:22.262,2022-04-17 15:34:36.275,Meeting _Social_Gathering_In_Person/Eating/Dining,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 15:34:36.275,2022-04-17 15:34:55.275,Meeting _Social_Gathering_In_Person/Eating/Dining,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 15:34:55.275,2022-04-17 15:35:18.275,Meeting _Social_Gathering_In_Person/Eating/Dining,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 15:35:18.275,2022-04-17 15:35:27.275,Meeting _Social_Gathering_In_Person/Eating/Dining,Expert,HIGH LEVEL BEHAVIOR
2022-04-17 15:35:27.275,2022-04-17 15:38:08.287,Meeting _Social_Gathering_In_Person/Eating/Dining,Expert,HIGH LEVEL BEHAVIOR
