START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-04-12 20:19:09.937,2022-04-12 20:19:41.062,Located_Indoors,annotator,Behavioral Parameters
2022-04-12 20:19:41.062,2022-04-12 20:20:21.212,CP_Other,annotator,Behavioral Parameters
2022-04-12 20:20:21.212,2022-04-12 20:21:39.512,Located_Indoors/In_Conversation,annotator,Behavioral Parameters
2022-04-12 20:21:39.512,2022-04-12 21:08:12.300,CP_Other,annotator,Behavioral Parameters
2022-04-12 21:08:12.300,2022-04-12 21:11:11.000,Located_Indoors/Legs_Crossed,annotator,Behavioral Parameters
2022-04-12 21:11:11.000,2022-04-12 21:11:46.125,Located_Indoors,annotator,Behavioral Parameters
2022-04-12 21:11:46.125,2022-04-12 21:12:57.400,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-04-12 21:12:57.400,2022-04-12 21:13:12.462,Located_Indoors,annotator,Behavioral Parameters
2022-04-12 21:13:12.462,2022-04-12 21:13:31.537,Located_Indoors,annotator,Behavioral Parameters
2022-04-12 21:13:44.587,2022-04-12 21:14:03.662,Located_Indoors/Holding_Bag/BriefCase_Hand_Light,annotator,Behavioral Parameters
2022-04-12 21:14:03.662,2022-04-12 21:14:22.737,Located_Indoors,annotator,Behavioral Parameters
2022-04-12 21:14:22.737,2022-04-12 21:20:05.062,Located_Indoors/On_Video_Call/FaceTime/Holding_Other_Object_Light/In_Conversation,annotator,Behavioral Parameters
2022-04-12 21:20:05.062,2022-04-12 21:21:29.387,Located_Indoors,annotator,Behavioral Parameters
2022-04-12 21:21:29.387,2022-04-12 21:23:14.787,Located_Indoors/On_Video_Call/FaceTime,annotator,Behavioral Parameters
2022-04-12 21:23:14.787,2022-04-12 21:25:32.325,Located_Indoors/On_Video_Call/FaceTime,annotator,Behavioral Parameters
2022-04-12 21:25:32.325,2022-04-12 21:28:18.962,Located_Indoors,annotator,Behavioral Parameters
2022-04-12 21:28:18.962,2022-04-12 21:34:35.425,Located_Indoors/Holding_Other_Object_Light/Texting/Browsing_Phone/On_Video_Call/FaceTime,annotator,Behavioral Parameters
2022-04-12 21:34:35.425,2022-04-12 21:35:07.537,Located_Indoors,annotator,Behavioral Parameters
2022-04-12 21:35:07.537,2022-04-12 21:36:14.800,Located_Indoors,annotator,Behavioral Parameters
2022-04-12 21:36:14.800,2022-04-12 21:37:56.200,Located_Indoors,annotator,Behavioral Parameters
2022-04-12 21:37:56.200,2022-04-12 21:38:42.375,Located_Indoors,annotator,Behavioral Parameters
2022-04-12 21:38:42.375,2022-04-12 21:39:33.575,Located_Indoors,annotator,Behavioral Parameters
2022-04-12 21:39:33.575,2022-04-12 21:42:51.337,Located_Outdoors,annotator,Behavioral Parameters
2022-04-12 21:42:51.337,2022-04-12 21:43:14.425,Located_Outdoors,annotator,Behavioral Parameters
2022-04-12 21:43:14.425,2022-04-12 21:44:59.825,Located_Outdoors,annotator,Behavioral Parameters
2022-04-12 21:44:59.825,2022-04-12 21:45:18.900,Located_Outdoors,annotator,Behavioral Parameters
2022-04-12 21:45:18.900,2022-04-12 21:45:39.987,Located_Outdoors,annotator,Behavioral Parameters
2022-04-12 21:45:39.987,2022-04-12 21:46:05.087,Located_Indoors,annotator,Behavioral Parameters
