START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-04-15 10:01:22.425,2022-04-15 10:01:51.425,Free_Living,annotator,Experimental situation
2022-04-15 10:01:22.425,2022-04-15 15:05:53.950,ES_Other,annotator,Experimental situation
2022-04-15 10:01:52.425,2022-04-15 10:01:55.425,Free_Living,annotator,Experimental situation
2022-04-15 10:01:55.425,2022-04-15 10:03:36.412,Free_Living,annotator,Experimental situation
2022-04-15 10:03:37.412,2022-04-15 10:03:42.412,Free_Living,annotator,Experimental situation
2022-04-15 10:03:42.412,2022-04-15 10:03:58.412,Free_Living,annotator,Experimental situation
2022-04-15 10:03:58.412,2022-04-15 10:05:14.400,Free_Living,annotator,Experimental situation
2022-04-15 10:05:17.400,2022-04-15 10:06:22.387,Free_Living,annotator,Experimental situation
2022-04-15 10:06:23.387,2022-04-15 10:06:36.387,Free_Living,annotator,Experimental situation
2022-04-15 10:06:36.387,2022-04-15 10:07:53.375,Free_Living,annotator,Experimental situation
2022-04-15 10:07:54.375,2022-04-15 10:09:16.362,Free_Living,annotator,Experimental situation
2022-04-15 10:09:17.362,2022-04-15 10:09:52.362,Free_Living,annotator,Experimental situation
2022-04-15 10:09:54.362,2022-04-15 10:10:01.362,Free_Living,annotator,Experimental situation
2022-04-15 10:10:05.362,2022-04-15 10:10:32.362,Free_Living,annotator,Experimental situation
2022-04-15 10:10:32.362,2022-04-15 10:10:46.350,Free_Living,annotator,Experimental situation
2022-04-15 10:10:46.350,2022-04-15 10:13:11.337,Free_Living,annotator,Experimental situation
2022-04-15 10:13:12.337,2022-04-15 10:13:53.325,Free_Living,annotator,Experimental situation
2022-04-15 10:13:53.325,2022-04-15 10:14:16.325,Free_Living,annotator,Experimental situation
2022-04-15 10:14:16.325,2022-04-15 10:14:27.325,Free_Living,annotator,Experimental situation
2022-04-15 10:14:27.325,2022-04-15 10:14:47.325,Free_Living,annotator,Experimental situation
2022-04-15 10:14:47.325,2022-04-15 10:15:13.312,Free_Living,annotator,Experimental situation
2022-04-15 10:15:14.312,2022-04-15 10:15:29.312,Free_Living,annotator,Experimental situation
2022-04-15 10:15:30.312,2022-04-15 10:15:54.312,Free_Living,annotator,Experimental situation
2022-04-15 10:15:54.312,2022-04-15 10:16:19.312,Free_Living,annotator,Experimental situation
2022-04-15 10:16:20.312,2022-04-15 10:16:37.312,Free_Living,annotator,Experimental situation
2022-04-15 10:16:37.312,2022-04-15 10:17:31.300,Free_Living,annotator,Experimental situation
2022-04-15 10:17:32.300,2022-04-15 10:18:46.287,Free_Living,annotator,Experimental situation
2022-04-15 10:18:47.287,2022-04-15 10:19:36.287,Free_Living,annotator,Experimental situation
2022-04-15 10:19:46.275,2022-04-15 10:19:52.275,Free_Living,annotator,Experimental situation
2022-04-15 10:19:54.275,2022-04-15 10:20:18.275,Free_Living,annotator,Experimental situation
2022-04-15 10:20:22.275,2022-04-15 10:25:19.237,Free_Living,annotator,Experimental situation
2022-04-15 10:25:20.237,2022-04-15 10:29:08.200,Free_Living,annotator,Experimental situation
2022-04-15 10:29:10.200,2022-04-15 10:29:31.200,Free_Living,annotator,Experimental situation
2022-04-15 10:29:37.200,2022-04-15 10:29:47.200,Free_Living,annotator,Experimental situation
2022-04-15 10:29:48.200,2022-04-15 10:30:02.200,Free_Living,annotator,Experimental situation
2022-04-15 10:30:02.200,2022-04-15 10:40:32.112,Free_Living,annotator,Experimental situation
2022-04-15 10:40:32.112,2022-04-15 10:40:37.112,Free_Living,annotator,Experimental situation
2022-04-15 10:40:42.112,2022-04-15 10:44:10.087,Free_Living,annotator,Experimental situation
2022-04-15 10:44:12.087,2022-04-15 10:45:13.075,Free_Living,annotator,Experimental situation
2022-04-15 10:45:19.075,2022-04-15 10:45:35.075,Free_Living,annotator,Experimental situation
