START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-04-16 22:41:31.225,2022-04-16 22:44:17.200,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 22:44:18.200,2022-04-16 22:47:32.175,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 22:47:33.175,2022-04-16 22:47:51.175,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 22:47:52.175,2022-04-16 22:48:03.175,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 22:48:03.175,2022-04-16 22:48:21.162,Meeting _Social_Gathering_In_Person/Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 22:48:21.162,2022-04-16 22:49:46.150,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 22:49:47.150,2022-04-16 22:50:57.150,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 22:50:57.150,2022-04-16 22:54:00.112,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 22:54:00.112,2022-04-16 22:57:05.087,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 22:57:05.087,2022-04-16 23:00:13.062,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 23:00:13.062,2022-04-16 23:00:38.062,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 23:00:38.062,2022-04-16 23:02:05.050,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 23:02:05.050,2022-04-16 23:03:18.037,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 23:03:18.037,2022-04-16 23:04:22.025,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 23:04:22.025,2022-04-16 23:07:30.000,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 23:07:31.000,2022-04-16 23:08:13.000,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 23:08:15.000,2022-04-16 23:12:20.962,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-16 23:12:22.962,2022-04-16 23:12:37.962,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
