START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-04-19 08:18:18.400,2022-04-19 08:23:54.412,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-04-19 08:23:54.412,2022-04-19 08:26:17.412,Located_Indoors/BP_VideoUnavailable/Indecipherable,annotator,Behavioral Parameters
2022-04-19 08:26:17.412,2022-04-19 08:27:09.412,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-04-19 08:27:09.412,2022-04-19 08:28:11.412,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-04-19 08:28:11.412,2022-04-19 08:29:03.412,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-04-19 08:29:03.412,2022-04-19 08:29:34.412,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-04-19 08:29:35.412,2022-04-19 08:29:59.412,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-04-19 08:30:00.412,2022-04-19 08:31:51.425,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-04-19 08:31:51.425,2022-04-19 08:32:33.425,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-04-19 08:32:33.425,2022-04-19 08:33:26.425,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-04-19 08:33:26.425,2022-04-19 08:40:57.437,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-04-19 08:40:57.437,2022-04-19 08:41:32.437,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-04-19 08:41:32.437,2022-04-19 08:41:36.437,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-04-19 08:41:36.437,2022-04-19 08:41:51.437,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-04-19 08:41:51.437,2022-04-19 08:42:47.450,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-04-19 08:42:47.450,2022-04-19 08:51:24.462,Located_Indoors/Browsing_Computer,annotator,Behavioral Parameters
2022-04-19 08:51:24.462,2022-04-19 08:53:56.462,Located_Indoors/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-04-19 08:51:24.462,2022-04-19 08:51:24.462,Located_Indoors/Browsing_Computer,annotator,Behavioral Parameters
2022-04-19 08:53:56.462,2022-04-19 08:59:22.475,Located_Indoors/Holding_Other_Object_Light/Browsing_Computer,annotator,Behavioral Parameters
2022-04-19 08:59:22.475,2022-04-19 09:01:04.475,Located_Indoors/Holding_Other_Object_Light/Browsing_Computer,annotator,Behavioral Parameters
2022-04-19 09:01:04.475,2022-04-19 09:01:55.487,Located_Indoors/Holding_Other_Object_Light/Browsing_Computer,annotator,Behavioral Parameters
2022-04-19 09:01:59.487,2022-04-19 09:03:20.487,Located_Indoors/Holding_Other_Object_Light/Browsing_Computer,annotator,Behavioral Parameters
2022-04-19 09:03:20.487,2022-04-19 09:04:55.487,Located_Indoors/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-04-19 09:04:55.487,2022-04-19 09:07:13.487,Located_Indoors/Browsing_Computer,annotator,Behavioral Parameters
