START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-04-19 15:39:57.775,2022-04-19 15:42:46.725,Sitting_With_Movement,Expert,PA TYPE
2022-04-19 15:42:46.725,2022-04-19 15:43:49.712,Standing_With_Movement,Expert,PA TYPE
2022-04-19 15:43:49.712,2022-04-19 15:48:18.637,PA_Type_VideoUnavailable/Indecipherable,Expert,PA TYPE
2022-04-19 15:48:18.637,2022-04-19 15:51:07.587,Standing_With_Movement,Expert,PA TYPE
2022-04-19 15:51:07.587,2022-04-19 15:51:56.575,Standing_With_Movement,Expert,PA TYPE
2022-04-19 15:51:56.575,2022-04-19 15:52:12.575,Walking,Expert,PA TYPE
2022-04-19 15:52:12.575,2022-04-19 15:52:21.562,Standing_With_Movement,Expert,PA TYPE
2022-04-19 15:52:21.562,2022-04-19 15:52:29.562,Puttering_Around,Expert,PA TYPE
2022-04-19 15:52:29.562,2022-04-19 15:52:45.562,Standing_With_Movement,Expert,PA TYPE
2022-04-19 15:52:45.562,2022-04-19 15:52:59.562,Walking,Expert,PA TYPE
2022-04-19 15:52:59.562,2022-04-19 15:58:00.475,Walking,Expert,PA TYPE
2022-04-19 15:58:00.475,2022-04-19 15:58:07.475,Walking_Up_Stairs,Expert,PA TYPE
2022-04-19 15:58:07.475,2022-04-19 15:58:37.462,Walking,Expert,PA TYPE
2022-04-19 15:58:37.462,2022-04-19 15:58:54.462,Standing_With_Movement,Expert,PA TYPE
2022-04-19 15:58:54.462,2022-04-19 15:59:02.450,Puttering_Around,Expert,PA TYPE
2022-04-19 15:59:02.450,2022-04-19 15:59:31.450,Standing_With_Movement,Expert,PA TYPE
2022-04-19 15:59:31.450,2022-04-19 15:59:57.437,Walking,Expert,PA TYPE
2022-04-19 15:59:57.437,2022-04-19 16:02:09.400,Puttering_Around,Expert,PA TYPE
2022-04-19 16:02:09.400,2022-04-19 16:03:29.375,Standing_With_Movement,Expert,PA TYPE
2022-04-19 16:03:29.375,2022-04-19 16:06:04.337,Puttering_Around,Expert,PA TYPE
2022-04-19 16:06:04.337,2022-04-19 16:07:27.312,Standing_With_Movement,Expert,PA TYPE
2022-04-19 16:07:27.312,2022-04-19 16:38:01.800,PA_Type_VideoUnavailable/Indecipherable,Expert,PA TYPE
2022-04-19 16:38:01.800,2022-04-19 16:39:05.775,Standing_With_Movement,Expert,PA TYPE
2022-04-19 16:39:05.775,2022-04-19 16:39:45.762,Puttering_Around,Expert,PA TYPE
2022-04-19 16:39:45.762,2022-04-19 16:40:09.762,Sitting_With_Movement,Expert,PA TYPE
2022-04-19 16:40:09.762,2022-04-19 16:42:01.725,Puttering_Around,Expert,PA TYPE
2022-04-19 16:42:01.725,2022-04-19 16:43:25.700,Applying_Makeup,Expert,PA TYPE
2022-04-19 16:43:25.700,2022-04-19 16:43:34.700,Walking,Expert,PA TYPE
2022-04-19 16:43:34.700,2022-04-19 16:44:09.687,Applying_Makeup,Expert,PA TYPE
