START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-04-21 09:58:11.650,2022-04-21 09:59:03.650,,annotator,HIGH LEVEL BEHAVIOR
2022-04-21 09:59:03.650,2022-04-21 09:59:16.650,,annotator,HIGH LEVEL BEHAVIOR
2022-04-21 09:59:16.650,2022-04-21 10:01:09.650,Cooking/Prepping_Food,annotator,HIGH LEVEL BEHAVIOR
2022-04-21 10:01:09.650,2022-04-21 10:12:12.637,Using_Computer/Screen/Eating/Dining,annotator,HIGH LEVEL BEHAVIOR
2022-04-21 10:12:12.637,2022-04-21 10:12:45.637,,annotator,HIGH LEVEL BEHAVIOR
2022-04-21 10:12:45.637,2022-04-21 10:14:13.637,Grooming/Self_Care,annotator,HIGH LEVEL BEHAVIOR
2022-04-21 10:14:13.637,2022-04-21 10:15:35.637,,annotator,HIGH LEVEL BEHAVIOR
2022-04-21 10:15:35.637,2022-04-21 10:16:43.637,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR
2022-04-21 10:16:43.637,2022-04-21 10:17:34.637,,annotator,HIGH LEVEL BEHAVIOR
2022-04-21 10:17:34.637,2022-04-21 10:18:02.637,,annotator,HIGH LEVEL BEHAVIOR
2022-04-21 10:18:05.637,2022-04-21 10:18:11.637,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-04-21 10:18:11.637,2022-04-21 10:18:24.637,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-21 10:18:24.637,2022-04-21 10:18:40.637,,annotator,HIGH LEVEL BEHAVIOR
2022-04-21 10:18:40.637,2022-04-21 10:19:17.625,Riding_Elevator_Down,annotator,HIGH LEVEL BEHAVIOR
2022-04-21 10:19:17.625,2022-04-21 10:19:33.625,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-21 10:19:33.625,2022-04-21 10:19:38.625,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-21 10:19:38.625,2022-04-21 10:25:08.625,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-21 10:25:08.625,2022-04-21 10:25:39.625,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-21 10:25:39.625,2022-04-21 10:26:01.625,Meeting _Social_Gathering_In_Person/Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR
2022-04-21 10:26:01.625,2022-04-21 10:30:05.625,Meeting _Social_Gathering_In_Person/Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
