START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-04-23 11:01:25.887,2022-04-23 11:01:41.887,Free_Living,annotator,Experimental situation
2022-04-23 11:01:43.887,2022-04-23 11:02:14.887,Free_Living,annotator,Experimental situation
2022-04-23 11:02:15.887,2022-04-23 11:10:21.875,Free_Living,annotator,Experimental situation
2022-04-23 11:10:30.875,2022-04-23 11:11:00.875,Free_Living,annotator,Experimental situation
2022-04-23 11:11:02.875,2022-04-23 11:17:51.862,Free_Living,annotator,Experimental situation
2022-04-23 11:18:00.862,2022-04-23 11:18:30.862,Free_Living,annotator,Experimental situation
2022-04-23 11:18:37.862,2022-04-23 11:25:45.850,Free_Living,annotator,Experimental situation
2022-04-23 11:25:49.850,2022-04-23 11:28:09.850,Free_Living,annotator,Experimental situation
2022-04-23 11:28:13.850,2022-04-23 11:31:15.850,Free_Living,annotator,Experimental situation
2022-04-23 11:31:21.850,2022-04-23 11:32:04.850,Free_Living,annotator,Experimental situation
2022-04-23 11:32:09.850,2022-04-23 11:32:23.850,Free_Living,annotator,Experimental situation
2022-04-23 11:32:26.850,2022-04-23 11:33:56.837,Free_Living,annotator,Experimental situation
2022-04-23 11:33:58.837,2022-04-23 11:34:37.837,Free_Living,annotator,Experimental situation
2022-04-23 11:34:45.837,2022-04-23 11:36:17.837,Free_Living,annotator,Experimental situation
2022-04-23 11:36:19.837,2022-04-23 11:38:30.837,Free_Living,annotator,Experimental situation
2022-04-23 11:38:34.837,2022-04-23 11:39:47.837,Free_Living,annotator,Experimental situation
2022-04-23 11:39:55.837,2022-04-23 11:45:30.825,Free_Living,annotator,Experimental situation
2022-04-23 11:45:35.825,2022-04-23 11:45:56.825,Free_Living,annotator,Experimental situation
2022-04-23 11:46:00.825,2022-04-23 11:46:30.825,Free_Living,annotator,Experimental situation
2022-04-23 11:46:39.825,2022-04-23 11:47:03.825,Free_Living,annotator,Experimental situation
2022-04-23 11:47:05.825,2022-04-23 11:47:16.825,Free_Living,annotator,Experimental situation
2022-04-23 11:47:17.825,2022-04-23 11:47:39.825,Free_Living,annotator,Experimental situation
2022-04-23 11:47:40.825,2022-04-23 11:48:11.825,Free_Living,annotator,Experimental situation
2022-04-23 11:48:14.825,2022-04-23 11:48:30.825,Free_Living,annotator,Experimental situation
2022-04-23 11:48:31.825,2022-04-23 11:49:23.825,Free_Living,annotator,Experimental situation
2022-04-23 11:49:29.825,2022-04-23 11:51:00.812,Free_Living,annotator,Experimental situation
2022-04-23 11:51:01.812,2022-04-23 11:52:22.812,Free_Living,annotator,Experimental situation
2022-04-23 11:52:28.812,2022-04-23 12:01:09.800,Free_Living,annotator,Experimental situation
2022-04-23 12:01:20.800,2022-04-23 12:02:18.800,Free_Living,annotator,Experimental situation
