START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-04-26 11:36:57.950,2022-04-26 11:37:39.600,Puttering_Around,annotator,PA TYPE
2022-04-26 11:37:39.600,2022-04-26 11:38:04.600,Standing_With_Movement,annotator,PA TYPE
2022-04-26 11:38:04.600,2022-04-26 11:38:12.587,Walking,annotator,PA TYPE
2022-04-26 11:38:12.587,2022-04-26 11:38:46.575,Standing_With_Movement,annotator,PA TYPE
2022-04-26 11:38:46.575,2022-04-26 11:39:23.562,Puttering_Around,annotator,PA TYPE
2022-04-26 11:39:23.562,2022-04-26 11:41:22.512,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE
2022-04-26 11:41:22.512,2022-04-26 11:45:23.425,Puttering_Around,annotator,PA TYPE
2022-04-26 11:45:23.425,2022-04-26 11:45:43.412,Standing_With_Movement,annotator,PA TYPE
2022-04-26 11:45:43.412,2022-04-26 11:45:48.412,Puttering_Around,annotator,PA TYPE
2022-04-26 11:45:48.412,2022-04-26 11:45:55.412,Standing_With_Movement,annotator,PA TYPE
2022-04-26 11:45:55.412,2022-04-26 11:46:00.412,Standing_With_Movement,annotator,PA TYPE
2022-04-26 11:46:00.412,2022-04-26 11:46:12.400,Standing_With_Movement,annotator,PA TYPE
2022-04-26 11:46:13.400,2022-04-26 11:47:02.387,Puttering_Around,annotator,PA TYPE
2022-04-26 11:47:02.387,2022-04-26 11:47:19.375,Walking,annotator,PA TYPE
2022-04-26 11:47:19.375,2022-04-26 11:47:44.362,Standing_With_Movement,annotator,PA TYPE
2022-04-26 11:47:44.362,2022-04-26 11:47:51.362,Walking,annotator,PA TYPE
2022-04-26 11:47:51.362,2022-04-26 11:48:25.350,Standing_With_Movement,annotator,PA TYPE
2022-04-26 11:48:25.350,2022-04-26 11:48:42.337,Walking,annotator,PA TYPE
2022-04-26 11:48:42.337,2022-04-26 11:48:46.337,Walking_Down_Stairs,annotator,PA TYPE
2022-04-26 11:48:46.337,2022-04-26 11:55:12.187,Walking,annotator,PA TYPE
2022-04-26 11:55:12.187,2022-04-26 11:55:38.175,Walking,annotator,PA TYPE
2022-04-26 11:55:38.175,2022-04-26 11:56:18.162,Standing_With_Movement,annotator,PA TYPE
2022-04-26 11:56:18.162,2022-04-26 11:56:54.150,Standing_With_Movement,annotator,PA TYPE
2022-04-26 11:56:54.150,2022-04-26 11:57:31.137,Walking,annotator,PA TYPE
2022-04-26 11:57:31.137,2022-04-26 11:58:09.112,Standing_With_Movement,annotator,PA TYPE
2022-04-26 11:58:09.112,2022-04-26 11:58:18.112,Standing_With_Movement,annotator,PA TYPE
2022-04-26 11:58:18.112,2022-04-26 12:00:37.062,Standing_With_Movement,annotator,PA TYPE
2022-04-26 12:00:37.062,2022-04-26 12:01:27.037,Puttering_Around,annotator,PA TYPE
2022-04-26 12:01:27.037,2022-04-26 12:01:52.025,Standing_With_Movement,annotator,PA TYPE
