START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-04-19 20:06:09.075,2022-04-19 20:08:46.100,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE
2022-04-19 20:08:46.100,2022-04-19 20:10:21.125,Sitting_With_Movement,annotator,PA TYPE
2022-04-19 20:10:21.125,2022-04-19 20:11:09.125,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE
2022-04-19 20:11:09.125,2022-04-19 20:48:17.500,Sitting_With_Movement,annotator,PA TYPE
2022-04-19 20:48:17.500,2022-04-19 20:49:13.512,Puttering_Around,annotator,PA TYPE
2022-04-19 20:49:13.512,2022-04-19 20:49:41.512,Standing_With_Movement,annotator,PA TYPE
2022-04-19 20:49:41.512,2022-04-19 20:50:27.525,Standing_With_Movement,annotator,PA TYPE
2022-04-19 20:50:27.525,2022-04-19 20:51:03.525,Standing_With_Movement,annotator,PA TYPE
2022-04-19 20:51:03.525,2022-04-19 20:51:22.537,Walking,annotator,PA TYPE
2022-04-19 20:51:22.537,2022-04-19 20:51:31.537,Standing_With_Movement,annotator,PA TYPE
2022-04-19 20:51:31.537,2022-04-19 20:51:36.537,Puttering_Around,annotator,PA TYPE
2022-04-19 20:51:36.537,2022-04-19 20:51:57.537,Standing_With_Movement,annotator,PA TYPE
2022-04-19 20:51:57.537,2022-04-19 20:52:17.537,Walking,annotator,PA TYPE
2022-04-19 20:52:17.537,2022-04-19 20:58:52.612,Walking,annotator,PA TYPE
2022-04-19 20:58:52.612,2022-04-19 20:59:10.612,Walking,annotator,PA TYPE
2022-04-19 20:59:10.612,2022-04-19 20:59:27.612,Standing_With_Movement,annotator,PA TYPE
2022-04-19 20:59:27.612,2022-04-19 20:59:58.625,Standing_With_Movement,annotator,PA TYPE
2022-04-19 20:59:58.625,2022-04-19 21:00:55.625,Walking,annotator,PA TYPE
2022-04-19 21:00:55.625,2022-04-19 21:02:21.637,Standing_With_Movement,annotator,PA TYPE
2022-04-19 21:02:21.637,2022-04-19 21:02:52.650,Puttering_Around,annotator,PA TYPE
2022-04-19 21:02:52.650,2022-04-19 21:06:14.687,Standing_With_Movement,annotator,PA TYPE
2022-04-19 21:06:14.687,2022-04-19 21:07:13.687,Standing_With_Movement,annotator,PA TYPE
2022-04-19 21:07:13.687,2022-04-19 21:15:34.775,Standing_With_Movement,annotator,PA TYPE
2022-04-19 21:15:34.775,2022-04-19 21:16:08.787,Standing_With_Movement,annotator,PA TYPE
2022-04-19 21:16:08.787,2022-04-19 21:21:37.837,Standing_With_Movement,annotator,PA TYPE
2022-04-19 21:21:37.837,2022-04-19 21:21:55.837,Puttering_Around,annotator,PA TYPE
2022-04-19 21:21:55.837,2022-04-19 21:27:14.887,Sitting_With_Movement,annotator,PA TYPE
2022-04-19 21:27:14.887,2022-04-19 21:30:26.925,Sitting_With_Movement,annotator,PA TYPE
2022-04-19 21:30:26.925,2022-04-19 21:30:57.925,Sitting_With_Movement,annotator,PA TYPE
2022-04-19 21:30:57.925,2022-04-19 21:32:33.950,Sitting_With_Movement,annotator,PA TYPE
2022-04-19 21:32:33.950,2022-04-19 21:34:10.962,Sitting_With_Movement,annotator,PA TYPE
2022-04-19 21:34:10.962,2022-04-19 21:49:28.112,Sitting_With_Movement,annotator,PA TYPE
2022-04-19 21:49:28.112,2022-04-19 22:00:13.225,Sitting_With_Movement,annotator,PA TYPE
2022-04-19 22:00:13.225,2022-04-19 22:00:16.225,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE
