START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-04-26 11:09:01.525,2022-04-26 11:10:27.062,Free_Living,annotator,Experimental situation
2022-04-26 11:10:32.062,2022-04-26 12:02:01.162,Free_Living,annotator,Experimental situation
2022-04-26 12:02:02.162,2022-04-26 12:03:08.162,Free_Living,annotator,Experimental situation
2022-04-26 12:03:19.162,2022-04-26 12:03:19.162,Free_Living,annotator,Experimental situation
2022-04-26 12:03:19.162,2022-04-26 12:08:29.175,Free_Living,annotator,Experimental situation
2022-04-26 12:08:29.175,2022-04-26 12:08:29.175,Free_Living,annotator,Experimental situation
2022-04-26 12:08:29.175,2022-04-26 12:08:53.175,Free_Living,annotator,Experimental situation
2022-04-26 12:08:29.175,2022-04-26 12:08:29.175,Free_Living,annotator,Experimental situation
2022-04-26 12:08:55.175,2022-04-26 12:09:06.175,Free_Living,annotator,Experimental situation
2022-04-26 12:09:08.175,2022-04-26 12:09:56.175,Free_Living,annotator,Experimental situation
2022-04-26 12:09:57.175,2022-04-26 12:10:39.187,Free_Living,annotator,Experimental situation
2022-04-26 12:10:39.187,2022-04-26 12:10:57.187,Free_Living,annotator,Experimental situation
2022-04-26 12:10:58.187,2022-04-26 12:14:45.187,Free_Living,annotator,Experimental situation
2022-04-26 12:14:59.187,2022-04-26 12:14:59.187,ES_Other,annotator,Experimental situation
2022-04-26 12:14:59.187,2022-04-26 12:14:59.187,ES_Other,annotator,Experimental situation
2022-04-26 12:15:02.187,2022-04-26 12:15:34.187,Free_Living,annotator,Experimental situation
2022-04-26 12:15:35.187,2022-04-26 12:15:48.187,Free_Living,annotator,Experimental situation
2022-04-26 12:15:48.187,2022-04-26 12:15:50.187,Free_Living,annotator,Experimental situation
2022-04-26 12:15:51.187,2022-04-26 12:17:33.200,Free_Living,annotator,Experimental situation
2022-04-26 12:17:33.200,2022-04-26 12:18:13.200,Free_Living,annotator,Experimental situation
2022-04-26 12:18:14.200,2022-04-26 12:18:32.200,Free_Living,annotator,Experimental situation
2022-04-26 12:18:36.200,2022-04-26 12:46:49.250,Free_Living,annotator,Experimental situation
2022-04-26 12:46:50.250,2022-04-26 12:46:50.250,Free_Living,annotator,Experimental situation
2022-04-26 12:46:50.250,2022-04-26 12:46:50.250,Free_Living,annotator,Experimental situation
2022-04-26 12:46:52.250,2022-04-26 12:47:51.250,Free_Living,annotator,Experimental situation
2022-04-26 12:47:51.250,2022-04-26 13:22:03.325,Free_Living,annotator,Experimental situation
2022-04-26 13:22:04.325,2022-04-26 13:23:12.325,Free_Living,annotator,Experimental situation
2022-04-26 13:23:24.325,2022-04-26 15:27:13.562,Free_Living,annotator,Experimental situation
2022-04-26 15:27:13.562,2022-04-26 15:28:00.562,Free_Living,annotator,Experimental situation
2022-04-26 15:28:01.562,2022-04-26 15:28:39.562,Free_Living,annotator,Experimental situation
2022-04-26 15:28:39.562,2022-04-26 15:29:01.562,Free_Living,annotator,Experimental situation
2022-04-26 15:29:04.562,2022-04-26 15:30:20.562,Free_Living,annotator,Experimental situation
2022-04-26 15:30:21.575,2022-04-26 17:07:06.750,Free_Living,annotator,Experimental situation
2022-04-26 17:07:10.762,2022-04-26 17:09:25.762,Free_Living,annotator,Experimental situation
2022-04-26 17:09:26.762,2022-04-26 17:09:54.762,Free_Living,annotator,Experimental situation
2022-04-26 17:09:54.762,2022-04-26 17:12:24.762,Free_Living,annotator,Experimental situation
2022-04-26 17:12:25.762,2022-04-26 17:13:50.775,Free_Living,annotator,Experimental situation
2022-04-26 17:13:51.775,2022-04-26 17:15:58.775,Free_Living,annotator,Experimental situation
2022-04-26 17:15:59.775,2022-04-26 17:16:22.775,Free_Living,annotator,Experimental situation
2022-04-26 17:16:22.775,2022-04-26 17:17:03.775,Free_Living,annotator,Experimental situation
2022-04-26 17:17:04.775,2022-04-26 17:17:47.775,Free_Living,annotator,Experimental situation
2022-04-26 17:17:48.775,2022-04-26 17:27:59.800,Free_Living,annotator,Experimental situation
2022-04-26 17:28:00.800,2022-04-26 17:28:44.800,Free_Living,annotator,Experimental situation
2022-04-26 17:28:50.800,2022-04-26 17:29:16.800,Free_Living,annotator,Experimental situation
2022-04-26 17:29:17.800,2022-04-26 17:29:45.800,Free_Living,annotator,Experimental situation
2022-04-26 17:29:46.800,2022-04-26 17:29:52.800,Free_Living,annotator,Experimental situation
