START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-04-26 11:09:01.525,2022-04-26 11:10:27.062,,annotator,HIGH LEVEL BEHAVIOR
2022-04-26 11:10:32.062,2022-04-26 12:02:01.162,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-26 12:02:02.162,2022-04-26 12:03:08.162,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-26 12:03:19.162,2022-04-26 12:03:19.162,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-26 12:03:19.162,2022-04-26 12:08:29.175,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-04-26 12:08:29.175,2022-04-26 12:08:29.175,Dressing/Undressing,annotator,HIGH LEVEL BEHAVIOR
2022-04-26 12:08:29.175,2022-04-26 12:08:53.175,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-26 12:08:29.175,2022-04-26 12:08:29.175,Dressing/Undressing,annotator,HIGH LEVEL BEHAVIOR
2022-04-26 12:08:55.175,2022-04-26 12:09:06.175,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-26 12:09:08.175,2022-04-26 12:09:56.175,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-26 12:09:57.175,2022-04-26 12:10:39.187,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-26 12:10:39.187,2022-04-26 12:10:57.187,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-26 12:10:58.187,2022-04-26 12:14:45.187,HLB_Other,annotator,HIGH LEVEL BEHAVIOR
2022-04-26 12:14:59.187,2022-04-26 12:14:59.187,Administering_Child/Elder/Other_Adult,annotator,HIGH LEVEL BEHAVIOR
2022-04-26 12:14:59.187,2022-04-26 12:14:59.187,Administering_Child/Elder/Other_Adult,annotator,HIGH LEVEL BEHAVIOR
2022-04-26 12:15:02.187,2022-04-26 12:15:34.187,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-26 12:15:35.187,2022-04-26 12:15:48.187,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-26 12:15:48.187,2022-04-26 12:15:50.187,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-04-26 12:15:51.187,2022-04-26 12:17:33.200,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
