START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET,VIDEO_START_TIME,VIDEO_STOP_TIME
2022-04-19 20:06:09.075,2022-04-19 20:08:46.100000,Posture_Indecipherable/Video_Insufficient,Expert,POSTURE,,
2022-04-19 20:08:46.100,2022-04-19 20:10:21.125000,In_Position_Sitting,Expert,POSTURE,,
2022-04-19 20:10:21.125,2022-04-19 20:11:09.125000,Posture_Indecipherable/Video_Insufficient,Expert,POSTURE,,
2022-04-19 20:11:09.125,2022-04-19 20:48:17.500000,In_Position_Sitting,Expert,POSTURE,,
2022-04-19 20:48:17.500,2022-04-19 20:49:13.512000,In_Position_Upright,Expert,POSTURE,,
2022-04-19 20:49:13.512,2022-04-19 20:49:41.512000,In_Position_Upright,Expert,POSTURE,,
2022-04-19 20:49:41.512,2022-04-19 20:50:27.525000,In_Position_Upright,Expert,POSTURE,,
2022-04-19 20:50:27.525,2022-04-19 20:51:03.525000,In_Position_Upright,Expert,POSTURE,,
2022-04-19 20:51:03.525,2022-04-19 20:51:22.537000,In_Position_Upright,Expert,POSTURE,,
2022-04-19 20:51:22.537,2022-04-19 20:51:31.537000,In_Position_Upright,Expert,POSTURE,,
2022-04-19 20:51:31.537,2022-04-19 20:51:36.537000,In_Position_Upright,Expert,POSTURE,,
2022-04-19 20:51:36.537,2022-04-19 20:51:57.537000,In_Position_Upright,Expert,POSTURE,,
2022-04-19 20:51:57.537,2022-04-19 20:52:17.537000,In_Position_Upright,Expert,POSTURE,,
2022-04-19 20:52:17.537,2022-04-19 20:58:52.612000,In_Position_Upright,Expert,POSTURE,,
2022-04-19 20:58:52.612,2022-04-19 20:59:10.612000,In_Position_Upright,Expert,POSTURE,,
2022-04-19 20:59:10.612,2022-04-19 20:59:27.612000,In_Position_Upright,Expert,POSTURE,,
2022-04-19 20:59:27.612,2022-04-19 20:59:58.625000,In_Position_Upright,Expert,POSTURE,,
2022-04-19 20:59:58.625,2022-04-19 21:00:55.625000,In_Position_Upright,Expert,POSTURE,,
2022-04-19 21:00:55.625,2022-04-19 21:02:21.637000,In_Position_Upright,Expert,POSTURE,,
2022-04-19 21:02:21.637,2022-04-19 21:02:52.650000,In_Position_Upright,Expert,POSTURE,,
2022-04-19 21:02:52.650,2022-04-19 21:06:14.687000,In_Position_Upright,Expert,POSTURE,,
2022-04-19 21:06:14.687,2022-04-19 21:07:13.687000,In_Position_Upright,Expert,POSTURE,,
2022-04-19 21:07:13.687,2022-04-19 21:15:34.775000,In_Position_Upright,Expert,POSTURE,,
2022-04-19 21:15:34.775,2022-04-19 21:16:08.787000,In_Position_Upright,Expert,POSTURE,,
2022-04-19 21:16:08.787,2022-04-19 21:21:37.837000,In_Position_Upright,Expert,POSTURE,,
2022-04-19 21:21:37.837,2022-04-19 21:21:55.837000,In_Position_Upright,Expert,POSTURE,,
2022-04-19 21:21:55.837,2022-04-19 21:27:14.887000,In_Position_Sitting,Expert,POSTURE,,
2022-04-19 21:27:14.887,2022-04-19 21:30:26.925000,In_Position_Sitting,Expert,POSTURE,,
2022-04-19 21:30:26.925,2022-04-19 21:30:57.925000,In_Position_Sitting,Expert,POSTURE,,
2022-04-19 21:30:57.925,2022-04-19 21:32:33.950000,In_Position_Sitting,Expert,POSTURE,,
2022-04-19 21:32:33.950,2022-04-19 21:34:10.962000,In_Position_Sitting,Expert,POSTURE,,
2022-04-19 21:34:10.962,2022-04-19 21:49:28.112000,In_Position_Sitting,Expert,POSTURE,,
2022-04-19 21:49:28.112,2022-04-19 22:00:13.225000,In_Position_Sitting,Expert,POSTURE,,
2022-04-19 22:00:13.225,2022-04-19 22:00:16.225000,Posture_Indecipherable/Video_Insufficient,Expert,POSTURE,,
2022-04-20 09:08:53.937,2022-04-20 09:10:24.637000,Posture_Indecipherable/Video_Insufficient,Expert,POSTURE,,
2022-04-20 09:10:24.637,2022-04-20 09:11:11.637000,In_Position_Upright,Expert,POSTURE,,
2022-04-20 09:11:11.637,2022-04-20 09:11:37.637000,In_Position_Upright,Expert,POSTURE,,
2022-04-20 09:11:37.637,2022-04-20 09:13:43.625000,In_Position_Upright,Expert,POSTURE,,
2022-04-20 09:13:43.625,2022-04-20 09:14:01.625000,In_Position_Upright,Expert,POSTURE,,
