START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-05-02 07:14:48.562,2022-05-02 07:15:30.612,In_Position_Upright,annotator,POSTURE
2022-05-02 07:15:30.612,2022-05-02 07:16:16.612,In_Position_Upright,annotator,POSTURE
2022-05-02 07:16:27.612,2022-05-02 07:50:38.562,In_Position_Sitting,annotator,POSTURE
2022-05-02 07:51:02.562,2022-05-02 08:20:01.525,In_Position_Sitting,annotator,POSTURE
2022-05-02 08:20:11.525,2022-05-02 08:21:30.525,In_Position_Upright,annotator,POSTURE
2022-05-02 08:21:42.525,2022-05-02 09:13:13.462,In_Position_Sitting,annotator,POSTURE
2022-05-02 09:13:14.462,2022-05-02 09:16:14.462,In_Position_Sitting,annotator,POSTURE
2022-05-02 09:16:41.462,2022-05-02 09:26:13.450,Posture_Indecipherable/Video_Insufficient,annotator,POSTURE
2022-05-02 09:26:13.450,2022-05-02 09:26:57.437,In_Position_Upright,annotator,POSTURE
2022-05-02 09:27:00.437,2022-05-02 09:56:17.400,In_Position_Sitting,annotator,POSTURE
2022-05-02 09:57:25.400,2022-05-02 09:59:50.400,Posture_Indecipherable/Video_Insufficient,annotator,POSTURE
2022-05-02 09:59:57.400,2022-05-02 11:40:19.275,In_Position_Sitting,annotator,POSTURE
2022-05-02 11:40:54.275,2022-05-02 11:41:53.275,Posture_Indecipherable/Video_Insufficient,annotator,POSTURE
2022-05-02 11:42:00.275,2022-05-02 11:43:13.275,In_Position_Upright,annotator,POSTURE
2022-05-02 11:43:18.275,2022-05-02 12:56:21.175,In_Position_Sitting,annotator,POSTURE
2022-05-02 12:56:26.175,2022-05-02 12:59:27.175,In_Position_Upright,annotator,POSTURE
2022-05-02 12:59:28.175,2022-05-02 13:05:40.162,In_Position_Sitting,annotator,POSTURE
2022-05-02 13:05:41.162,2022-05-02 13:09:09.162,In_Position_Sitting,annotator,POSTURE
2022-05-02 13:09:37.162,2022-05-02 13:20:48.150,In_Position_Upright,annotator,POSTURE
2022-05-02 13:20:49.150,2022-05-02 13:25:18.137,In_Position_Upright,annotator,POSTURE
2022-05-02 13:26:11.137,2022-05-02 13:28:12.137,Posture_Indecipherable/Video_Insufficient,annotator,POSTURE
2022-05-02 13:28:20.137,2022-05-02 13:33:20.125,In_Position_Upright,annotator,POSTURE
2022-05-02 13:33:32.125,2022-05-02 13:34:53.125,In_Position_Sitting,annotator,POSTURE
2022-05-02 13:35:14.125,2022-05-02 13:37:24.125,In_Position_Upright,annotator,POSTURE
2022-05-02 13:37:24.125,2022-05-02 13:37:47.125,In_Position_Upright,annotator,POSTURE
2022-05-02 13:37:47.125,2022-05-02 13:38:23.125,In_Position_Upright,annotator,POSTURE
2022-05-02 13:38:23.125,2022-05-02 13:38:32.125,In_Position_Upright,annotator,POSTURE
2022-05-02 13:38:32.125,2022-05-02 13:38:38.125,In_Position_Upright,annotator,POSTURE
2022-05-02 13:38:45.125,2022-05-02 13:38:49.125,In_Position_Upright,annotator,POSTURE
2022-05-02 13:38:49.125,2022-05-02 13:40:51.125,In_Position_Upright,annotator,POSTURE
2022-05-02 13:40:52.125,2022-05-02 13:41:11.125,In_Position_Upright,annotator,POSTURE
2022-05-02 13:41:11.125,2022-05-02 13:41:22.112,In_Position_Upright,annotator,POSTURE
2022-05-02 13:41:25.112,2022-05-02 13:43:08.112,In_Position_Upright,annotator,POSTURE
2022-05-02 13:43:08.112,2022-05-02 13:44:37.112,In_Position_Upright,annotator,POSTURE
2022-05-02 13:44:44.112,2022-05-02 13:44:48.112,In_Position_Upright,annotator,POSTURE
2022-05-02 13:44:54.112,2022-05-02 13:51:04.100,In_Position_Sitting,annotator,POSTURE
2022-05-02 13:51:15.100,2022-05-02 13:52:02.100,In_Position_Upright,annotator,POSTURE
2022-05-02 13:52:02.100,2022-05-02 14:00:58.087,In_Position_Upright,annotator,POSTURE
2022-05-02 14:01:17.087,2022-05-02 14:14:31.075,In_Position_Sitting,annotator,POSTURE
2022-05-02 14:14:39.075,2022-05-02 14:15:14.075,In_Position_Upright,annotator,POSTURE
2022-05-02 14:15:14.075,2022-05-02 14:15:39.075,In_Position_Upright,annotator,POSTURE
2022-05-02 14:15:41.075,2022-05-02 14:16:02.075,In_Position_Upright,annotator,POSTURE
2022-05-02 14:16:02.075,2022-05-02 14:16:43.075,In_Position_Upright,annotator,POSTURE
2022-05-02 14:16:43.075,2022-05-02 14:16:55.075,In_Position_Upright,annotator,POSTURE
2022-05-02 14:16:55.075,2022-05-02 14:17:13.075,In_Position_Upright,annotator,POSTURE
2022-05-02 14:17:13.075,2022-05-02 14:18:04.075,In_Position_Upright,annotator,POSTURE
2022-05-02 14:18:05.075,2022-05-02 14:18:33.075,In_Position_Sitting,annotator,POSTURE
2022-05-02 14:18:41.075,2022-05-02 14:18:58.075,In_Position_Upright,annotator,POSTURE
2022-05-02 14:19:03.075,2022-05-02 14:19:24.075,In_Position_Upright,annotator,POSTURE
2022-05-02 14:19:24.075,2022-05-02 14:19:38.075,In_Position_Upright,annotator,POSTURE
2022-05-02 14:19:47.075,2022-05-02 17:08:22.850,In_Position_Sitting,annotator,POSTURE
2022-05-02 17:08:27.850,2022-05-02 17:08:54.850,In_Position_Upright,annotator,POSTURE
2022-05-02 17:08:54.850,2022-05-02 17:09:58.850,In_Position_Upright,annotator,POSTURE
2022-05-02 17:09:59.850,2022-05-02 17:10:49.850,In_Position_Upright,annotator,POSTURE
2022-05-02 17:10:49.850,2022-05-02 17:12:05.850,In_Position_Upright,annotator,POSTURE
2022-05-02 17:12:05.850,2022-05-02 17:12:58.850,In_Position_Upright,annotator,POSTURE
2022-05-02 17:12:58.850,2022-05-02 17:13:13.850,In_Position_Upright,annotator,POSTURE
2022-05-02 17:13:13.850,2022-05-02 17:13:28.850,In_Position_Upright,annotator,POSTURE
2022-05-02 17:13:28.850,2022-05-02 17:13:36.850,In_Position_Upright,annotator,POSTURE
2022-05-02 17:13:38.850,2022-05-02 17:14:29.850,In_Position_Upright,annotator,POSTURE
2022-05-02 17:14:32.850,2022-05-02 17:14:58.850,In_Position_Upright,annotator,POSTURE
2022-05-02 17:14:58.850,2022-05-02 17:19:17.837,In_Position_Upright,annotator,POSTURE
2022-05-02 17:19:20.837,2022-05-02 17:19:47.837,In_Position_Upright,annotator,POSTURE
2022-05-02 17:19:47.837,2022-05-02 17:20:28.837,In_Position_Upright,annotator,POSTURE
2022-05-02 17:20:37.837,2022-05-02 18:28:51.750,In_Position_Sitting,annotator,POSTURE
2022-05-02 18:28:51.750,2022-05-02 19:38:20.662,In_Position_Sitting,annotator,POSTURE
2022-05-02 19:38:22.662,2022-05-02 19:39:37.662,In_Position_Sitting,annotator,POSTURE
2022-05-02 19:39:39.662,2022-05-02 19:45:53.650,In_Position_Sitting,annotator,POSTURE
2022-05-02 19:45:56.650,2022-05-02 19:46:57.650,In_Position_Upright,annotator,POSTURE
2022-05-02 19:47:06.650,2022-05-02 19:48:14.650,In_Position_Upright,annotator,POSTURE
2022-05-02 19:48:15.650,2022-05-02 19:48:29.650,In_Position_Upright,annotator,POSTURE
2022-05-02 19:48:30.650,2022-05-02 19:49:20.650,In_Position_Upright,annotator,POSTURE
2022-05-02 19:49:22.650,2022-05-02 19:51:00.650,In_Position_Upright,annotator,POSTURE
2022-05-02 19:51:01.650,2022-05-02 19:51:22.650,In_Position_Upright,annotator,POSTURE
2022-05-02 19:51:23.650,2022-05-02 19:52:18.650,In_Position_Upright,annotator,POSTURE
2022-05-02 19:52:18.650,2022-05-02 19:52:45.650,In_Position_Upright,annotator,POSTURE
2022-05-02 19:52:46.650,2022-05-02 19:53:52.637,In_Position_Upright,annotator,POSTURE
2022-05-02 19:53:53.637,2022-05-02 20:00:25.637,In_Position_Sitting,annotator,POSTURE
2022-05-02 20:00:26.637,2022-05-02 20:05:16.625,Posture_Indecipherable/Video_Insufficient,annotator,POSTURE
2022-05-02 20:05:26.625,2022-05-02 20:06:06.625,In_Position_Upright,annotator,POSTURE
