START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-05-03 16:25:50.800,2022-05-03 16:29:57.800,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE
2022-05-03 16:29:58.800,2022-05-03 16:31:03.800,Sitting_With_Movement,annotator,PA TYPE
2022-05-03 16:31:03.800,2022-05-03 16:32:32.800,Walking,annotator,PA TYPE
2022-05-03 16:32:33.800,2022-05-03 16:32:58.800,Standing_With_Movement,annotator,PA TYPE
2022-05-03 16:32:58.800,2022-05-03 16:33:15.800,Walking,annotator,PA TYPE
2022-05-03 16:33:15.800,2022-05-03 16:34:46.812,Walking,annotator,PA TYPE
2022-05-03 16:34:47.812,2022-05-03 16:38:01.812,Walking,annotator,PA TYPE
2022-05-03 16:38:02.812,2022-05-03 16:38:31.812,Walking,annotator,PA TYPE
2022-05-03 16:38:32.812,2022-05-03 16:39:18.812,Standing_With_Movement,annotator,PA TYPE
2022-05-03 16:39:19.812,2022-05-03 16:41:14.812,Standing_With_Movement,annotator,PA TYPE
2022-05-03 16:41:14.812,2022-05-03 16:42:10.812,Walking,annotator,PA TYPE
2022-05-03 16:42:11.812,2022-05-03 16:43:55.812,Walking,annotator,PA TYPE
2022-05-03 16:43:57.812,2022-05-03 16:44:45.812,Walking,annotator,PA TYPE
2022-05-03 16:44:46.812,2022-05-03 16:45:06.812,Standing_With_Movement,annotator,PA TYPE
2022-05-03 16:45:07.812,2022-05-03 16:47:11.812,Walking,annotator,PA TYPE
2022-05-03 16:47:15.812,2022-05-03 16:48:53.812,Walking,annotator,PA TYPE
2022-05-03 16:48:55.812,2022-05-03 16:51:17.812,Sitting_With_Movement,annotator,PA TYPE
2022-05-03 16:51:38.812,2022-05-03 17:01:39.825,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE
2022-05-03 17:01:46.825,2022-05-03 17:17:05.825,Sitting_With_Movement,annotator,PA TYPE
2022-05-03 17:17:07.825,2022-05-03 17:19:06.837,Puttering_Around,annotator,PA TYPE
2022-05-03 17:19:07.837,2022-05-03 17:46:01.850,Sitting_With_Movement,annotator,PA TYPE
2022-05-03 17:46:08.850,2022-05-03 17:47:12.850,Standing_With_Movement,annotator,PA TYPE
2022-05-03 17:47:16.850,2022-05-03 18:03:43.862,Sitting_With_Movement,annotator,PA TYPE
2022-05-03 18:03:45.862,2022-05-03 18:06:38.862,Sitting_With_Movement,annotator,PA TYPE
2022-05-03 18:06:45.862,2022-05-03 18:31:46.875,Sitting_With_Movement,annotator,PA TYPE
2022-05-03 18:31:49.875,2022-05-03 18:52:09.887,Standing_With_Movement,annotator,PA TYPE
2022-05-03 18:52:13.887,2022-05-03 18:53:15.887,Standing_With_Movement,annotator,PA TYPE
2022-05-03 18:53:16.887,2022-05-03 18:56:44.887,Sitting_With_Movement,annotator,PA TYPE
2022-05-03 18:56:49.887,2022-05-03 19:20:22.900,Sitting_With_Movement,annotator,PA TYPE
2022-05-03 19:20:38.900,2022-05-03 19:29:12.912,Standing_With_Movement,annotator,PA TYPE
2022-05-03 19:29:15.912,2022-05-03 19:30:47.912,Sitting_With_Movement,annotator,PA TYPE
2022-05-03 19:30:59.912,2022-05-03 19:31:27.912,Walking,annotator,PA TYPE
2022-05-03 19:31:28.912,2022-05-03 19:32:20.912,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE
2022-05-03 19:32:21.912,2022-05-03 19:32:39.912,Washing_Hands,annotator,PA TYPE
2022-05-03 19:32:41.912,2022-05-03 19:33:08.912,Standing_With_Movement,annotator,PA TYPE
2022-05-03 19:33:11.912,2022-05-03 19:33:40.912,Walking,annotator,PA TYPE
2022-05-03 19:33:43.912,2022-05-03 19:34:40.912,Standing_With_Movement,annotator,PA TYPE
2022-05-03 19:34:42.912,2022-05-03 19:34:55.912,Walking,annotator,PA TYPE
2022-05-03 19:34:57.912,2022-05-03 19:35:33.912,Walking,annotator,PA TYPE
2022-05-03 19:35:34.912,2022-05-03 19:35:57.912,Standing_With_Movement,annotator,PA TYPE
2022-05-03 19:35:58.912,2022-05-03 19:36:22.912,Walking,annotator,PA TYPE
2022-05-03 19:36:23.912,2022-05-03 19:41:14.912,Walking,annotator,PA TYPE
2022-05-03 19:41:15.912,2022-05-03 19:42:30.912,Walking,annotator,PA TYPE
2022-05-03 19:42:31.912,2022-05-03 20:10:39.937,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE
2022-05-03 20:10:41.937,2022-05-03 20:13:51.937,Walking,annotator,PA TYPE
2022-05-03 20:13:53.937,2022-05-03 20:18:07.937,Walking,annotator,PA TYPE
2022-05-03 20:18:12.937,2022-05-03 20:18:26.937,Walking,annotator,PA TYPE
2022-05-03 20:18:34.937,2022-05-03 20:18:50.937,Walking,annotator,PA TYPE
2022-05-03 20:18:58.937,2022-05-03 20:19:16.937,Standing_With_Movement,annotator,PA TYPE
2022-05-03 20:19:16.937,2022-05-03 20:19:52.937,Walking,annotator,PA TYPE
2022-05-03 20:19:52.937,2022-05-03 20:20:03.937,Walking,annotator,PA TYPE
2022-05-03 20:20:03.937,2022-05-03 20:20:39.937,Standing_With_Movement,annotator,PA TYPE
2022-05-03 20:20:39.937,2022-05-03 20:20:47.937,Standing_With_Movement,annotator,PA TYPE
2022-05-03 20:20:52.937,2022-05-03 20:43:17.950,Sitting_With_Movement,annotator,PA TYPE
2022-05-03 20:43:18.950,2022-05-03 20:44:42.950,Puttering_Around,annotator,PA TYPE
2022-05-03 20:44:50.950,2022-05-03 20:48:02.950,Standing_With_Movement,annotator,PA TYPE
2022-05-03 20:48:04.950,2022-05-03 20:49:08.950,Standing_With_Movement,annotator,PA TYPE
2022-05-03 20:49:08.950,2022-05-03 20:51:34.962,Puttering_Around,annotator,PA TYPE
2022-05-03 20:51:34.962,2022-05-03 20:53:05.962,Standing_With_Movement,annotator,PA TYPE
2022-05-03 20:53:05.962,2022-05-03 20:53:45.962,Standing_With_Movement,annotator,PA TYPE
2022-05-03 20:53:46.962,2022-05-03 20:54:09.962,Standing_With_Movement,annotator,PA TYPE
2022-05-03 20:54:14.962,2022-05-03 20:55:48.962,Puttering_Around,annotator,PA TYPE
2022-05-03 20:56:04.962,2022-05-03 20:57:06.962,Standing_With_Movement,annotator,PA TYPE
2022-05-03 20:57:12.962,2022-05-03 21:02:40.962,Sitting_With_Movement,annotator,PA TYPE
2022-05-03 21:02:50.962,2022-05-03 21:05:24.962,Sitting_With_Movement,annotator,PA TYPE
2022-05-03 21:05:26.962,2022-05-03 21:06:37.962,Puttering_Around,annotator,PA TYPE
2022-05-03 21:06:52.962,2022-05-03 21:10:45.962,Sitting_With_Movement,annotator,PA TYPE
2022-05-03 21:10:51.962,2022-05-03 21:11:32.962,Sitting_With_Movement,annotator,PA TYPE
2022-05-03 21:11:32.962,2022-05-03 21:11:57.962,Puttering_Around,annotator,PA TYPE
2022-05-03 21:12:01.962,2022-05-03 21:13:19.975,Sitting_With_Movement,annotator,PA TYPE
2022-05-03 21:13:22.975,2022-05-03 21:14:10.975,Sitting_With_Movement,annotator,PA TYPE
2022-05-03 21:14:10.975,2022-05-03 21:17:16.975,Sitting_With_Movement,annotator,PA TYPE
