START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-05-04 09:06:38.162,2022-05-04 09:07:10.162,Dressing/Undressing,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 09:07:11.162,2022-05-04 09:07:42.162,Dressing/Undressing,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 09:07:43.162,2022-05-04 09:09:31.162,Doing_Common_Housework_Light,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 09:09:31.162,2022-05-04 09:10:27.162,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 09:10:29.162,2022-05-04 09:11:34.150,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 09:11:34.150,2022-05-04 09:11:55.150,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 09:11:56.150,2022-05-04 09:12:26.150,Packing/Unpacking_Something/Grooming/Self_Care,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 09:12:32.150,2022-05-04 09:12:45.150,Eating/Dining,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 09:12:49.150,2022-05-04 09:13:35.150,Eating/Dining,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 09:13:36.150,2022-05-04 09:14:37.150,Eating/Dining,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 09:14:38.150,2022-05-04 09:15:43.150,Eating/Dining,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 09:15:44.150,2022-05-04 09:16:05.137,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 09:16:08.137,2022-05-04 09:19:04.137,Eating/Dining,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 09:19:05.137,2022-05-04 09:30:40.112,Eating/Dining,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 09:30:42.112,2022-05-04 09:31:27.100,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 09:31:28.100,2022-05-04 09:31:46.100,Packing/Unpacking_Something/Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 09:31:55.100,2022-05-04 09:32:15.100,Grooming/Self_Care,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 09:32:16.100,2022-05-04 09:34:24.100,Grooming/Self_Care,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 09:34:25.100,2022-05-04 09:35:34.100,Grooming/Self_Care,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 09:35:35.100,2022-05-04 09:37:44.087,HLB_Other,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 09:37:50.087,2022-05-04 09:40:16.087,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 09:40:17.087,2022-05-04 09:41:11.087,Grooming/Self_Care,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 09:41:15.075,2022-05-04 09:43:16.075,Grooming/Self_Care,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 09:43:16.075,2022-05-04 09:44:06.075,Grooming/Self_Care,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 09:44:13.075,2022-05-04 09:44:21.075,Grooming/Self_Care,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 09:44:22.075,2022-05-04 09:45:33.075,Dressing/Undressing,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 09:45:35.075,2022-05-04 09:47:02.062,Grooming/Self_Care,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 09:47:03.062,2022-05-04 09:48:28.062,Meeting _Social_Gathering_In_Person,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 09:48:32.062,2022-05-04 09:49:09.062,Dressing/Undressing,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 09:49:13.062,2022-05-04 09:49:40.062,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 09:49:40.062,2022-05-04 09:50:33.062,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 09:50:33.062,2022-05-04 09:51:15.062,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 09:51:16.062,2022-05-04 09:51:52.050,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 09:51:52.050,2022-05-04 09:53:17.050,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 09:53:21.050,2022-05-04 09:54:17.050,Dressing/Undressing,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 09:54:19.050,2022-05-04 09:55:34.050,Relaxing_Passive,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 09:55:34.050,2022-05-04 09:58:38.037,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 09:58:41.037,2022-05-04 09:59:02.037,In_Bathroom,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 09:59:04.037,2022-05-04 10:03:28.025,,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 10:03:29.025,2022-05-04 10:04:20.025,Grooming/Self_Care,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 10:04:29.025,2022-05-04 10:05:25.025,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 10:05:31.025,2022-05-04 10:05:44.025,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 10:05:44.025,2022-05-04 10:06:04.025,In_Transit_Active/Riding_Elevator_Down,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 10:06:04.025,2022-05-04 10:06:25.025,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 10:06:25.025,2022-05-04 10:08:05.012,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 10:08:05.012,2022-05-04 10:08:31.012,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 10:08:31.012,2022-05-04 10:16:50.987,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 10:16:52.987,2022-05-04 10:16:52.987,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 10:16:52.987,2022-05-04 10:17:04.987,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 10:17:04.987,2022-05-04 10:17:23.987,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 10:17:23.987,2022-05-04 10:17:46.987,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 10:17:46.987,2022-05-04 14:19:15.400,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 14:19:15.400,2022-05-04 14:19:37.400,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 14:19:37.400,2022-05-04 14:19:46.400,Packing/Unpacking_Something,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 14:19:46.400,2022-05-04 14:20:37.400,,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 14:20:37.400,2022-05-04 14:20:44.400,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 14:20:44.400,2022-05-04 14:20:56.400,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 14:20:56.400,2022-05-04 14:21:07.387,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 14:21:07.387,2022-05-04 14:21:07.387,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 14:21:07.387,2022-05-04 14:21:54.387,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 14:21:54.387,2022-05-04 14:22:03.387,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 14:22:03.387,2022-05-04 14:23:51.387,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 14:23:51.387,2022-05-04 14:24:34.387,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 14:24:34.387,2022-05-04 14:24:57.387,Riding_Escalator_Up,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 14:24:57.387,2022-05-04 14:26:11.375,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 14:26:11.375,2022-05-04 14:29:07.375,,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 14:29:07.375,2022-05-04 14:29:45.375,,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 14:29:45.375,2022-05-04 14:30:23.375,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 14:31:22.362,2022-05-04 14:31:28.362,,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 14:31:30.362,2022-05-04 14:31:42.362,,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 14:31:42.362,2022-05-04 14:32:23.362,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 14:32:23.362,2022-05-04 14:32:34.362,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 14:32:35.362,2022-05-04 14:33:00.362,,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 14:33:03.362,2022-05-04 14:33:18.362,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 14:33:18.362,2022-05-04 14:33:58.362,,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 14:33:58.362,2022-05-04 14:34:10.362,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 14:34:10.362,2022-05-04 14:35:19.362,,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 14:35:19.362,2022-05-04 14:36:04.362,,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 14:36:04.362,2022-05-04 14:37:03.350,,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 14:37:03.350,2022-05-04 14:38:07.350,Riding_Elevator_Down,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 14:38:07.350,2022-05-04 14:38:19.350,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 14:38:19.350,2022-05-04 14:38:44.350,,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 14:38:44.350,2022-05-04 14:38:59.350,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 14:38:59.350,2022-05-04 14:39:42.350,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 14:39:42.350,2022-05-04 14:39:59.350,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 14:39:59.350,2022-05-04 15:03:04.287,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 15:03:04.287,2022-05-04 15:03:23.287,,annotator,HIGH LEVEL BEHAVIOR
2022-05-04 15:03:23.287,2022-05-04 15:03:46.287,In_Transit_Active,annotator,HIGH LEVEL BEHAVIOR
