START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-05-05 19:46:05.112,2022-05-05 19:47:44.200,Located_Indoors/In_Conversation,annotator,Behavioral Parameters
2022-05-05 19:47:44.200,2022-05-05 19:49:12.262,Located_Indoors/Texting/Browsing_Phone/In_Conversation,annotator,Behavioral Parameters
2022-05-05 19:49:12.262,2022-05-05 19:49:47.287,Located_Indoors/BP_Other,annotator,Behavioral Parameters
2022-05-05 19:49:47.287,2022-05-05 19:54:23.512,Located_Indoors/Texting/Browsing_Phone/In_Conversation,annotator,Behavioral Parameters
2022-05-05 19:54:23.512,2022-05-05 19:59:19.750,Located_Indoors/In_Conversation/BP_Other,annotator,Behavioral Parameters
2022-05-05 19:59:22.750,2022-05-05 20:00:50.812,Located_Indoors/In_Conversation/BP_Other,annotator,Behavioral Parameters
2022-05-05 20:00:50.812,2022-05-05 20:02:39.900,Located_Indoors/In_Conversation,annotator,Behavioral Parameters
2022-05-05 20:02:39.900,2022-05-05 20:28:35.125,Located_Indoors/In_Conversation/BP_Other,annotator,Behavioral Parameters
2022-05-05 20:28:35.125,2022-05-05 20:29:08.150,Located_Indoors/In_Conversation/Holding_Other_Object_Light,annotator,Behavioral Parameters
2022-05-05 20:29:08.150,2022-05-05 20:30:18.212,Located_Indoors/Holding_Other_Object_Light/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-05-05 20:30:19.212,2022-05-05 20:30:37.225,Located_Indoors/Holding_Other_Object_Light/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-05-05 20:30:38.225,2022-05-05 20:31:01.250,Located_Indoors/Holding_Other_Object_Light/Texting/Browsing_Phone,annotator,Behavioral Parameters
2022-05-05 20:31:01.250,2022-05-05 20:37:39.562,Holding_Other_Object_Light/Located_Outdoors,annotator,Behavioral Parameters
2022-05-05 20:37:43.562,2022-05-05 20:38:14.587,Holding_Other_Object_Light/Located_Indoors,annotator,Behavioral Parameters
2022-05-05 20:38:15.587,2022-05-05 20:38:39.612,Holding_Other_Object_Light/Located_Indoors,annotator,Behavioral Parameters
2022-05-05 20:38:40.612,2022-05-05 20:38:46.612,Holding_Other_Object_Light/Located_Indoors/In_Conversation,annotator,Behavioral Parameters
2022-05-05 20:38:47.612,2022-05-05 20:39:24.637,Holding_Other_Object_Light/Located_Indoors/In_Conversation,annotator,Behavioral Parameters
2022-05-05 20:39:24.637,2022-05-05 20:39:41.650,Located_Indoors,annotator,Behavioral Parameters
2022-05-05 20:39:42.662,2022-05-05 20:42:04.762,Located_Indoors,annotator,Behavioral Parameters
2022-05-05 20:42:04.762,2022-05-05 20:42:50.800,Located_Indoors/Holding_Drink,annotator,Behavioral Parameters
2022-05-05 20:42:51.800,2022-05-05 20:43:17.825,Located_Indoors,annotator,Behavioral Parameters
2022-05-05 20:43:17.825,2022-05-05 20:45:00.912,Located_Indoors/In_Conversation,annotator,Behavioral Parameters
