START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-05-05 19:46:05.112,2022-05-05 19:47:44.200,Sitting_With_Movement,annotator,PA TYPE
2022-05-05 19:47:44.200,2022-05-05 19:49:12.262,Sitting_With_Movement,annotator,PA TYPE
2022-05-05 19:49:12.262,2022-05-05 19:49:47.287,Sitting_With_Movement,annotator,PA TYPE
2022-05-05 19:49:47.287,2022-05-05 19:54:23.512,Sitting_With_Movement,annotator,PA TYPE
2022-05-05 19:54:23.512,2022-05-05 19:59:19.750,Sitting_With_Movement,annotator,PA TYPE
2022-05-05 19:59:22.750,2022-05-05 20:00:50.812,Standing_With_Movement,annotator,PA TYPE
2022-05-05 20:00:50.812,2022-05-05 20:02:39.900,Sitting_With_Movement,annotator,PA TYPE
2022-05-05 20:02:39.900,2022-05-05 20:28:35.125,Sitting_Still,annotator,PA TYPE
2022-05-05 20:28:35.125,2022-05-05 20:29:08.150,Standing_With_Movement,annotator,PA TYPE
2022-05-05 20:29:08.150,2022-05-05 20:30:18.212,Standing_With_Movement,annotator,PA TYPE
2022-05-05 20:30:19.212,2022-05-05 20:30:37.225,Walking,annotator,PA TYPE
2022-05-05 20:30:38.225,2022-05-05 20:31:01.250,Standing_With_Movement,annotator,PA TYPE
2022-05-05 20:31:01.250,2022-05-05 20:37:39.562,Walking,annotator,PA TYPE
2022-05-05 20:37:43.562,2022-05-05 20:38:14.587,Walking,annotator,PA TYPE
2022-05-05 20:38:15.587,2022-05-05 20:38:39.612,Standing_With_Movement,annotator,PA TYPE
2022-05-05 20:38:40.612,2022-05-05 20:38:46.612,Walking,annotator,PA TYPE
2022-05-05 20:38:47.612,2022-05-05 20:39:24.637,Standing_With_Movement,annotator,PA TYPE
2022-05-05 20:39:24.637,2022-05-05 20:39:41.650,Walking,annotator,PA TYPE
2022-05-05 20:39:42.662,2022-05-05 20:42:04.762,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE
2022-05-05 20:42:04.762,2022-05-05 20:42:50.800,Standing_With_Movement,annotator,PA TYPE
2022-05-05 20:42:51.800,2022-05-05 20:43:17.825,Walking,annotator,PA TYPE
2022-05-05 20:43:17.825,2022-05-05 20:45:00.912,Walking,annotator,PA TYPE
2022-05-05 20:45:02.912,2022-05-05 20:46:48.987,Walking,annotator,PA TYPE
2022-05-05 20:46:50.000,2022-05-05 20:47:18.012,Walking,annotator,PA TYPE
2022-05-05 20:47:19.012,2022-05-05 20:47:49.037,Standing_With_Movement,annotator,PA TYPE
2022-05-05 20:47:50.037,2022-05-05 20:48:12.062,Walking,annotator,PA TYPE
2022-05-05 20:48:13.062,2022-05-05 20:49:37.125,Standing_With_Movement,annotator,PA TYPE
2022-05-05 20:49:39.125,2022-05-05 20:54:31.362,Walking,annotator,PA TYPE
2022-05-05 20:54:32.362,2022-05-05 20:54:38.362,Walking,annotator,PA TYPE
2022-05-05 20:54:39.362,2022-05-05 20:54:48.375,Walking_Down_Stairs,annotator,PA TYPE
2022-05-05 20:54:48.375,2022-05-05 20:55:47.412,Walking,annotator,PA TYPE
2022-05-05 20:55:48.425,2022-05-05 20:58:28.550,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE
2022-05-05 20:58:29.550,2022-05-05 21:08:43.025,Sitting_With_Movement,annotator,PA TYPE
2022-05-05 21:08:44.025,2022-05-05 21:10:19.100,Sitting_With_Movement,annotator,PA TYPE
2022-05-05 21:10:20.112,2022-05-05 21:11:16.150,Sitting_With_Movement,annotator,PA TYPE
2022-05-05 21:11:17.150,2022-05-05 21:13:59.275,Sitting_With_Movement,annotator,PA TYPE
2022-05-05 21:14:00.275,2022-05-05 21:14:14.287,Walking,annotator,PA TYPE
2022-05-05 21:14:16.287,2022-05-05 21:15:48.362,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE
2022-05-05 21:15:49.362,2022-05-05 21:19:03.525,Sitting_With_Movement,annotator,PA TYPE
2022-05-05 21:19:04.525,2022-05-05 21:22:46.700,Sitting_With_Movement,annotator,PA TYPE
2022-05-05 21:22:47.700,2022-05-05 21:23:31.737,Sitting_With_Movement,annotator,PA TYPE
2022-05-05 21:23:31.737,2022-05-05 21:24:37.787,Sitting_With_Movement,annotator,PA TYPE
2022-05-05 21:24:38.787,2022-05-05 21:27:33.925,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE
2022-05-05 21:27:35.925,2022-05-05 21:29:55.037,Sitting_With_Movement,annotator,PA TYPE
2022-05-05 21:29:55.037,2022-05-05 21:30:25.062,Sitting_With_Movement,annotator,PA TYPE
2022-05-05 21:30:26.062,2022-05-05 21:32:22.150,Sitting_With_Movement,annotator,PA TYPE
2022-05-05 21:32:23.150,2022-05-05 21:33:53.225,Sitting_With_Movement,annotator,PA TYPE
2022-05-05 21:33:53.225,2022-05-05 21:34:14.237,Sitting_With_Movement,annotator,PA TYPE
2022-05-05 21:34:15.237,2022-05-05 21:36:17.337,Sitting_With_Movement,annotator,PA TYPE
2022-05-05 21:36:17.337,2022-05-05 21:39:12.475,Sitting_With_Movement,annotator,PA TYPE
2022-05-05 21:39:13.475,2022-05-05 21:41:02.562,Sitting_With_Movement,annotator,PA TYPE
2022-05-05 21:41:03.562,2022-05-05 21:43:49.687,Sitting_With_Movement,annotator,PA TYPE
2022-05-05 21:43:54.700,2022-05-05 21:47:06.850,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE
2022-05-05 21:47:07.850,2022-05-05 21:48:11.900,Sitting_With_Movement,annotator,PA TYPE
2022-05-05 21:48:14.900,2022-05-05 21:51:46.062,Sitting_With_Movement,annotator,PA TYPE
2022-05-05 21:51:47.075,2022-05-05 22:00:17.475,Sitting_With_Movement,annotator,PA TYPE
2022-05-05 22:00:18.475,2022-05-05 22:01:13.512,Sitting_With_Movement,annotator,PA TYPE
2022-05-05 22:01:13.512,2022-05-05 22:07:04.800,Sitting_With_Movement,annotator,PA TYPE
2022-05-05 22:07:04.800,2022-05-05 22:09:38.912,Sitting_With_Movement,annotator,PA TYPE
2022-05-05 22:09:39.912,2022-05-05 22:10:58.975,Walking,annotator,PA TYPE
2022-05-05 22:10:59.975,2022-05-05 22:11:09.987,Walking_Up_Stairs,annotator,PA TYPE
2022-05-05 22:11:09.987,2022-05-05 22:11:47.012,Walking,annotator,PA TYPE
2022-05-05 22:11:47.012,2022-05-05 22:15:23.187,Walking,annotator,PA TYPE
2022-05-05 22:15:23.187,2022-05-05 22:25:17.662,Standing_With_Movement,annotator,PA TYPE
2022-05-05 22:25:19.662,2022-05-05 22:28:05.787,Walking,annotator,PA TYPE
2022-05-05 22:28:08.787,2022-05-05 22:29:22.850,Standing_With_Movement,annotator,PA TYPE
2022-05-05 22:29:23.850,2022-05-05 22:30:58.925,Kneeling_With_Movement,annotator,PA TYPE
2022-05-05 22:30:59.925,2022-05-05 22:31:36.950,Standing_With_Movement,annotator,PA TYPE
2022-05-05 22:31:39.962,2022-05-05 22:45:06.600,Standing_With_Movement,annotator,PA TYPE
2022-05-05 22:45:07.600,2022-05-05 22:45:41.625,Walking,annotator,PA TYPE
2022-05-05 22:45:42.625,2022-05-05 22:46:24.662,Standing_With_Movement,annotator,PA TYPE
2022-05-05 22:46:24.662,2022-05-05 22:47:18.700,Walking,annotator,PA TYPE
2022-05-05 22:47:18.700,2022-05-05 22:47:40.712,Standing_With_Movement,annotator,PA TYPE
2022-05-05 22:47:40.712,2022-05-05 22:47:42.712,Walking,annotator,PA TYPE
2022-05-05 22:47:42.712,2022-05-05 22:48:16.750,Standing_With_Movement,annotator,PA TYPE
2022-05-05 22:48:17.750,2022-05-05 22:50:00.825,Standing_With_Movement,annotator,PA TYPE
2022-05-05 22:50:02.825,2022-05-05 22:50:42.862,Walking,annotator,PA TYPE
2022-05-05 22:50:42.862,2022-05-05 22:52:37.950,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE
2022-05-05 22:52:41.950,2022-05-05 22:53:30.987,Puttering_Around,annotator,PA TYPE
2022-05-05 22:53:31.987,2022-05-05 22:54:41.050,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE
2022-05-05 22:54:44.050,2022-05-05 22:55:30.087,Puttering_Around,annotator,PA TYPE
2022-05-05 22:55:32.087,2022-05-05 23:12:32.900,Sitting_With_Movement,annotator,PA TYPE
2022-05-05 23:12:40.900,2022-05-05 23:13:23.937,Sitting_With_Movement,annotator,PA TYPE
2022-05-05 23:13:30.937,2022-05-05 23:24:03.437,PA_Type_VideoUnavailable/Indecipherable,annotator,PA TYPE
