START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-05-05 10:22:28.137,2022-05-05 10:23:14.137,Posture_Other),annotator,POSTURE
2022-05-05 10:23:17.137,2022-05-05 10:23:30.125,Posture_Other),annotator,POSTURE
2022-05-05 10:23:30.125,2022-05-05 10:24:20.125,Posture_Other),annotator,POSTURE
2022-05-05 10:24:27.125,2022-05-05 10:31:33.062,Posture_Other),annotator,POSTURE
2022-05-05 10:31:33.062,2022-05-05 10:31:57.050,Posture_Other),annotator,POSTURE
2022-05-05 10:32:14.050,2022-05-05 10:33:16.037,Lying_On_Back,annotator,POSTURE
2022-05-05 10:33:16.037,2022-05-05 10:33:46.037,Lying_On_Left_Side,annotator,POSTURE
2022-05-05 10:33:46.037,2022-05-05 10:34:13.037,Lying_On_Right_Side,annotator,POSTURE
2022-05-05 10:34:13.037,2022-05-05 10:39:21.987,Lying_On_Back,annotator,POSTURE
2022-05-05 10:39:21.987,2022-05-05 10:39:54.987,Lying_On_Left_Side,annotator,POSTURE
2022-05-05 10:39:54.987,2022-05-05 10:40:17.975,Lying_On_Right_Side,annotator,POSTURE
2022-05-05 10:40:17.975,2022-05-05 10:44:19.937,Lying_On_Back,annotator,POSTURE
2022-05-05 10:44:26.937,2022-05-05 10:45:49.925,Posture_Other),annotator,POSTURE
2022-05-05 10:46:16.925,2022-05-05 10:49:09.900,Posture_Indecipherable/Video_Insufficient,annotator,POSTURE
2022-05-05 10:49:09.900,2022-05-05 10:57:19.825,In_Position_Upright,annotator,POSTURE
2022-05-05 10:57:19.825,2022-05-05 11:00:44.800,In_Position_Sitting,annotator,POSTURE
2022-05-05 11:00:44.800,2022-05-05 11:02:07.787,In_Position_Upright,annotator,POSTURE
2022-05-05 11:02:07.787,2022-05-05 11:02:54.775,In_Position_Sitting,annotator,POSTURE
2022-05-05 11:02:56.775,2022-05-05 11:05:33.750,In_Position_Sitting,annotator,POSTURE
2022-05-05 11:05:32.750,2022-05-05 11:05:32.750,In_Position_Sitting,annotator,POSTURE
2022-05-05 11:05:33.750,2022-05-05 11:17:47.637,In_Position_Sitting,annotator,POSTURE
2022-05-05 11:17:51.637,2022-05-05 11:18:19.637,In_Position_Sitting,annotator,POSTURE
2022-05-05 11:18:19.637,2022-05-05 11:24:33.587,In_Position_Sitting,annotator,POSTURE
2022-05-05 11:24:33.587,2022-05-05 11:29:05.537,In_Position_Upright,annotator,POSTURE
2022-05-05 11:29:05.537,2022-05-05 11:30:05.537,In_Position_Upright,annotator,POSTURE
2022-05-05 11:30:05.537,2022-05-05 11:30:05.537,In_Position_Upright,annotator,POSTURE
2022-05-05 11:30:27.525,2022-05-05 11:31:18.525,In_Position_Upright,annotator,POSTURE
