START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2022-05-07 12:01:40.837,2022-05-07 12:04:49.975,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-05-07 12:05:09.612,2022-05-07 12:05:30.275,,annotator,HIGH LEVEL BEHAVIOR
2022-05-07 12:05:30.275,2022-05-07 12:06:41.600,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-05-07 12:06:41.600,2022-05-07 12:06:46.762,,annotator,HIGH LEVEL BEHAVIOR
2022-05-07 12:06:46.762,2022-05-07 12:06:54.000,,annotator,HIGH LEVEL BEHAVIOR
2022-05-07 12:06:54.000,2022-05-07 12:07:15.700,Grooming/Self_Care,annotator,HIGH LEVEL BEHAVIOR
2022-05-07 12:07:15.700,2022-05-07 12:08:14.612,Grooming/Self_Care,annotator,HIGH LEVEL BEHAVIOR
2022-05-07 12:08:14.612,2022-05-07 12:08:43.550,,annotator,HIGH LEVEL BEHAVIOR
2022-05-07 12:08:43.550,2022-05-07 12:14:52.525,,annotator,HIGH LEVEL BEHAVIOR
2022-05-07 12:14:52.525,2022-05-07 12:23:09.662,,annotator,HIGH LEVEL BEHAVIOR
2022-05-07 12:23:09.662,2022-05-07 12:23:09.662,,annotator,HIGH LEVEL BEHAVIOR
2022-05-07 12:23:10.700,2022-05-07 12:24:28.212,,annotator,HIGH LEVEL BEHAVIOR
2022-05-07 12:24:28.212,2022-05-07 12:28:34.200,,annotator,HIGH LEVEL BEHAVIOR
2022-05-07 12:24:30.287,2022-05-07 12:24:30.287,,annotator,HIGH LEVEL BEHAVIOR
2022-05-07 12:28:34.200,2022-05-07 12:28:49.700,,annotator,HIGH LEVEL BEHAVIOR
2022-05-07 12:28:49.700,2022-05-07 12:37:45.075,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2022-05-07 12:37:45.075,2022-05-07 12:37:53.350,,annotator,HIGH LEVEL BEHAVIOR
2022-05-07 12:37:53.350,2022-05-07 12:40:24.250,,annotator,HIGH LEVEL BEHAVIOR
2022-05-07 12:40:24.250,2022-05-07 12:41:41.762,,annotator,HIGH LEVEL BEHAVIOR
2022-05-07 12:41:42.800,2022-05-07 12:42:51.012,Doing_Common_Housework_Light,annotator,HIGH LEVEL BEHAVIOR
2022-05-07 12:42:51.012,2022-05-07 12:43:23.050,,annotator,HIGH LEVEL BEHAVIOR
2022-05-07 12:43:23.050,2022-05-07 12:43:38.550,,annotator,HIGH LEVEL BEHAVIOR
2022-05-07 12:43:38.550,2022-05-07 12:44:12.662,,annotator,HIGH LEVEL BEHAVIOR
2022-05-07 12:44:12.662,2022-05-07 12:44:25.062,,annotator,HIGH LEVEL BEHAVIOR
2022-05-07 12:44:25.062,2022-05-07 12:44:47.800,,annotator,HIGH LEVEL BEHAVIOR
2022-05-07 12:44:47.800,2022-05-07 12:45:35.337,,annotator,HIGH LEVEL BEHAVIOR
2022-05-07 12:45:35.337,2022-05-07 12:46:20.825,,annotator,HIGH LEVEL BEHAVIOR
2022-05-07 12:46:20.825,2022-05-07 12:46:55.962,,annotator,HIGH LEVEL BEHAVIOR
2022-05-07 12:46:55.962,2022-05-07 12:47:32.137,,annotator,HIGH LEVEL BEHAVIOR
2022-05-07 12:47:32.137,2022-05-07 12:47:43.500,,annotator,HIGH LEVEL BEHAVIOR
2022-05-07 12:47:43.500,2022-05-07 12:47:53.837,,annotator,HIGH LEVEL BEHAVIOR
2022-05-07 12:47:53.837,2022-05-07 12:49:28.925,Doing_Common_Housework_Light,annotator,HIGH LEVEL BEHAVIOR
2022-05-07 12:49:28.925,2022-05-07 12:49:52.700,,annotator,HIGH LEVEL BEHAVIOR
2022-05-07 12:49:52.700,2022-05-07 12:50:42.312,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-05-07 12:50:42.312,2022-05-07 12:53:11.137,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-05-07 12:53:11.137,2022-05-07 12:53:55.575,,annotator,HIGH LEVEL BEHAVIOR
2022-05-07 12:53:55.575,2022-05-07 12:54:07.987,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-05-07 12:54:07.987,2022-05-07 12:54:13.150,,annotator,HIGH LEVEL BEHAVIOR
2022-05-07 12:54:13.150,2022-05-07 12:54:36.925,,annotator,HIGH LEVEL BEHAVIOR
2022-05-07 12:54:36.925,2022-05-07 12:55:44.100,Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-05-07 12:55:44.100,2022-05-07 12:58:38.775,Using_Computer/Screen/Playing_Videogame,annotator,HIGH LEVEL BEHAVIOR
2022-05-07 12:58:38.775,2022-05-07 12:59:19.075,Eating/Dining,annotator,HIGH LEVEL BEHAVIOR
2022-05-07 12:59:19.075,2022-05-07 12:59:48.025,Using_Computer/Screen/Playing_Videogame,annotator,HIGH LEVEL BEHAVIOR
2022-05-07 12:59:48.025,2022-05-07 13:00:53.137,Eating/Dining,annotator,HIGH LEVEL BEHAVIOR
2022-05-07 13:00:53.137,2022-05-07 13:01:14.837,Eating/Dining/Using_Computer/Screen,annotator,HIGH LEVEL BEHAVIOR
2022-05-07 13:01:14.837,2022-05-07 13:07:17.612,Using_Computer/Screen/Playing_Videogame,annotator,HIGH LEVEL BEHAVIOR
