START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2021-11-03 06:56:31.687,2021-11-03 06:56:52.687,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2021-11-03 06:56:52.687,2021-11-03 06:56:57.687,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2021-11-03 06:56:57.687,2021-11-03 06:57:16.687,Cooking/Prepping_Food,annotator,HIGH LEVEL BEHAVIOR
2021-11-03 06:57:16.687,2021-11-03 06:57:21.687,Cooking/Prepping_Food,annotator,HIGH LEVEL BEHAVIOR
2021-11-03 06:57:21.687,2021-11-03 06:58:17.687,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2021-11-03 06:58:17.687,2021-11-03 07:17:54.637,HLB_Indecipherable/Video_Insufficient,annotator,HIGH LEVEL BEHAVIOR
2021-11-03 07:17:54.637,2021-11-03 07:18:16.637,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2021-11-03 07:18:16.637,2021-11-03 07:18:54.637,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2021-11-03 07:18:54.637,2021-11-03 07:18:59.637,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2021-11-03 07:18:59.637,2021-11-03 07:19:21.637,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2021-11-03 07:19:21.637,2021-11-03 07:19:38.637,Eating/Dining,annotator,HIGH LEVEL BEHAVIOR
2021-11-03 07:19:38.637,2021-11-03 07:19:50.625,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2021-11-03 07:19:50.625,2021-11-03 07:19:57.625,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2021-11-03 07:19:57.625,2021-11-03 07:20:03.625,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2021-11-03 07:20:03.625,2021-11-03 07:20:39.625,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2021-11-03 07:20:39.625,2021-11-03 07:36:05.587,In_Transit_Driving_Car,annotator,HIGH LEVEL BEHAVIOR
2021-11-03 07:36:05.587,2021-11-03 07:36:41.587,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2021-11-03 07:36:41.587,2021-11-03 07:36:45.587,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2021-11-03 07:36:45.587,2021-11-03 07:36:52.587,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2021-11-03 07:36:52.587,2021-11-03 07:37:07.587,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2021-11-03 07:37:08.587,2021-11-03 07:37:31.587,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2021-11-03 07:37:31.587,2021-11-03 07:37:58.587,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2021-11-03 07:37:58.587,2021-11-03 07:38:29.587,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2021-11-03 07:38:29.587,2021-11-03 07:38:42.587,Cleaning,annotator,HIGH LEVEL BEHAVIOR
2021-11-03 07:38:42.587,2021-11-03 07:38:45.587,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2021-11-03 07:38:45.587,2021-11-03 07:39:11.587,Cooking/Prepping_Food,annotator,HIGH LEVEL BEHAVIOR
2021-11-03 07:39:11.587,2021-11-03 07:39:26.587,HLB_Unlabeled,annotator,HIGH LEVEL BEHAVIOR
2021-11-03 07:39:26.587,2021-11-03 07:40:56.575,Eating/Dining,annotator,HIGH LEVEL BEHAVIOR
2021-11-03 07:40:56.575,2021-11-03 07:45:12.575,Doing_Common_Housework_Light,annotator,HIGH LEVEL BEHAVIOR
