START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2021-12-03 12:10:14.937,2021-12-03 12:10:49.187,In_Position_Upright,Expert,POSTURE
2021-12-03 12:10:49.187,2021-12-03 12:11:19.412,In_Position_Upright,Expert,POSTURE
2021-12-03 12:11:19.412,2021-12-03 12:12:30.937,In_Position_Upright,Expert,POSTURE
2021-12-03 12:12:30.937,2021-12-03 12:12:51.087,In_Position_Upright,Expert,POSTURE
2021-12-03 12:15:31.275,2021-12-03 12:17:59.362,In_Position_Upright,Expert,POSTURE
2021-12-03 12:17:59.362,2021-12-03 12:18:14.475,In_Position_Upright,Expert,POSTURE
2021-12-03 12:18:14.475,2021-12-03 12:18:41.675,In_Position_Upright,Expert,POSTURE
2021-12-03 12:18:43.687,2021-12-03 12:19:08.875,In_Position_Upright,Expert,POSTURE
2021-12-03 12:19:08.875,2021-12-03 12:23:15.687,In_Position_Upright,Expert,POSTURE
2021-12-03 12:23:22.737,2021-12-03 12:23:32.812,In_Position_Upright,Expert,POSTURE
2021-12-03 12:23:32.812,2021-12-03 12:24:20.162,In_Position_Upright,Expert,POSTURE
2021-12-03 12:24:21.175,2021-12-03 12:24:33.262,In_Position_Upright,Expert,POSTURE
2021-12-03 12:24:33.262,2021-12-03 12:24:46.350,In_Position_Upright,Expert,POSTURE
2021-12-03 12:25:25.650,2021-12-03 12:27:05.375,In_Position_Sitting,Expert,POSTURE
2021-12-03 12:27:10.412,2021-12-03 12:27:33.587,In_Position_Sitting,Expert,POSTURE
2021-12-03 12:27:34.587,2021-12-03 12:27:51.725,In_Position_Sitting,Expert,POSTURE
2021-12-03 12:27:54.737,2021-12-03 12:28:21.937,In_Position_Upright,Expert,POSTURE
2021-12-03 12:28:21.937,2021-12-03 12:29:47.575,In_Position_Upright,Expert,POSTURE
2021-12-03 12:29:47.575,2021-12-03 12:29:59.662,In_Position_Upright,Expert,POSTURE
2021-12-03 12:30:03.687,2021-12-03 12:30:21.825,In_Position_Sitting,Expert,POSTURE
2021-12-03 12:30:24.850,2021-12-03 12:30:36.937,Posture_Other),Expert,POSTURE
2021-12-03 12:30:37.937,2021-12-03 12:30:47.012,In_Position_Upright,Expert,POSTURE
2021-12-03 12:30:50.037,2021-12-03 12:37:01.762,In_Position_Sitting,Expert,POSTURE
2021-12-03 12:37:05.800,2021-12-03 12:37:51.137,In_Position_Sitting,Expert,POSTURE
2021-12-03 12:37:52.137,2021-12-03 12:42:26.162,In_Position_Sitting,Expert,POSTURE
2021-12-03 12:42:35.225,2021-12-03 12:42:48.325,In_Position_Upright,Expert,POSTURE
2021-12-03 12:47:39.462,2021-12-03 12:50:53.887,Posture_Indecipherable/Video_Insufficient,Expert,POSTURE
2021-12-03 12:51:50.312,2021-12-03 12:52:09.450,In_Position_Upright,Expert,POSTURE
2021-12-03 12:52:11.462,2021-12-03 12:54:53.662,In_Position_Sitting,Expert,POSTURE
2021-12-03 12:54:56.675,2021-12-03 12:55:05.750,In_Position_Upright,Expert,POSTURE
2021-12-03 12:55:07.762,2021-12-03 12:55:15.825,In_Position_Upright,Expert,POSTURE
2021-12-03 12:55:15.825,2021-12-03 12:55:26.900,In_Position_Upright,Expert,POSTURE
2021-12-03 12:55:43.025,2021-12-03 12:57:23.762,In_Position_Upright,Expert,POSTURE
