START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2021-12-10 11:54:22.725,2021-12-10 11:54:28.712,Located_Indoors,Expert,Behavioral Parameters
2021-12-10 11:54:36.712,2021-12-10 11:57:18.712,Located_Indoors,Expert,Behavioral Parameters
2021-12-10 11:57:51.712,2021-12-10 11:57:59.712,Located_Indoors,Expert,Behavioral Parameters
2021-12-10 11:58:03.712,2021-12-10 11:58:43.712,Located_Indoors,Expert,Behavioral Parameters
2021-12-10 11:58:50.712,2021-12-10 11:59:20.712,Located_Indoors/Handwriting,Expert,Behavioral Parameters
2021-12-10 11:59:48.712,2021-12-10 12:00:16.712,Located_Indoors,Expert,Behavioral Parameters
2021-12-10 12:00:23.712,2021-12-10 12:00:53.712,Located_Indoors,Expert,Behavioral Parameters
2021-12-10 12:00:57.712,2021-12-10 12:02:23.712,Located_Indoors/Texting/Browsing_Phone,Expert,Behavioral Parameters
2021-12-10 12:02:33.712,2021-12-10 12:03:06.712,Located_Indoors/Texting/Browsing_Phone,Expert,Behavioral Parameters
2021-12-10 12:03:29.712,2021-12-10 12:04:09.712,Located_Indoors,Expert,Behavioral Parameters
2021-12-10 12:04:11.712,2021-12-10 12:04:35.712,Located_Outdoors,Expert,Behavioral Parameters
2021-12-10 12:04:42.712,2021-12-10 12:06:06.700,Located_Outdoors,Expert,Behavioral Parameters
2021-12-10 12:06:09.700,2021-12-10 12:06:16.700,Located_Outdoors,Expert,Behavioral Parameters
2021-12-10 12:06:17.700,2021-12-10 12:06:30.700,Located_Indoors,Expert,Behavioral Parameters
2021-12-10 12:06:57.700,2021-12-10 12:07:15.700,Located_Indoors,Expert,Behavioral Parameters
2021-12-10 12:07:20.700,2021-12-10 12:07:56.700,Located_Indoors/Holding_Drink,Expert,Behavioral Parameters
2021-12-10 12:08:00.700,2021-12-10 12:08:18.700,Located_Indoors/Holding_Other_Object_Light,Expert,Behavioral Parameters
2021-12-10 12:08:24.700,2021-12-10 12:08:31.700,Located_Outdoors/Holding_Drink,Expert,Behavioral Parameters
2021-12-10 12:08:39.700,2021-12-10 12:13:12.700,Located_Outdoors,Expert,Behavioral Parameters
2021-12-10 12:13:18.700,2021-12-10 12:13:47.700,Located_Outdoors/Holding_Drink,Expert,Behavioral Parameters
2021-12-10 12:13:52.700,2021-12-10 12:16:38.687,Located_Outdoors/Texting/Browsing_Phone,Expert,Behavioral Parameters
2021-12-10 12:16:45.687,2021-12-10 12:17:34.687,Located_Outdoors/Holding_Drink,Expert,Behavioral Parameters
2021-12-10 12:17:40.687,2021-12-10 12:19:05.687,Located_Outdoors/Texting/Browsing_Phone,Expert,Behavioral Parameters
2021-12-10 12:19:12.687,2021-12-10 12:19:38.687,Located_Outdoors,Expert,Behavioral Parameters
2021-12-10 12:19:45.687,2021-12-10 12:21:35.687,Located_Outdoors/Holding_Drink,Expert,Behavioral Parameters
2021-12-10 12:21:48.687,2021-12-10 12:27:52.675,Located_Outdoors,Expert,Behavioral Parameters
2021-12-10 12:28:02.675,2021-12-10 12:29:49.675,Located_Outdoors/Holding_Drink/Texting/Browsing_Phone,Expert,Behavioral Parameters
2021-12-10 12:29:52.675,2021-12-10 12:31:27.675,Located_Indoors/Holding_Drink,Expert,Behavioral Parameters
2021-12-10 12:31:32.675,2021-12-10 12:31:59.675,Located_Indoors,Expert,Behavioral Parameters
2021-12-10 12:32:07.675,2021-12-10 12:32:27.675,Located_Indoors,Expert,Behavioral Parameters
2021-12-10 12:32:29.675,2021-12-10 12:32:53.675,Located_Indoors/On_Phone_Call,Expert,Behavioral Parameters
2021-12-10 12:32:58.675,2021-12-10 12:33:35.675,Located_Indoors/On_Phone_Call,Expert,Behavioral Parameters
2021-12-10 12:33:40.675,2021-12-10 12:35:39.675,Located_Indoors,Expert,Behavioral Parameters
2021-12-10 12:35:47.675,2021-12-10 12:36:30.662,Located_Indoors,Expert,Behavioral Parameters
2021-12-10 12:36:42.662,2021-12-10 12:38:01.662,Located_Indoors,Expert,Behavioral Parameters
