START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2021-12-14 09:10:26.625,2021-12-14 09:10:47.625,Sitting_With_Movement,Expert,PA TYPE
2021-12-14 09:10:50.625,2021-12-14 09:12:15.625,Sitting_With_Movement,Expert,PA TYPE
2021-12-14 09:12:18.625,2021-12-14 09:14:35.625,Sitting_With_Movement,Expert,PA TYPE
2021-12-14 09:14:39.625,2021-12-14 09:14:58.625,Puttering_Around,Expert,PA TYPE
2021-12-14 09:14:59.625,2021-12-14 09:16:06.625,Standing_With_Movement,Expert,PA TYPE
2021-12-14 09:16:07.625,2021-12-14 09:16:23.625,Puttering_Around,Expert,PA TYPE
2021-12-14 09:16:26.625,2021-12-14 09:16:51.625,Puttering_Around,Expert,PA TYPE
2021-12-14 09:16:55.625,2021-12-14 09:17:35.625,Puttering_Around,Expert,PA TYPE
2021-12-14 09:17:44.612,2021-12-14 09:19:19.612,Puttering_Around,Expert,PA TYPE
2021-12-14 09:19:19.612,2021-12-14 09:21:35.612,Puttering_Around,Expert,PA TYPE
2021-12-14 09:21:36.612,2021-12-14 09:24:37.612,Puttering_Around,Expert,PA TYPE
2021-12-14 09:24:37.612,2021-12-14 09:24:44.612,Puttering_Around,Expert,PA TYPE
2021-12-14 09:24:44.612,2021-12-14 09:24:51.612,Walking_Up_Stairs,Expert,PA TYPE
2021-12-14 09:24:51.612,2021-12-14 09:25:04.612,Puttering_Around,Expert,PA TYPE
2021-12-14 09:25:07.612,2021-12-14 09:25:12.612,Puttering_Around,Expert,PA TYPE
2021-12-14 09:25:14.612,2021-12-14 09:25:22.612,Puttering_Around,Expert,PA TYPE
2021-12-14 09:25:36.612,2021-12-14 09:25:53.612,Puttering_Around,Expert,PA TYPE
2021-12-14 09:25:56.612,2021-12-14 09:26:10.612,Puttering_Around,Expert,PA TYPE
2021-12-14 09:26:13.612,2021-12-14 09:28:46.600,Sitting_With_Movement,Expert,PA TYPE
2021-12-14 09:28:46.600,2021-12-14 09:30:16.600,Sitting_With_Movement,Expert,PA TYPE
2021-12-14 09:30:16.600,2021-12-14 09:34:40.600,Sitting_With_Movement,Expert,PA TYPE
2021-12-14 09:34:46.600,2021-12-14 09:34:59.600,Puttering_Around,Expert,PA TYPE
2021-12-14 09:35:00.600,2021-12-14 09:35:17.600,Puttering_Around,Expert,PA TYPE
2021-12-14 09:35:19.600,2021-12-14 09:36:50.587,Sitting_With_Movement,Expert,PA TYPE
2021-12-14 09:36:51.587,2021-12-14 09:37:43.587,Sitting_With_Movement,Expert,PA TYPE
2021-12-14 09:37:44.587,2021-12-14 09:42:15.587,Sitting_With_Movement,Expert,PA TYPE
2021-12-14 09:42:16.587,2021-12-14 09:42:43.587,Sitting_With_Movement,Expert,PA TYPE
2021-12-14 09:42:45.587,2021-12-14 09:43:10.587,Sitting_With_Movement,Expert,PA TYPE
2021-12-14 09:43:12.587,2021-12-14 09:46:09.575,Puttering_Around,Expert,PA TYPE
2021-12-14 09:46:10.575,2021-12-14 09:46:25.575,Walking_Down_Stairs,Expert,PA TYPE
2021-12-14 09:46:33.575,2021-12-14 09:46:47.575,Walking,Expert,PA TYPE
2021-12-14 09:46:49.575,2021-12-14 09:46:59.575,Puttering_Around,Expert,PA TYPE
2021-12-14 09:47:03.575,2021-12-14 09:47:23.575,Sitting_With_Movement,Expert,PA TYPE
2021-12-14 09:47:25.575,2021-12-14 09:47:53.575,Walking,Expert,PA TYPE
2021-12-14 09:47:59.575,2021-12-14 09:53:39.575,Sitting_With_Movement,Expert,PA TYPE
2021-12-14 09:53:39.575,2021-12-14 09:54:32.562,Sitting_With_Movement,Expert,PA TYPE
2021-12-14 09:54:44.562,2021-12-14 09:54:52.562,Puttering_Around,Expert,PA TYPE
2021-12-14 09:54:52.562,2021-12-14 09:58:32.562,Walking,Expert,PA TYPE
2021-12-14 09:58:32.562,2021-12-14 09:59:14.562,Walking,Expert,PA TYPE
