START_TIME,STOP_TIME,PREDICTION,SOURCE,LABELSET
2021-12-08 10:14:08.187,2021-12-08 10:22:35.175000,PA_Type_VideoUnavailable/Indecipherable,Expert,PA TYPE
2021-12-08 10:14:08.187,2021-12-08 10:22:35.175000,BP_VideoUnavailable/Indecipherable,Expert,Behavioral Parameters
2021-12-08 10:14:08.187,2021-12-08 10:22:35.175000,Posture_Indecipherable/Video_Insufficient,Expert,POSTURE
2021-12-08 10:14:08.187,2021-12-08 10:22:35.175000,Free_Living,Expert,Experimental situation
2021-12-08 10:14:08.187,2021-12-08 10:22:35.175000,HLB_Indecipherable/Video_Insufficient,Expert,HIGH LEVEL BEHAVIOR
2021-12-08 10:22:41.175,2021-12-08 10:23:41.175000,Puttering_Around,Expert,PA TYPE
2021-12-08 10:22:41.175,2021-12-08 10:23:41.175000,Located_Indoors/On_Video_Call/FaceTime,Expert,Behavioral Parameters
2021-12-08 10:22:41.175,2021-12-08 10:23:41.175000,In_Position_Upright,Expert,POSTURE
2021-12-08 10:22:41.175,2021-12-08 10:23:41.175000,HLB_Unlabeled,Expert,HIGH LEVEL BEHAVIOR
2021-12-08 10:22:41.175,2021-12-08 10:23:41.175000,Free_Living,Expert,Experimental situation
2021-12-08 10:23:43.175,2021-12-08 10:24:36.175000,Standing_With_Movement,Expert,PA TYPE
2021-12-08 10:23:43.175,2021-12-08 10:24:36.175000,In_Position_Upright,Expert,POSTURE
2021-12-08 10:23:43.175,2021-12-08 10:24:36.175000,Located_Indoors/On_Video_Call/FaceTime,Expert,Behavioral Parameters
2021-12-08 10:23:43.175,2021-12-08 10:24:36.175000,HLB_Unlabeled,Expert,HIGH LEVEL BEHAVIOR
2021-12-08 10:23:43.175,2021-12-08 10:24:36.175000,Free_Living,Expert,Experimental situation
2021-12-08 10:24:37.175,2021-12-08 10:24:59.175000,In_Position_Upright,Expert,POSTURE
2021-12-08 10:24:37.175,2021-12-08 10:24:59.175000,HLB_Unlabeled,Expert,HIGH LEVEL BEHAVIOR
2021-12-08 10:24:37.175,2021-12-08 10:24:59.175000,Located_Indoors/On_Video_Call/FaceTime,Expert,Behavioral Parameters
2021-12-08 10:24:37.175,2021-12-08 10:24:59.175000,Standing_With_Movement,Expert,PA TYPE
2021-12-08 10:24:37.175,2021-12-08 10:24:59.175000,Free_Living,Expert,Experimental situation
2021-12-08 10:25:05.175,2021-12-08 10:25:23.175000,Standing_With_Movement,Expert,PA TYPE
2021-12-08 10:25:05.175,2021-12-08 10:25:23.175000,In_Position_Upright,Expert,POSTURE
